,inning,batting_team,bowling_team,ball,non_striker,batsman,bowler,extra_runs,batsman_run,total_runs,extras,player_out,elimination_kind,fielders_caught
0,1st innings,Mumbai Indians,Royal Challengers Bangalore,0.1,CA Lynn,RG Sharma,Mohammed Siraj,0,2,2,0,0,0,0
1,1st innings,Mumbai Indians,Royal Challengers Bangalore,0.2,CA Lynn,RG Sharma,Mohammed Siraj,0,0,0,0,0,0,0
2,1st innings,Mumbai Indians,Royal Challengers Bangalore,0.3,CA Lynn,RG Sharma,Mohammed Siraj,0,0,0,0,0,0,0
3,1st innings,Mumbai Indians,Royal Challengers Bangalore,0.4,CA Lynn,RG Sharma,Mohammed Siraj,0,2,2,0,0,0,0
4,1st innings,Mumbai Indians,Royal Challengers Bangalore,0.5,CA Lynn,RG Sharma,Mohammed Siraj,0,0,0,0,0,0,0
5,1st innings,Mumbai Indians,Royal Challengers Bangalore,0.6,CA Lynn,RG Sharma,Mohammed Siraj,0,1,1,0,0,0,0
6,1st innings,Mumbai Indians,Royal Challengers Bangalore,1.1,CA Lynn,RG Sharma,KA Jamieson,0,1,1,0,0,0,0
7,1st innings,Mumbai Indians,Royal Challengers Bangalore,1.2,RG Sharma,CA Lynn,KA Jamieson,0,0,0,0,0,0,0
8,1st innings,Mumbai Indians,Royal Challengers Bangalore,1.3,RG Sharma,CA Lynn,KA Jamieson,0,0,0,0,0,0,0
9,1st innings,Mumbai Indians,Royal Challengers Bangalore,1.4,RG Sharma,CA Lynn,KA Jamieson,0,0,0,0,0,0,0
10,1st innings,Mumbai Indians,Royal Challengers Bangalore,1.5,RG Sharma,CA Lynn,KA Jamieson,0,0,0,0,0,0,0
11,1st innings,Mumbai Indians,Royal Challengers Bangalore,1.6,RG Sharma,CA Lynn,KA Jamieson,0,0,0,0,0,0,0
12,1st innings,Mumbai Indians,Royal Challengers Bangalore,2.1,CA Lynn,RG Sharma,Mohammed Siraj,0,0,0,0,0,0,0
13,1st innings,Mumbai Indians,Royal Challengers Bangalore,2.2,CA Lynn,RG Sharma,Mohammed Siraj,0,0,0,0,0,0,0
14,1st innings,Mumbai Indians,Royal Challengers Bangalore,2.3,CA Lynn,RG Sharma,Mohammed Siraj,0,0,0,0,0,0,0
15,1st innings,Mumbai Indians,Royal Challengers Bangalore,2.4,CA Lynn,RG Sharma,Mohammed Siraj,0,0,0,0,0,0,0
16,1st innings,Mumbai Indians,Royal Challengers Bangalore,2.5,CA Lynn,RG Sharma,Mohammed Siraj,0,4,4,0,0,0,0
17,1st innings,Mumbai Indians,Royal Challengers Bangalore,2.6,CA Lynn,RG Sharma,Mohammed Siraj,0,2,2,0,0,0,0
18,1st innings,Mumbai Indians,Royal Challengers Bangalore,3.1,RG Sharma,CA Lynn,YS Chahal,0,0,0,0,0,0,0
19,1st innings,Mumbai Indians,Royal Challengers Bangalore,3.2,RG Sharma,CA Lynn,YS Chahal,0,4,4,0,0,0,0
20,1st innings,Mumbai Indians,Royal Challengers Bangalore,3.3,RG Sharma,CA Lynn,YS Chahal,0,1,1,0,0,0,0
21,1st innings,Mumbai Indians,Royal Challengers Bangalore,3.4,CA Lynn,RG Sharma,YS Chahal,0,6,6,0,0,0,0
22,1st innings,Mumbai Indians,Royal Challengers Bangalore,3.5,CA Lynn,RG Sharma,YS Chahal,0,1,1,0,0,0,0
