,inning,batting_team,bowling_team,ball,non_striker,batsman,bowler,extra_runs,batsman_run,total_runs,extras,player_out,elimination_kind,fielders_caught
0,1st innings,Mumbai Indians,Kolkata Knight Riders,0.1,Q de Kock,RG Sharma,Harbhajan Singh,0,1,1,,,,
1,1st innings,Mumbai Indians,Kolkata Knight Riders,0.2,RG Sharma,Q de Kock,Harbhajan Singh,0,0,0,,,,
2,1st innings,Mumbai Indians,Kolkata Knight Riders,0.3,RG Sharma,Q de Kock,Harbhajan Singh,0,2,2,,,,
3,1st innings,Mumbai Indians,Kolkata Knight Riders,0.4,RG Sharma,Q de Kock,Harbhajan Singh,0,0,0,,,,
4,1st innings,Mumbai Indians,Kolkata Knight Riders,0.5,RG Sharma,Q de Kock,Harbhajan Singh,0,0,0,,,,
5,1st innings,Mumbai Indians,Kolkata Knight Riders,0.6,RG Sharma,Q de Kock,Harbhajan Singh,0,0,0,,,,
6,1st innings,Mumbai Indians,Kolkata Knight Riders,1.1,Q de Kock,RG Sharma,CV Varun,0,0,0,,,,
7,1st innings,Mumbai Indians,Kolkata Knight Riders,1.2,Q de Kock,RG Sharma,CV Varun,0,4,4,,,,
8,1st innings,Mumbai Indians,Kolkata Knight Riders,1.3,Q de Kock,RG Sharma,CV Varun,0,2,2,,,,
9,1st innings,Mumbai Indians,Kolkata Knight Riders,1.4,Q de Kock,RG Sharma,CV Varun,0,0,0,,,,
10,1st innings,Mumbai Indians,Kolkata Knight Riders,1.5,Q de Kock,RG Sharma,CV Varun,0,1,1,,,,
11,1st innings,Mumbai Indians,Kolkata Knight Riders,1.6,RG Sharma,Q de Kock,CV Varun,0,0,0,,Q de Kock,caught,RA Tripathi
12,1st innings,Mumbai Indians,Kolkata Knight Riders,2.1,RG Sharma,SA Yadav,Harbhajan Singh,0,0,0,,,,
13,1st innings,Mumbai Indians,Kolkata Knight Riders,2.2,RG Sharma,SA Yadav,Harbhajan Singh,0,4,4,,,,
14,1st innings,Mumbai Indians,Kolkata Knight Riders,2.3,RG Sharma,SA Yadav,Harbhajan Singh,1,0,1,wides,,,
15,1st innings,Mumbai Indians,Kolkata Knight Riders,2.4,RG Sharma,SA Yadav,Harbhajan Singh,0,4,4,,,,
16,1st innings,Mumbai Indians,Kolkata Knight Riders,2.5,RG Sharma,SA Yadav,Harbhajan Singh,0,0,0,,,,
17,1st innings,Mumbai Indians,Kolkata Knight Riders,2.6,RG Sharma,SA Yadav,Harbhajan Singh,0,4,4,,,,
18,1st innings,Mumbai Indians,Kolkata Knight Riders,2.7,RG Sharma,SA Yadav,Harbhajan Singh,0,1,1,,,,
19,1st innings,Mumbai Indians,Kolkata Knight Riders,3.1,RG Sharma,SA Yadav,Shakib Al Hasan,0,1,1,,,,
20,1st innings,Mumbai Indians,Kolkata Knight Riders,3.2,SA Yadav,RG Sharma,Shakib Al Hasan,0,1,1,,,,
21,1st innings,Mumbai Indians,Kolkata Knight Riders,3.3,RG Sharma,SA Yadav,Shakib Al Hasan,0,0,0,,,,
22,1st innings,Mumbai Indians,Kolkata Knight Riders,3.4,RG Sharma,SA Yadav,Shakib Al Hasan,0,1,1,,,,
23,1st innings,Mumbai Indians,Kolkata Knight Riders,3.5,SA Yadav,RG Sharma,Shakib Al Hasan,0,1,1,,,,
24,1st innings,Mumbai Indians,Kolkata Knight Riders,3.6,RG Sharma,SA Yadav,Shakib Al Hasan,0,0,0,,,,
25,1st innings,Mumbai Indians,Kolkata Knight Riders,4.1,SA Yadav,RG Sharma,CV Varun,0,1,1,,,,
26,1st innings,Mumbai Indians,Kolkata Knight Riders,4.2,RG Sharma,SA Yadav,CV Varun,0,0,0,,,,
27,1st innings,Mumbai Indians,Kolkata Knight Riders,4.3,RG Sharma,SA Yadav,CV Varun,0,1,1,,,,
28,1st innings,Mumbai Indians,Kolkata Knight Riders,4.4,SA Yadav,RG Sharma,CV Varun,0,1,1,,,,
29,1st innings,Mumbai Indians,Kolkata Knight Riders,4.5,RG Sharma,SA Yadav,CV Varun,1,0,1,wides,,,
30,1st innings,Mumbai Indians,Kolkata Knight Riders,4.6,RG Sharma,SA Yadav,CV Varun,0,1,1,,,,
31,1st innings,Mumbai Indians,Kolkata Knight Riders,4.7,SA Yadav,RG Sharma,CV Varun,0,4,4,,,,
32,1st innings,Mumbai Indians,Kolkata Knight Riders,5.1,RG Sharma,SA Yadav,PJ Cummins,0,0,0,,,,
33,1st innings,Mumbai Indians,Kolkata Knight Riders,5.2,RG Sharma,SA Yadav,PJ Cummins,0,0,0,,,,
34,1st innings,Mumbai Indians,Kolkata Knight Riders,5.3,RG Sharma,SA Yadav,PJ Cummins,0,0,0,,,,
35,1st innings,Mumbai Indians,Kolkata Knight Riders,5.4,RG Sharma,SA Yadav,PJ Cummins,0,4,4,,,,
36,1st innings,Mumbai Indians,Kolkata Knight Riders,5.5,RG Sharma,SA Yadav,PJ Cummins,0,0,0,,,,
