,inning,batting_team,bowling_team,ball,non_striker,batsman,bowler,extra_runs,batsman_run,total_runs,extras,player_out,elimination_kind,fielders_caught
0,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,0.1,D Padikkal,V Kohli,B Kumar,0,0,0,,,,
1,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,0.2,D Padikkal,V Kohli,B Kumar,0,4,4,,,,
2,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,0.3,D Padikkal,V Kohli,B Kumar,0,1,1,,,,
3,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,0.4,V Kohli,D Padikkal,B Kumar,0,0,0,,,,
4,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,0.5,V Kohli,D Padikkal,B Kumar,0,0,0,,,,
5,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,0.6,V Kohli,D Padikkal,B Kumar,0,1,1,,,,
6,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,1.1,V Kohli,D Padikkal,JO Holder,0,4,4,,,,
7,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,1.2,V Kohli,D Padikkal,JO Holder,0,0,0,,,,
8,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,1.3,V Kohli,D Padikkal,JO Holder,0,0,0,,,,
9,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,1.4,V Kohli,D Padikkal,JO Holder,0,0,0,,,,
10,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,1.5,V Kohli,D Padikkal,JO Holder,1,0,1,wides,,,
11,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,1.6,V Kohli,D Padikkal,JO Holder,0,4,4,,,,
12,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,1.7,V Kohli,D Padikkal,JO Holder,0,1,1,,,,
13,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,2.1,V Kohli,D Padikkal,B Kumar,0,1,1,,,,
14,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,2.2,D Padikkal,V Kohli,B Kumar,0,1,1,,,,
15,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,2.3,V Kohli,D Padikkal,B Kumar,0,0,0,,,,
16,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,2.4,V Kohli,D Padikkal,B Kumar,0,0,0,,,,
17,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,2.5,V Kohli,D Padikkal,B Kumar,1,0,1,wides,,,
18,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,2.6,V Kohli,D Padikkal,B Kumar,0,0,0,,D Padikkal,caught,S Nadeem
19,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,2.7,V Kohli,Shahbaz Ahmed,B Kumar,0,1,1,,,,
20,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,3.1,V Kohli,Shahbaz Ahmed,JO Holder,0,1,1,,,,
21,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,3.2,Shahbaz Ahmed,V Kohli,JO Holder,0,0,0,,,,
22,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,3.3,Shahbaz Ahmed,V Kohli,JO Holder,0,1,1,,,,
23,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,3.4,V Kohli,Shahbaz Ahmed,JO Holder,0,0,0,,,,
24,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,3.5,V Kohli,Shahbaz Ahmed,JO Holder,0,3,3,,,,
25,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,3.6,Shahbaz Ahmed,V Kohli,JO Holder,0,1,1,,,,
26,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,4.1,Shahbaz Ahmed,V Kohli,S Nadeem,0,0,0,,,,
27,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,4.2,Shahbaz Ahmed,V Kohli,S Nadeem,0,1,1,,,,
28,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,4.3,V Kohli,Shahbaz Ahmed,S Nadeem,0,6,6,,,,
29,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,4.4,V Kohli,Shahbaz Ahmed,S Nadeem,0,1,1,,,,
30,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,4.5,Shahbaz Ahmed,V Kohli,S Nadeem,0,1,1,,,,
31,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,4.6,V Kohli,Shahbaz Ahmed,S Nadeem,0,1,1,,,,
32,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,5.1,V Kohli,Shahbaz Ahmed,T Natarajan,1,0,1,legbyes,,,
33,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,5.2,Shahbaz Ahmed,V Kohli,T Natarajan,0,4,4,,,,
