,inning,batting_team,bowling_team,ball,non_striker,batsman,bowler,extra_runs,batsman_run,total_runs,extras,player_out,elimination_kind,fielders_caught
0,1st innings,Punjab Kings,Chennai Super Kings,0.1,MA Agarwal,KL Rahul,DL Chahar,0,0,0,,,,
1,1st innings,Punjab Kings,Chennai Super Kings,0.2,MA Agarwal,KL Rahul,DL Chahar,0,1,1,,,,
2,1st innings,Punjab Kings,Chennai Super Kings,0.3,KL Rahul,MA Agarwal,DL Chahar,0,0,0,,,,
3,1st innings,Punjab Kings,Chennai Super Kings,0.4,KL Rahul,MA Agarwal,DL Chahar,0,0,0,,MA Agarwal,bowled,
4,1st innings,Punjab Kings,Chennai Super Kings,0.5,KL Rahul,CH Gayle,DL Chahar,0,0,0,,,,
5,1st innings,Punjab Kings,Chennai Super Kings,0.6,KL Rahul,CH Gayle,DL Chahar,0,1,1,,,,
6,1st innings,Punjab Kings,Chennai Super Kings,1.1,KL Rahul,CH Gayle,SM Curran,0,1,1,,,,
7,1st innings,Punjab Kings,Chennai Super Kings,1.2,CH Gayle,KL Rahul,SM Curran,0,0,0,,,,
8,1st innings,Punjab Kings,Chennai Super Kings,1.3,CH Gayle,KL Rahul,SM Curran,0,0,0,,,,
9,1st innings,Punjab Kings,Chennai Super Kings,1.4,CH Gayle,KL Rahul,SM Curran,0,0,0,,,,
10,1st innings,Punjab Kings,Chennai Super Kings,1.5,CH Gayle,KL Rahul,SM Curran,0,4,4,,,,
11,1st innings,Punjab Kings,Chennai Super Kings,1.6,CH Gayle,KL Rahul,SM Curran,0,0,0,,,,
12,1st innings,Punjab Kings,Chennai Super Kings,2.1,KL Rahul,CH Gayle,DL Chahar,0,4,4,,,,
13,1st innings,Punjab Kings,Chennai Super Kings,2.2,KL Rahul,CH Gayle,DL Chahar,0,4,4,,,,
14,1st innings,Punjab Kings,Chennai Super Kings,2.3,KL Rahul,CH Gayle,DL Chahar,0,0,0,,,,
15,1st innings,Punjab Kings,Chennai Super Kings,2.4,KL Rahul,CH Gayle,DL Chahar,0,0,0,,,,
16,1st innings,Punjab Kings,Chennai Super Kings,2.5,KL Rahul,CH Gayle,DL Chahar,0,0,0,,KL Rahul,run out,
17,1st innings,Punjab Kings,Chennai Super Kings,2.6,CH Gayle,DJ Hooda,DL Chahar,1,0,1,wides,,,
18,1st innings,Punjab Kings,Chennai Super Kings,2.7,CH Gayle,DJ Hooda,DL Chahar,0,1,1,,,,
19,1st innings,Punjab Kings,Chennai Super Kings,3.1,CH Gayle,DJ Hooda,SM Curran,0,0,0,,,,
20,1st innings,Punjab Kings,Chennai Super Kings,3.2,CH Gayle,DJ Hooda,SM Curran,0,0,0,,,,
21,1st innings,Punjab Kings,Chennai Super Kings,3.3,CH Gayle,DJ Hooda,SM Curran,0,0,0,,,,
22,1st innings,Punjab Kings,Chennai Super Kings,3.4,CH Gayle,DJ Hooda,SM Curran,0,0,0,,,,
23,1st innings,Punjab Kings,Chennai Super Kings,3.5,CH Gayle,DJ Hooda,SM Curran,0,1,1,,,,
24,1st innings,Punjab Kings,Chennai Super Kings,3.6,DJ Hooda,CH Gayle,SM Curran,0,0,0,,,,
25,1st innings,Punjab Kings,Chennai Super Kings,4.1,CH Gayle,DJ Hooda,DL Chahar,0,1,1,,,,
26,1st innings,Punjab Kings,Chennai Super Kings,4.2,DJ Hooda,CH Gayle,DL Chahar,0,0,0,,CH Gayle,caught,RA Jadeja
27,1st innings,Punjab Kings,Chennai Super Kings,4.3,DJ Hooda,N Pooran,DL Chahar,0,0,0,,,,
28,1st innings,Punjab Kings,Chennai Super Kings,4.4,DJ Hooda,N Pooran,DL Chahar,0,0,0,,N Pooran,caught,SN Thakur
29,1st innings,Punjab Kings,Chennai Super Kings,4.5,DJ Hooda,M Shahrukh Khan,DL Chahar,0,0,0,,,,
30,1st innings,Punjab Kings,Chennai Super Kings,4.6,DJ Hooda,M Shahrukh Khan,DL Chahar,0,0,0,,,,
31,1st innings,Punjab Kings,Chennai Super Kings,5.1,M Shahrukh Khan,DJ Hooda,SN Thakur,0,0,0,,,,
32,1st innings,Punjab Kings,Chennai Super Kings,5.2,M Shahrukh Khan,DJ Hooda,SN Thakur,0,4,4,,,,
33,1st innings,Punjab Kings,Chennai Super Kings,5.3,M Shahrukh Khan,DJ Hooda,SN Thakur,0,2,2,,,,
34,1st innings,Punjab Kings,Chennai Super Kings,5.4,M Shahrukh Khan,DJ Hooda,SN Thakur,0,0,0,,,,
35,1st innings,Punjab Kings,Chennai Super Kings,5.5,M Shahrukh Khan,DJ Hooda,SN Thakur,0,0,0,,,,
36,1st innings,Punjab Kings,Chennai Super Kings,5.6,M Shahrukh Khan,DJ Hooda,SN Thakur,0,1,1,,,,
37,1st innings,Punjab Kings,Chennai Super Kings,6.1,M Shahrukh Khan,DJ Hooda,DL Chahar,0,0,0,,,,
38,1st innings,Punjab Kings,Chennai Super Kings,6.2,M Shahrukh Khan,DJ Hooda,DL Chahar,0,0,0,,DJ Hooda,caught,F du Plessis
39,1st innings,Punjab Kings,Chennai Super Kings,6.3,M Shahrukh Khan,JA Richardson,DL Chahar,0,0,0,,,,
40,1st innings,Punjab Kings,Chennai Super Kings,6.4,M Shahrukh Khan,JA Richardson,DL Chahar,0,0,0,,,,
41,1st innings,Punjab Kings,Chennai Super Kings,6.5,M Shahrukh Khan,JA Richardson,DL Chahar,0,0,0,,,,
42,1st innings,Punjab Kings,Chennai Super Kings,6.6,M Shahrukh Khan,JA Richardson,DL Chahar,0,0,0,,,,
43,1st innings,Punjab Kings,Chennai Super Kings,7.1,JA Richardson,M Shahrukh Khan,RA Jadeja,0,0,0,,,,
44,1st innings,Punjab Kings,Chennai Super Kings,7.2,JA Richardson,M Shahrukh Khan,RA Jadeja,0,0,0,,,,
45,1st innings,Punjab Kings,Chennai Super Kings,7.3,JA Richardson,M Shahrukh Khan,RA Jadeja,0,1,1,,,,
46,1st innings,Punjab Kings,Chennai Super Kings,7.4,M Shahrukh Khan,JA Richardson,RA Jadeja,0,1,1,,,,
47,1st innings,Punjab Kings,Chennai Super Kings,7.5,JA Richardson,M Shahrukh Khan,RA Jadeja,0,0,0,,,,
48,1st innings,Punjab Kings,Chennai Super Kings,7.6,JA Richardson,M Shahrukh Khan,RA Jadeja,0,6,6,,,,
49,1st innings,Punjab Kings,Chennai Super Kings,8.1,M Shahrukh Khan,JA Richardson,SN Thakur,0,4,4,,,,
50,1st innings,Punjab Kings,Chennai Super Kings,8.2,M Shahrukh Khan,JA Richardson,SN Thakur,0,1,1,,,,
51,1st innings,Punjab Kings,Chennai Super Kings,8.3,JA Richardson,M Shahrukh Khan,SN Thakur,0,1,1,,,,
