,inning,batting_team,bowling_team,ball,non_striker,batsman,bowler,extra_runs,batsman_run,total_runs,extras,player_out,elimination_kind,fielders_caught
0,1st innings,Punjab Kings,Delhi Capitals,0.1,MA Agarwal,KL Rahul,CR Woakes,0,0,0,0,0,0,0
1,1st innings,Punjab Kings,Delhi Capitals,0.2,MA Agarwal,KL Rahul,CR Woakes,0,0,0,0,0,0,0
2,1st innings,Punjab Kings,Delhi Capitals,0.3,MA Agarwal,KL Rahul,CR Woakes,0,0,0,0,0,0,0
3,1st innings,Punjab Kings,Delhi Capitals,0.4,MA Agarwal,KL Rahul,CR Woakes,0,4,4,0,0,0,0
4,1st innings,Punjab Kings,Delhi Capitals,0.5,MA Agarwal,KL Rahul,CR Woakes,0,0,0,0,0,0,0
5,1st innings,Punjab Kings,Delhi Capitals,0.6,MA Agarwal,KL Rahul,CR Woakes,0,1,1,0,0,0,0
6,1st innings,Punjab Kings,Delhi Capitals,1.1,MA Agarwal,KL Rahul,LI Meriwala,0,4,4,0,0,0,0
7,1st innings,Punjab Kings,Delhi Capitals,1.2,MA Agarwal,KL Rahul,LI Meriwala,0,1,1,0,0,0,0
8,1st innings,Punjab Kings,Delhi Capitals,1.3,KL Rahul,MA Agarwal,LI Meriwala,0,0,0,0,0,0,0
9,1st innings,Punjab Kings,Delhi Capitals,1.4,KL Rahul,MA Agarwal,LI Meriwala,1,4,5,noballs,0,0,0
10,1st innings,Punjab Kings,Delhi Capitals,1.5,KL Rahul,MA Agarwal,LI Meriwala,0,6,6,0,0,0,0
11,1st innings,Punjab Kings,Delhi Capitals,1.6,KL Rahul,MA Agarwal,LI Meriwala,0,0,0,0,0,0,0
12,1st innings,Punjab Kings,Delhi Capitals,1.7,KL Rahul,MA Agarwal,LI Meriwala,0,4,4,0,0,0,0
13,1st innings,Punjab Kings,Delhi Capitals,2.1,MA Agarwal,KL Rahul,CR Woakes,0,0,0,0,0,0,0
14,1st innings,Punjab Kings,Delhi Capitals,2.2,MA Agarwal,KL Rahul,CR Woakes,0,0,0,0,0,0,0
15,1st innings,Punjab Kings,Delhi Capitals,2.3,MA Agarwal,KL Rahul,CR Woakes,0,1,1,0,0,0,0
16,1st innings,Punjab Kings,Delhi Capitals,2.4,KL Rahul,MA Agarwal,CR Woakes,0,4,4,0,0,0,0
17,1st innings,Punjab Kings,Delhi Capitals,2.5,KL Rahul,MA Agarwal,CR Woakes,0,4,4,0,0,0,0
18,1st innings,Punjab Kings,Delhi Capitals,2.6,KL Rahul,MA Agarwal,CR Woakes,1,0,1,legbyes,0,0,0
19,1st innings,Punjab Kings,Delhi Capitals,3.1,KL Rahul,MA Agarwal,LI Meriwala,0,0,0,0,0,0,0
20,1st innings,Punjab Kings,Delhi Capitals,3.2,KL Rahul,MA Agarwal,LI Meriwala,0,2,2,0,0,0,0
21,1st innings,Punjab Kings,Delhi Capitals,3.3,KL Rahul,MA Agarwal,LI Meriwala,0,4,4,0,0,0,0
22,1st innings,Punjab Kings,Delhi Capitals,3.4,KL Rahul,MA Agarwal,LI Meriwala,0,1,1,0,0,0,0
23,1st innings,Punjab Kings,Delhi Capitals,3.5,MA Agarwal,KL Rahul,LI Meriwala,0,0,0,0,0,0,0
24,1st innings,Punjab Kings,Delhi Capitals,3.6,MA Agarwal,KL Rahul,LI Meriwala,0,1,1,0,0,0,0
25,1st innings,Punjab Kings,Delhi Capitals,4.1,MA Agarwal,KL Rahul,R Ashwin,0,0,0,0,0,0,0
26,1st innings,Punjab Kings,Delhi Capitals,4.2,MA Agarwal,KL Rahul,R Ashwin,0,1,1,0,0,0,0
27,1st innings,Punjab Kings,Delhi Capitals,4.3,KL Rahul,MA Agarwal,R Ashwin,0,1,1,0,0,0,0
28,1st innings,Punjab Kings,Delhi Capitals,4.4,MA Agarwal,KL Rahul,R Ashwin,0,0,0,0,0,0,0
29,1st innings,Punjab Kings,Delhi Capitals,4.5,MA Agarwal,KL Rahul,R Ashwin,0,4,4,0,0,0,0
30,1st innings,Punjab Kings,Delhi Capitals,4.6,MA Agarwal,KL Rahul,R Ashwin,0,1,1,0,0,0,0
31,1st innings,Punjab Kings,Delhi Capitals,5.1,MA Agarwal,KL Rahul,K Rabada,0,4,4,0,0,0,0
32,1st innings,Punjab Kings,Delhi Capitals,5.2,MA Agarwal,KL Rahul,K Rabada,0,0,0,0,0,0,0
33,1st innings,Punjab Kings,Delhi Capitals,5.3,MA Agarwal,KL Rahul,K Rabada,0,0,0,0,0,0,0
34,1st innings,Punjab Kings,Delhi Capitals,5.4,MA Agarwal,KL Rahul,K Rabada,4,0,4,legbyes,0,0,0
35,1st innings,Punjab Kings,Delhi Capitals,5.5,MA Agarwal,KL Rahul,K Rabada,0,0,0,0,0,0,0
36,1st innings,Punjab Kings,Delhi Capitals,5.6,MA Agarwal,KL Rahul,K Rabada,0,1,1,0,0,0,0
37,1st innings,Punjab Kings,Delhi Capitals,6.1,MA Agarwal,KL Rahul,R Ashwin,0,1,1,0,0,0,0
38,1st innings,Punjab Kings,Delhi Capitals,6.2,KL Rahul,MA Agarwal,R Ashwin,0,1,1,0,0,0,0
39,1st innings,Punjab Kings,Delhi Capitals,6.3,MA Agarwal,KL Rahul,R Ashwin,0,0,0,0,0,0,0
40,1st innings,Punjab Kings,Delhi Capitals,6.4,MA Agarwal,KL Rahul,R Ashwin,0,1,1,0,0,0,0
41,1st innings,Punjab Kings,Delhi Capitals,6.5,KL Rahul,MA Agarwal,R Ashwin,0,1,1,0,0,0,0
42,1st innings,Punjab Kings,Delhi Capitals,6.6,MA Agarwal,KL Rahul,R Ashwin,0,0,0,0,0,0,0
43,1st innings,Punjab Kings,Delhi Capitals,7.1,KL Rahul,MA Agarwal,Lalit Yadav,0,1,1,0,0,0,0
44,1st innings,Punjab Kings,Delhi Capitals,7.2,MA Agarwal,KL Rahul,Lalit Yadav,0,4,4,0,0,0,0
45,1st innings,Punjab Kings,Delhi Capitals,7.3,MA Agarwal,KL Rahul,Lalit Yadav,0,0,0,0,0,0,0
46,1st innings,Punjab Kings,Delhi Capitals,7.4,MA Agarwal,KL Rahul,Lalit Yadav,0,4,4,0,0,0,0
47,1st innings,Punjab Kings,Delhi Capitals,7.5,MA Agarwal,KL Rahul,Lalit Yadav,0,1,1,0,0,0,0
48,1st innings,Punjab Kings,Delhi Capitals,7.6,KL Rahul,MA Agarwal,Lalit Yadav,0,1,1,0,0,0,0
49,1st innings,Punjab Kings,Delhi Capitals,8.1,KL Rahul,MA Agarwal,R Ashwin,0,6,6,0,0,0,0
50,1st innings,Punjab Kings,Delhi Capitals,8.2,KL Rahul,MA Agarwal,R Ashwin,0,0,0,0,0,0,0
51,1st innings,Punjab Kings,Delhi Capitals,8.3,KL Rahul,MA Agarwal,R Ashwin,0,4,4,0,0,0,0
52,1st innings,Punjab Kings,Delhi Capitals,8.4,KL Rahul,MA Agarwal,R Ashwin,0,1,1,0,0,0,0
53,1st innings,Punjab Kings,Delhi Capitals,8.5,MA Agarwal,KL Rahul,R Ashwin,0,1,1,0,0,0,0
54,1st innings,Punjab Kings,Delhi Capitals,8.6,KL Rahul,MA Agarwal,R Ashwin,0,1,1,0,0,0,0
55,1st innings,Punjab Kings,Delhi Capitals,9.1,KL Rahul,MA Agarwal,Avesh Khan,0,0,0,0,0,0,0
56,1st innings,Punjab Kings,Delhi Capitals,9.2,KL Rahul,MA Agarwal,Avesh Khan,0,0,0,0,0,0,0
57,1st innings,Punjab Kings,Delhi Capitals,9.3,KL Rahul,MA Agarwal,Avesh Khan,0,4,4,0,0,0,0
58,1st innings,Punjab Kings,Delhi Capitals,9.4,KL Rahul,MA Agarwal,Avesh Khan,0,2,2,0,0,0,0
59,1st innings,Punjab Kings,Delhi Capitals,9.5,KL Rahul,MA Agarwal,Avesh Khan,0,1,1,0,0,0,0
