,inning,batting_team,bowling_team,ball,non_striker,batsman,bowler,extra_runs,batsman_run,total_runs,extras,player_out,elimination_kind,fielders_caught
0,1st innings,Chennai Super Kings,Rajasthan Royals,0.1,F du Plessis,RD Gaikwad,JD Unadkat,0,4,4,0,0,0,0
1,1st innings,Chennai Super Kings,Rajasthan Royals,0.2,F du Plessis,RD Gaikwad,JD Unadkat,0,0,0,0,0,0,0
2,1st innings,Chennai Super Kings,Rajasthan Royals,0.3,F du Plessis,RD Gaikwad,JD Unadkat,0,1,1,0,0,0,0
3,1st innings,Chennai Super Kings,Rajasthan Royals,0.4,RD Gaikwad,F du Plessis,JD Unadkat,0,0,0,0,0,0,0
4,1st innings,Chennai Super Kings,Rajasthan Royals,0.5,RD Gaikwad,F du Plessis,JD Unadkat,0,0,0,0,0,0,0
5,1st innings,Chennai Super Kings,Rajasthan Royals,0.6,RD Gaikwad,F du Plessis,JD Unadkat,0,0,0,0,0,0,0
6,1st innings,Chennai Super Kings,Rajasthan Royals,1.1,F du Plessis,RD Gaikwad,C Sakariya,0,1,1,0,0,0,0
7,1st innings,Chennai Super Kings,Rajasthan Royals,1.2,RD Gaikwad,F du Plessis,C Sakariya,0,1,1,0,0,0,0
8,1st innings,Chennai Super Kings,Rajasthan Royals,1.3,F du Plessis,RD Gaikwad,C Sakariya,0,0,0,0,0,0,0
9,1st innings,Chennai Super Kings,Rajasthan Royals,1.4,F du Plessis,RD Gaikwad,C Sakariya,0,0,0,0,0,0,0
10,1st innings,Chennai Super Kings,Rajasthan Royals,1.5,F du Plessis,RD Gaikwad,C Sakariya,0,1,1,0,0,0,0
11,1st innings,Chennai Super Kings,Rajasthan Royals,1.6,RD Gaikwad,F du Plessis,C Sakariya,0,6,6,0,0,0,0
12,1st innings,Chennai Super Kings,Rajasthan Royals,2.1,F du Plessis,RD Gaikwad,JD Unadkat,0,1,1,0,0,0,0
13,1st innings,Chennai Super Kings,Rajasthan Royals,2.2,RD Gaikwad,F du Plessis,JD Unadkat,0,1,1,0,0,0,0
14,1st innings,Chennai Super Kings,Rajasthan Royals,2.3,F du Plessis,RD Gaikwad,JD Unadkat,0,0,0,0,0,0,0
15,1st innings,Chennai Super Kings,Rajasthan Royals,2.4,F du Plessis,RD Gaikwad,JD Unadkat,0,1,1,0,0,0,0
16,1st innings,Chennai Super Kings,Rajasthan Royals,2.5,RD Gaikwad,F du Plessis,JD Unadkat,0,4,4,0,0,0,0
17,1st innings,Chennai Super Kings,Rajasthan Royals,2.6,RD Gaikwad,F du Plessis,JD Unadkat,0,1,1,0,0,0,0
18,1st innings,Chennai Super Kings,Rajasthan Royals,3.1,RD Gaikwad,F du Plessis,Mustafizur Rahman,0,1,1,0,0,0,0
19,1st innings,Chennai Super Kings,Rajasthan Royals,3.2,F du Plessis,RD Gaikwad,Mustafizur Rahman,0,0,0,0,0,0,0
20,1st innings,Chennai Super Kings,Rajasthan Royals,3.3,F du Plessis,RD Gaikwad,Mustafizur Rahman,0,1,1,0,0,0,0
21,1st innings,Chennai Super Kings,Rajasthan Royals,3.4,RD Gaikwad,F du Plessis,Mustafizur Rahman,0,1,1,0,0,0,0
22,1st innings,Chennai Super Kings,Rajasthan Royals,3.5,F du Plessis,RD Gaikwad,Mustafizur Rahman,0,0,0,0,RD Gaikwad,caught,S Dube
23,1st innings,Chennai Super Kings,Rajasthan Royals,3.6,MM Ali,F du Plessis,Mustafizur Rahman,0,0,0,0,0,0,0
24,1st innings,Chennai Super Kings,Rajasthan Royals,4.1,F du Plessis,MM Ali,JD Unadkat,0,1,1,0,0,0,0
25,1st innings,Chennai Super Kings,Rajasthan Royals,4.2,MM Ali,F du Plessis,JD Unadkat,0,4,4,0,0,0,0
26,1st innings,Chennai Super Kings,Rajasthan Royals,4.3,MM Ali,F du Plessis,JD Unadkat,0,4,4,0,0,0,0
27,1st innings,Chennai Super Kings,Rajasthan Royals,4.4,MM Ali,F du Plessis,JD Unadkat,0,0,0,0,0,0,0
28,1st innings,Chennai Super Kings,Rajasthan Royals,4.5,MM Ali,F du Plessis,JD Unadkat,0,6,6,0,0,0,0
29,1st innings,Chennai Super Kings,Rajasthan Royals,4.6,MM Ali,F du Plessis,JD Unadkat,0,4,4,0,0,0,0
30,1st innings,Chennai Super Kings,Rajasthan Royals,5.1,F du Plessis,MM Ali,CH Morris,0,0,0,0,0,0,0
31,1st innings,Chennai Super Kings,Rajasthan Royals,5.2,F du Plessis,MM Ali,CH Morris,0,0,0,0,0,0,0
32,1st innings,Chennai Super Kings,Rajasthan Royals,5.3,F du Plessis,MM Ali,CH Morris,0,1,1,0,0,0,0
33,1st innings,Chennai Super Kings,Rajasthan Royals,5.4,MM Ali,F du Plessis,CH Morris,0,0,0,0,F du Plessis,caught,R Parag
34,1st innings,Chennai Super Kings,Rajasthan Royals,5.5,SK Raina,MM Ali,CH Morris,0,0,0,0,0,0,0
35,1st innings,Chennai Super Kings,Rajasthan Royals,5.6,SK Raina,MM Ali,CH Morris,0,1,1,0,0,0,0
36,1st innings,Chennai Super Kings,Rajasthan Royals,6.1,SK Raina,MM Ali,Mustafizur Rahman,1,0,1,wides,0,0,0
37,1st innings,Chennai Super Kings,Rajasthan Royals,6.2,SK Raina,MM Ali,Mustafizur Rahman,0,0,0,0,0,0,0
38,1st innings,Chennai Super Kings,Rajasthan Royals,6.3,SK Raina,MM Ali,Mustafizur Rahman,0,4,4,0,0,0,0
39,1st innings,Chennai Super Kings,Rajasthan Royals,6.4,SK Raina,MM Ali,Mustafizur Rahman,0,0,0,0,0,0,0
40,1st innings,Chennai Super Kings,Rajasthan Royals,6.5,SK Raina,MM Ali,Mustafizur Rahman,0,6,6,0,0,0,0
41,1st innings,Chennai Super Kings,Rajasthan Royals,6.6,SK Raina,MM Ali,Mustafizur Rahman,0,1,1,0,0,0,0
