,inning,batting_team,bowling_team,ball,non_striker,batsman,bowler,extra_runs,batsman_run,total_runs,extras,player_out,elimination_kind,fielders_caught
0,1st innings,Mumbai Indians,Delhi Capitals,0.1,Q de Kock,RG Sharma,MP Stoinis,0,0,0,,,,
1,1st innings,Mumbai Indians,Delhi Capitals,0.2,Q de Kock,RG Sharma,MP Stoinis,0,1,1,,,,
2,1st innings,Mumbai Indians,Delhi Capitals,0.3,RG Sharma,Q de Kock,MP Stoinis,0,1,1,,,,
3,1st innings,Mumbai Indians,Delhi Capitals,0.4,Q de Kock,RG Sharma,MP Stoinis,0,2,2,,,,
4,1st innings,Mumbai Indians,Delhi Capitals,0.5,Q de Kock,RG Sharma,MP Stoinis,0,0,0,,,,
5,1st innings,Mumbai Indians,Delhi Capitals,0.6,Q de Kock,RG Sharma,MP Stoinis,0,2,2,,,,
6,1st innings,Mumbai Indians,Delhi Capitals,1.1,RG Sharma,Q de Kock,R Ashwin,1,0,1,legbyes,,,
7,1st innings,Mumbai Indians,Delhi Capitals,1.2,Q de Kock,RG Sharma,R Ashwin,0,0,0,,,,
8,1st innings,Mumbai Indians,Delhi Capitals,1.3,Q de Kock,RG Sharma,R Ashwin,0,0,0,,,,
9,1st innings,Mumbai Indians,Delhi Capitals,1.4,Q de Kock,RG Sharma,R Ashwin,0,0,0,,,,
10,1st innings,Mumbai Indians,Delhi Capitals,1.5,Q de Kock,RG Sharma,R Ashwin,0,1,1,,,,
11,1st innings,Mumbai Indians,Delhi Capitals,1.6,RG Sharma,Q de Kock,R Ashwin,0,1,1,,,,
12,1st innings,Mumbai Indians,Delhi Capitals,2.1,RG Sharma,Q de Kock,MP Stoinis,0,0,0,,Q de Kock,caught,RR Pant
13,1st innings,Mumbai Indians,Delhi Capitals,2.2,RG Sharma,SA Yadav,MP Stoinis,0,1,1,,,,
14,1st innings,Mumbai Indians,Delhi Capitals,2.3,SA Yadav,RG Sharma,MP Stoinis,0,1,1,,,,
15,1st innings,Mumbai Indians,Delhi Capitals,2.4,RG Sharma,SA Yadav,MP Stoinis,0,0,0,,,,
16,1st innings,Mumbai Indians,Delhi Capitals,2.5,RG Sharma,SA Yadav,MP Stoinis,0,1,1,,,,
17,1st innings,Mumbai Indians,Delhi Capitals,2.6,SA Yadav,RG Sharma,MP Stoinis,0,4,4,,,,
18,1st innings,Mumbai Indians,Delhi Capitals,3.1,RG Sharma,SA Yadav,R Ashwin,0,4,4,,,,
19,1st innings,Mumbai Indians,Delhi Capitals,3.2,RG Sharma,SA Yadav,R Ashwin,0,0,0,,,,
20,1st innings,Mumbai Indians,Delhi Capitals,3.3,RG Sharma,SA Yadav,R Ashwin,0,1,1,,,,
21,1st innings,Mumbai Indians,Delhi Capitals,3.4,SA Yadav,RG Sharma,R Ashwin,0,4,4,,,,
22,1st innings,Mumbai Indians,Delhi Capitals,3.5,SA Yadav,RG Sharma,R Ashwin,0,0,0,,,,
23,1st innings,Mumbai Indians,Delhi Capitals,3.6,SA Yadav,RG Sharma,R Ashwin,0,6,6,,,,
24,1st innings,Mumbai Indians,Delhi Capitals,4.1,RG Sharma,SA Yadav,K Rabada,0,0,0,,,,
25,1st innings,Mumbai Indians,Delhi Capitals,4.2,RG Sharma,SA Yadav,K Rabada,0,4,4,,,,
26,1st innings,Mumbai Indians,Delhi Capitals,4.3,RG Sharma,SA Yadav,K Rabada,0,3,3,,,,
27,1st innings,Mumbai Indians,Delhi Capitals,4.4,SA Yadav,RG Sharma,K Rabada,0,0,0,,,,
28,1st innings,Mumbai Indians,Delhi Capitals,4.5,SA Yadav,RG Sharma,K Rabada,0,6,6,,,,
29,1st innings,Mumbai Indians,Delhi Capitals,4.6,SA Yadav,RG Sharma,K Rabada,0,1,1,,,,
30,1st innings,Mumbai Indians,Delhi Capitals,5.1,SA Yadav,RG Sharma,A Mishra,0,1,1,,,,
31,1st innings,Mumbai Indians,Delhi Capitals,5.2,RG Sharma,SA Yadav,A Mishra,0,0,0,,,,
32,1st innings,Mumbai Indians,Delhi Capitals,5.3,RG Sharma,SA Yadav,A Mishra,0,4,4,,,,
33,1st innings,Mumbai Indians,Delhi Capitals,5.4,RG Sharma,SA Yadav,A Mishra,0,4,4,,,,
34,1st innings,Mumbai Indians,Delhi Capitals,5.5,RG Sharma,SA Yadav,A Mishra,0,1,1,,,,
35,1st innings,Mumbai Indians,Delhi Capitals,5.6,SA Yadav,RG Sharma,A Mishra,0,0,0,,,,
36,1st innings,Mumbai Indians,Delhi Capitals,6.1,RG Sharma,SA Yadav,Avesh Khan,0,1,1,,,,
37,1st innings,Mumbai Indians,Delhi Capitals,6.2,SA Yadav,RG Sharma,Avesh Khan,4,0,4,legbyes,,,
38,1st innings,Mumbai Indians,Delhi Capitals,6.3,SA Yadav,RG Sharma,Avesh Khan,0,0,0,,,,
39,1st innings,Mumbai Indians,Delhi Capitals,6.4,SA Yadav,RG Sharma,Avesh Khan,0,6,6,,,,
40,1st innings,Mumbai Indians,Delhi Capitals,6.5,SA Yadav,RG Sharma,Avesh Khan,0,1,1,,,,
41,1st innings,Mumbai Indians,Delhi Capitals,6.6,RG Sharma,SA Yadav,Avesh Khan,0,0,0,,SA Yadav,caught,RR Pant
42,1st innings,Mumbai Indians,Delhi Capitals,7.1,Ishan Kishan,RG Sharma,Lalit Yadav,0,1,1,,,,
43,1st innings,Mumbai Indians,Delhi Capitals,7.2,RG Sharma,Ishan Kishan,Lalit Yadav,0,0,0,,,,
44,1st innings,Mumbai Indians,Delhi Capitals,7.3,RG Sharma,Ishan Kishan,Lalit Yadav,0,1,1,,,,
45,1st innings,Mumbai Indians,Delhi Capitals,7.4,Ishan Kishan,RG Sharma,Lalit Yadav,0,0,0,,,,
46,1st innings,Mumbai Indians,Delhi Capitals,7.5,Ishan Kishan,RG Sharma,Lalit Yadav,0,1,1,,,,
47,1st innings,Mumbai Indians,Delhi Capitals,7.6,RG Sharma,Ishan Kishan,Lalit Yadav,0,0,0,,,,
48,1st innings,Mumbai Indians,Delhi Capitals,8.1,Ishan Kishan,RG Sharma,A Mishra,0,2,2,,,,
49,1st innings,Mumbai Indians,Delhi Capitals,8.2,Ishan Kishan,RG Sharma,A Mishra,0,4,4,,,,
50,1st innings,Mumbai Indians,Delhi Capitals,8.3,Ishan Kishan,RG Sharma,A Mishra,0,0,0,,,,
51,1st innings,Mumbai Indians,Delhi Capitals,8.4,Ishan Kishan,RG Sharma,A Mishra,0,0,0,,RG Sharma,caught,SPD Smith
52,1st innings,Mumbai Indians,Delhi Capitals,8.5,HH Pandya,Ishan Kishan,A Mishra,0,1,1,,,,
53,1st innings,Mumbai Indians,Delhi Capitals,8.6,Ishan Kishan,HH Pandya,A Mishra,0,0,0,,HH Pandya,caught,SPD Smith
54,1st innings,Mumbai Indians,Delhi Capitals,9.1,KH Pandya,Ishan Kishan,R Ashwin,0,0,0,,,,
55,1st innings,Mumbai Indians,Delhi Capitals,9.2,KH Pandya,Ishan Kishan,R Ashwin,0,0,0,,,,
56,1st innings,Mumbai Indians,Delhi Capitals,9.3,KH Pandya,Ishan Kishan,R Ashwin,0,1,1,,,,
57,1st innings,Mumbai Indians,Delhi Capitals,9.4,Ishan Kishan,KH Pandya,R Ashwin,0,0,0,,,,
58,1st innings,Mumbai Indians,Delhi Capitals,9.5,Ishan Kishan,KH Pandya,R Ashwin,0,0,0,,,,
59,1st innings,Mumbai Indians,Delhi Capitals,9.6,Ishan Kishan,KH Pandya,R Ashwin,0,0,0,,,,
60,1st innings,Mumbai Indians,Delhi Capitals,10.1,KH Pandya,Ishan Kishan,Lalit Yadav,0,1,1,,,,
61,1st innings,Mumbai Indians,Delhi Capitals,10.2,Ishan Kishan,KH Pandya,Lalit Yadav,0,1,1,,,,
62,1st innings,Mumbai Indians,Delhi Capitals,10.3,KH Pandya,Ishan Kishan,Lalit Yadav,0,1,1,,,,
63,1st innings,Mumbai Indians,Delhi Capitals,10.4,Ishan Kishan,KH Pandya,Lalit Yadav,0,0,0,,KH Pandya,bowled,
64,1st innings,Mumbai Indians,Delhi Capitals,10.5,Ishan Kishan,KA Pollard,Lalit Yadav,0,0,0,,,,
65,1st innings,Mumbai Indians,Delhi Capitals,10.6,Ishan Kishan,KA Pollard,Lalit Yadav,0,1,1,,,,
66,1st innings,Mumbai Indians,Delhi Capitals,11.1,Ishan Kishan,KA Pollard,A Mishra,0,0,0,,,,
67,1st innings,Mumbai Indians,Delhi Capitals,11.2,Ishan Kishan,KA Pollard,A Mishra,0,1,1,,,,
68,1st innings,Mumbai Indians,Delhi Capitals,11.3,KA Pollard,Ishan Kishan,A Mishra,0,0,0,,,,
69,1st innings,Mumbai Indians,Delhi Capitals,11.4,KA Pollard,Ishan Kishan,A Mishra,0,1,1,,,,
70,1st innings,Mumbai Indians,Delhi Capitals,11.5,Ishan Kishan,KA Pollard,A Mishra,0,0,0,,KA Pollard,lbw,
71,1st innings,Mumbai Indians,Delhi Capitals,11.6,Ishan Kishan,J Yadav,A Mishra,0,0,0,,,,
72,1st innings,Mumbai Indians,Delhi Capitals,12.1,J Yadav,Ishan Kishan,Lalit Yadav,0,1,1,,,,
73,1st innings,Mumbai Indians,Delhi Capitals,12.2,Ishan Kishan,J Yadav,Lalit Yadav,0,1,1,,,,
74,1st innings,Mumbai Indians,Delhi Capitals,12.3,J Yadav,Ishan Kishan,Lalit Yadav,0,1,1,,,,
75,1st innings,Mumbai Indians,Delhi Capitals,12.4,Ishan Kishan,J Yadav,Lalit Yadav,0,1,1,,,,
76,1st innings,Mumbai Indians,Delhi Capitals,12.5,J Yadav,Ishan Kishan,Lalit Yadav,0,0,0,,,,
77,1st innings,Mumbai Indians,Delhi Capitals,12.6,J Yadav,Ishan Kishan,Lalit Yadav,0,1,1,,,,
78,1st innings,Mumbai Indians,Delhi Capitals,13.1,J Yadav,Ishan Kishan,MP Stoinis,0,1,1,,,,
79,1st innings,Mumbai Indians,Delhi Capitals,13.2,Ishan Kishan,J Yadav,MP Stoinis,0,4,4,,,,
80,1st innings,Mumbai Indians,Delhi Capitals,13.3,Ishan Kishan,J Yadav,MP Stoinis,0,0,0,,,,
81,1st innings,Mumbai Indians,Delhi Capitals,13.4,Ishan Kishan,J Yadav,MP Stoinis,0,1,1,,,,
82,1st innings,Mumbai Indians,Delhi Capitals,13.5,J Yadav,Ishan Kishan,MP Stoinis,0,1,1,,,,
83,1st innings,Mumbai Indians,Delhi Capitals,13.6,Ishan Kishan,J Yadav,MP Stoinis,0,0,0,,,,
84,1st innings,Mumbai Indians,Delhi Capitals,14.1,J Yadav,Ishan Kishan,Lalit Yadav,0,1,1,,,,
85,1st innings,Mumbai Indians,Delhi Capitals,14.2,Ishan Kishan,J Yadav,Lalit Yadav,0,1,1,,,,
86,1st innings,Mumbai Indians,Delhi Capitals,14.3,J Yadav,Ishan Kishan,Lalit Yadav,0,1,1,,,,
87,1st innings,Mumbai Indians,Delhi Capitals,14.4,Ishan Kishan,J Yadav,Lalit Yadav,0,1,1,,,,
88,1st innings,Mumbai Indians,Delhi Capitals,14.5,J Yadav,Ishan Kishan,Lalit Yadav,0,0,0,,,,
89,1st innings,Mumbai Indians,Delhi Capitals,14.6,J Yadav,Ishan Kishan,Lalit Yadav,0,1,1,,,,
90,1st innings,Mumbai Indians,Delhi Capitals,15.1,J Yadav,Ishan Kishan,R Ashwin,0,6,6,,,,
91,1st innings,Mumbai Indians,Delhi Capitals,15.2,J Yadav,Ishan Kishan,R Ashwin,0,0,0,,,,
92,1st innings,Mumbai Indians,Delhi Capitals,15.3,J Yadav,Ishan Kishan,R Ashwin,0,1,1,,,,
93,1st innings,Mumbai Indians,Delhi Capitals,15.4,Ishan Kishan,J Yadav,R Ashwin,0,2,2,,,,
94,1st innings,Mumbai Indians,Delhi Capitals,15.5,Ishan Kishan,J Yadav,R Ashwin,0,2,2,,,,
95,1st innings,Mumbai Indians,Delhi Capitals,15.6,Ishan Kishan,J Yadav,R Ashwin,0,2,2,,,,
96,1st innings,Mumbai Indians,Delhi Capitals,16.1,J Yadav,Ishan Kishan,K Rabada,0,0,0,,,,
97,1st innings,Mumbai Indians,Delhi Capitals,16.2,J Yadav,Ishan Kishan,K Rabada,0,4,4,,,,
98,1st innings,Mumbai Indians,Delhi Capitals,16.3,J Yadav,Ishan Kishan,K Rabada,0,1,1,,,,
99,1st innings,Mumbai Indians,Delhi Capitals,16.4,Ishan Kishan,J Yadav,K Rabada,0,0,0,,,,
100,1st innings,Mumbai Indians,Delhi Capitals,16.5,Ishan Kishan,J Yadav,K Rabada,0,0,0,,,,
101,1st innings,Mumbai Indians,Delhi Capitals,16.6,Ishan Kishan,J Yadav,K Rabada,0,1,1,,,,
102,1st innings,Mumbai Indians,Delhi Capitals,17.1,Ishan Kishan,J Yadav,A Mishra,0,2,2,,,,
103,1st innings,Mumbai Indians,Delhi Capitals,17.2,Ishan Kishan,J Yadav,A Mishra,0,1,1,,,,
104,1st innings,Mumbai Indians,Delhi Capitals,17.3,J Yadav,Ishan Kishan,A Mishra,0,0,0,,Ishan Kishan,bowled,
105,1st innings,Mumbai Indians,Delhi Capitals,17.4,J Yadav,RD Chahar,A Mishra,0,0,0,,,,
106,1st innings,Mumbai Indians,Delhi Capitals,17.5,J Yadav,RD Chahar,A Mishra,0,1,1,,,,
107,1st innings,Mumbai Indians,Delhi Capitals,17.6,RD Chahar,J Yadav,A Mishra,0,1,1,,,,
108,1st innings,Mumbai Indians,Delhi Capitals,18.1,RD Chahar,J Yadav,K Rabada,0,2,2,,,,
109,1st innings,Mumbai Indians,Delhi Capitals,18.2,RD Chahar,J Yadav,K Rabada,0,1,1,,,,
110,1st innings,Mumbai Indians,Delhi Capitals,18.3,J Yadav,RD Chahar,K Rabada,0,1,1,,,,
111,1st innings,Mumbai Indians,Delhi Capitals,18.4,RD Chahar,J Yadav,K Rabada,0,0,0,,,,
112,1st innings,Mumbai Indians,Delhi Capitals,18.5,RD Chahar,J Yadav,K Rabada,0,0,0,,J Yadav,caught and bowled,
113,1st innings,Mumbai Indians,Delhi Capitals,18.6,RD Chahar,JJ Bumrah,K Rabada,0,1,1,,,,
114,1st innings,Mumbai Indians,Delhi Capitals,19.1,RD Chahar,JJ Bumrah,Avesh Khan,0,1,1,,,,
115,1st innings,Mumbai Indians,Delhi Capitals,19.2,JJ Bumrah,RD Chahar,Avesh Khan,0,4,4,,,,
116,1st innings,Mumbai Indians,Delhi Capitals,19.3,JJ Bumrah,RD Chahar,Avesh Khan,0,0,0,,,,
117,1st innings,Mumbai Indians,Delhi Capitals,19.4,JJ Bumrah,RD Chahar,Avesh Khan,0,0,0,,RD Chahar,caught,RR Pant
