,inning,batting_team,bowling_team,ball,non_striker,batsman,bowler,extra_runs,batsman_run,total_runs,extras,player_out,elimination_kind,fielders_caught
0,1st innings,Punjab Kings,Sunrisers Hyderabad,0.1,MA Agarwal,KL Rahul,Abhishek Sharma,0,1,1,0,0,0,0
1,1st innings,Punjab Kings,Sunrisers Hyderabad,0.2,KL Rahul,MA Agarwal,Abhishek Sharma,0,0,0,0,0,0,0
2,1st innings,Punjab Kings,Sunrisers Hyderabad,0.3,KL Rahul,MA Agarwal,Abhishek Sharma,0,0,0,0,0,0,0
3,1st innings,Punjab Kings,Sunrisers Hyderabad,0.4,KL Rahul,MA Agarwal,Abhishek Sharma,0,0,0,0,0,0,0
4,1st innings,Punjab Kings,Sunrisers Hyderabad,0.5,KL Rahul,MA Agarwal,Abhishek Sharma,0,0,0,0,0,0,0
5,1st innings,Punjab Kings,Sunrisers Hyderabad,0.6,KL Rahul,MA Agarwal,Abhishek Sharma,0,2,2,0,0,0,0
6,1st innings,Punjab Kings,Sunrisers Hyderabad,1.1,MA Agarwal,KL Rahul,B Kumar,0,1,1,0,0,0,0
7,1st innings,Punjab Kings,Sunrisers Hyderabad,1.2,KL Rahul,MA Agarwal,B Kumar,0,2,2,0,0,0,0
8,1st innings,Punjab Kings,Sunrisers Hyderabad,1.3,KL Rahul,MA Agarwal,B Kumar,0,0,0,0,0,0,0
9,1st innings,Punjab Kings,Sunrisers Hyderabad,1.4,KL Rahul,MA Agarwal,B Kumar,0,1,1,0,0,0,0
10,1st innings,Punjab Kings,Sunrisers Hyderabad,1.5,MA Agarwal,KL Rahul,B Kumar,0,1,1,0,0,0,0
11,1st innings,Punjab Kings,Sunrisers Hyderabad,1.6,KL Rahul,MA Agarwal,B Kumar,0,1,1,0,0,0,0
12,1st innings,Punjab Kings,Sunrisers Hyderabad,2.1,KL Rahul,MA Agarwal,KK Ahmed,0,0,0,0,0,0,0
13,1st innings,Punjab Kings,Sunrisers Hyderabad,2.2,KL Rahul,MA Agarwal,KK Ahmed,0,4,4,0,0,0,0
14,1st innings,Punjab Kings,Sunrisers Hyderabad,2.3,KL Rahul,MA Agarwal,KK Ahmed,0,0,0,0,0,0,0
15,1st innings,Punjab Kings,Sunrisers Hyderabad,2.4,KL Rahul,MA Agarwal,KK Ahmed,0,1,1,0,0,0,0
16,1st innings,Punjab Kings,Sunrisers Hyderabad,2.5,MA Agarwal,KL Rahul,KK Ahmed,0,0,0,0,0,0,0
17,1st innings,Punjab Kings,Sunrisers Hyderabad,2.6,MA Agarwal,KL Rahul,KK Ahmed,0,1,1,0,0,0,0
18,1st innings,Punjab Kings,Sunrisers Hyderabad,3.1,MA Agarwal,KL Rahul,B Kumar,0,0,0,0,KL Rahul,caught,KM Jadhav
19,1st innings,Punjab Kings,Sunrisers Hyderabad,3.2,MA Agarwal,CH Gayle,B Kumar,0,0,0,0,0,0,0
20,1st innings,Punjab Kings,Sunrisers Hyderabad,3.3,MA Agarwal,CH Gayle,B Kumar,0,1,1,0,0,0,0
21,1st innings,Punjab Kings,Sunrisers Hyderabad,3.4,CH Gayle,MA Agarwal,B Kumar,0,1,1,0,0,0,0
22,1st innings,Punjab Kings,Sunrisers Hyderabad,3.5,MA Agarwal,CH Gayle,B Kumar,0,1,1,0,0,0,0
23,1st innings,Punjab Kings,Sunrisers Hyderabad,3.6,CH Gayle,MA Agarwal,B Kumar,0,1,1,0,0,0,0
24,1st innings,Punjab Kings,Sunrisers Hyderabad,4.1,CH Gayle,MA Agarwal,S Kaul,0,1,1,0,0,0,0
25,1st innings,Punjab Kings,Sunrisers Hyderabad,4.2,MA Agarwal,CH Gayle,S Kaul,0,1,1,0,0,0,0
26,1st innings,Punjab Kings,Sunrisers Hyderabad,4.3,CH Gayle,MA Agarwal,S Kaul,0,1,1,0,0,0,0
27,1st innings,Punjab Kings,Sunrisers Hyderabad,4.4,MA Agarwal,CH Gayle,S Kaul,0,0,0,0,0,0,0
28,1st innings,Punjab Kings,Sunrisers Hyderabad,4.5,MA Agarwal,CH Gayle,S Kaul,0,4,4,0,0,0,0
29,1st innings,Punjab Kings,Sunrisers Hyderabad,4.6,MA Agarwal,CH Gayle,S Kaul,0,0,0,0,0,0,0
30,1st innings,Punjab Kings,Sunrisers Hyderabad,5.1,CH Gayle,MA Agarwal,B Kumar,0,0,0,0,0,0,0
