,inning,batting_team,bowling_team,ball,non_striker,batsman,bowler,extra_runs,batsman_run,total_runs,extras,player_out,elimination_kind,fielders_caught
0,1st innings,Chennai Super Kings,Royal Challengers Bangalore,0.1,F du Plessis,RD Gaikwad,Mohammed Siraj,0,1,1,,,,
1,1st innings,Chennai Super Kings,Royal Challengers Bangalore,0.2,RD Gaikwad,F du Plessis,Mohammed Siraj,0,4,4,,,,
2,1st innings,Chennai Super Kings,Royal Challengers Bangalore,0.3,RD Gaikwad,F du Plessis,Mohammed Siraj,0,0,0,,,,
3,1st innings,Chennai Super Kings,Royal Challengers Bangalore,0.4,RD Gaikwad,F du Plessis,Mohammed Siraj,0,0,0,,,,
4,1st innings,Chennai Super Kings,Royal Challengers Bangalore,0.5,RD Gaikwad,F du Plessis,Mohammed Siraj,0,1,1,,,,
5,1st innings,Chennai Super Kings,Royal Challengers Bangalore,0.6,F du Plessis,RD Gaikwad,Mohammed Siraj,0,0,0,,,,
6,1st innings,Chennai Super Kings,Royal Challengers Bangalore,1.1,RD Gaikwad,F du Plessis,KA Jamieson,0,0,0,,,,
7,1st innings,Chennai Super Kings,Royal Challengers Bangalore,1.2,RD Gaikwad,F du Plessis,KA Jamieson,0,0,0,,,,
8,1st innings,Chennai Super Kings,Royal Challengers Bangalore,1.3,RD Gaikwad,F du Plessis,KA Jamieson,0,1,1,,,,
9,1st innings,Chennai Super Kings,Royal Challengers Bangalore,1.4,F du Plessis,RD Gaikwad,KA Jamieson,1,0,1,wides,,,
10,1st innings,Chennai Super Kings,Royal Challengers Bangalore,1.5,F du Plessis,RD Gaikwad,KA Jamieson,0,1,1,,,,
11,1st innings,Chennai Super Kings,Royal Challengers Bangalore,1.6,RD Gaikwad,F du Plessis,KA Jamieson,0,1,1,,,,
12,1st innings,Chennai Super Kings,Royal Challengers Bangalore,1.7,F du Plessis,RD Gaikwad,KA Jamieson,0,0,0,,,,
13,1st innings,Chennai Super Kings,Royal Challengers Bangalore,2.1,RD Gaikwad,F du Plessis,Mohammed Siraj,0,6,6,,,,
14,1st innings,Chennai Super Kings,Royal Challengers Bangalore,2.2,RD Gaikwad,F du Plessis,Mohammed Siraj,0,1,1,,,,
15,1st innings,Chennai Super Kings,Royal Challengers Bangalore,2.3,F du Plessis,RD Gaikwad,Mohammed Siraj,0,0,0,,,,
16,1st innings,Chennai Super Kings,Royal Challengers Bangalore,2.4,F du Plessis,RD Gaikwad,Mohammed Siraj,0,4,4,,,,
17,1st innings,Chennai Super Kings,Royal Challengers Bangalore,2.5,F du Plessis,RD Gaikwad,Mohammed Siraj,0,0,0,,,,
18,1st innings,Chennai Super Kings,Royal Challengers Bangalore,2.6,F du Plessis,RD Gaikwad,Mohammed Siraj,0,0,0,,,,
19,1st innings,Chennai Super Kings,Royal Challengers Bangalore,3.1,RD Gaikwad,F du Plessis,KA Jamieson,0,4,4,,,,
20,1st innings,Chennai Super Kings,Royal Challengers Bangalore,3.2,RD Gaikwad,F du Plessis,KA Jamieson,0,0,0,,,,
21,1st innings,Chennai Super Kings,Royal Challengers Bangalore,3.3,RD Gaikwad,F du Plessis,KA Jamieson,0,4,4,,,,
22,1st innings,Chennai Super Kings,Royal Challengers Bangalore,3.4,RD Gaikwad,F du Plessis,KA Jamieson,0,1,1,,,,
23,1st innings,Chennai Super Kings,Royal Challengers Bangalore,3.5,F du Plessis,RD Gaikwad,KA Jamieson,0,1,1,,,,
24,1st innings,Chennai Super Kings,Royal Challengers Bangalore,3.6,RD Gaikwad,F du Plessis,KA Jamieson,0,0,0,,,,
25,1st innings,Chennai Super Kings,Royal Challengers Bangalore,4.1,F du Plessis,RD Gaikwad,YS Chahal,0,0,0,,,,
26,1st innings,Chennai Super Kings,Royal Challengers Bangalore,4.2,F du Plessis,RD Gaikwad,YS Chahal,0,4,4,,,,
27,1st innings,Chennai Super Kings,Royal Challengers Bangalore,4.3,F du Plessis,RD Gaikwad,YS Chahal,0,1,1,,,,
28,1st innings,Chennai Super Kings,Royal Challengers Bangalore,4.4,RD Gaikwad,F du Plessis,YS Chahal,0,1,1,,,,
29,1st innings,Chennai Super Kings,Royal Challengers Bangalore,4.5,F du Plessis,RD Gaikwad,YS Chahal,0,0,0,,,,
30,1st innings,Chennai Super Kings,Royal Challengers Bangalore,4.6,F du Plessis,RD Gaikwad,YS Chahal,0,0,0,,,,
31,1st innings,Chennai Super Kings,Royal Challengers Bangalore,5.1,RD Gaikwad,F du Plessis,NA Saini,0,1,1,,,,
32,1st innings,Chennai Super Kings,Royal Challengers Bangalore,5.2,F du Plessis,RD Gaikwad,NA Saini,1,1,2,noballs,,,
33,1st innings,Chennai Super Kings,Royal Challengers Bangalore,5.3,RD Gaikwad,F du Plessis,NA Saini,0,1,1,,,,
34,1st innings,Chennai Super Kings,Royal Challengers Bangalore,5.4,F du Plessis,RD Gaikwad,NA Saini,0,4,4,,,,
35,1st innings,Chennai Super Kings,Royal Challengers Bangalore,5.5,F du Plessis,RD Gaikwad,NA Saini,0,1,1,,,,
36,1st innings,Chennai Super Kings,Royal Challengers Bangalore,5.6,RD Gaikwad,F du Plessis,NA Saini,0,1,1,,,,
37,1st innings,Chennai Super Kings,Royal Challengers Bangalore,5.7,F du Plessis,RD Gaikwad,NA Saini,0,4,4,,,,
38,1st innings,Chennai Super Kings,Royal Challengers Bangalore,6.1,RD Gaikwad,F du Plessis,YS Chahal,0,0,0,,,,
39,1st innings,Chennai Super Kings,Royal Challengers Bangalore,6.2,RD Gaikwad,F du Plessis,YS Chahal,0,0,0,,,,
40,1st innings,Chennai Super Kings,Royal Challengers Bangalore,6.3,RD Gaikwad,F du Plessis,YS Chahal,0,2,2,,,,
41,1st innings,Chennai Super Kings,Royal Challengers Bangalore,6.4,RD Gaikwad,F du Plessis,YS Chahal,0,1,1,,,,
42,1st innings,Chennai Super Kings,Royal Challengers Bangalore,6.5,F du Plessis,RD Gaikwad,YS Chahal,0,0,0,,,,
43,1st innings,Chennai Super Kings,Royal Challengers Bangalore,6.6,F du Plessis,RD Gaikwad,YS Chahal,0,6,6,,,,
44,1st innings,Chennai Super Kings,Royal Challengers Bangalore,7.1,RD Gaikwad,F du Plessis,HV Patel,0,0,0,,,,
45,1st innings,Chennai Super Kings,Royal Challengers Bangalore,7.2,RD Gaikwad,F du Plessis,HV Patel,0,4,4,,,,
46,1st innings,Chennai Super Kings,Royal Challengers Bangalore,7.3,RD Gaikwad,F du Plessis,HV Patel,0,0,0,,,,
47,1st innings,Chennai Super Kings,Royal Challengers Bangalore,7.4,RD Gaikwad,F du Plessis,HV Patel,0,1,1,,,,
48,1st innings,Chennai Super Kings,Royal Challengers Bangalore,7.5,F du Plessis,RD Gaikwad,HV Patel,0,2,2,,,,
49,1st innings,Chennai Super Kings,Royal Challengers Bangalore,7.6,F du Plessis,RD Gaikwad,HV Patel,0,1,1,,,,
50,1st innings,Chennai Super Kings,Royal Challengers Bangalore,8.1,F du Plessis,RD Gaikwad,DT Christian,0,1,1,,,,
51,1st innings,Chennai Super Kings,Royal Challengers Bangalore,8.2,RD Gaikwad,F du Plessis,DT Christian,1,0,1,wides,,,
52,1st innings,Chennai Super Kings,Royal Challengers Bangalore,8.3,RD Gaikwad,F du Plessis,DT Christian,0,0,0,,,,
53,1st innings,Chennai Super Kings,Royal Challengers Bangalore,8.4,RD Gaikwad,F du Plessis,DT Christian,0,1,1,,,,
54,1st innings,Chennai Super Kings,Royal Challengers Bangalore,8.5,F du Plessis,RD Gaikwad,DT Christian,0,1,1,,,,
55,1st innings,Chennai Super Kings,Royal Challengers Bangalore,8.6,RD Gaikwad,F du Plessis,DT Christian,0,2,2,,,,
56,1st innings,Chennai Super Kings,Royal Challengers Bangalore,8.7,RD Gaikwad,F du Plessis,DT Christian,0,0,0,,,,
57,1st innings,Chennai Super Kings,Royal Challengers Bangalore,9.1,F du Plessis,RD Gaikwad,YS Chahal,0,0,0,,RD Gaikwad,caught,KA Jamieson
58,1st innings,Chennai Super Kings,Royal Challengers Bangalore,9.2,SK Raina,F du Plessis,YS Chahal,0,1,1,,,,
59,1st innings,Chennai Super Kings,Royal Challengers Bangalore,9.3,F du Plessis,SK Raina,YS Chahal,0,1,1,,,,
60,1st innings,Chennai Super Kings,Royal Challengers Bangalore,9.4,SK Raina,F du Plessis,YS Chahal,0,1,1,,,,
61,1st innings,Chennai Super Kings,Royal Challengers Bangalore,9.5,F du Plessis,SK Raina,YS Chahal,0,0,0,,,,
62,1st innings,Chennai Super Kings,Royal Challengers Bangalore,9.6,F du Plessis,SK Raina,YS Chahal,0,6,6,,,,
63,1st innings,Chennai Super Kings,Royal Challengers Bangalore,10.1,SK Raina,F du Plessis,DT Christian,0,1,1,,,,
64,1st innings,Chennai Super Kings,Royal Challengers Bangalore,10.2,F du Plessis,SK Raina,DT Christian,1,0,1,legbyes,,,
65,1st innings,Chennai Super Kings,Royal Challengers Bangalore,10.3,SK Raina,F du Plessis,DT Christian,0,1,1,,,,
