,inning,batting_team,bowling_team,ball,non_striker,batsman,bowler,extra_runs,batsman_run,total_runs,extras,player_out,elimination_kind,fielders_caught
0,1st innings,Royal Challengers Bangalore,Delhi Capitals,0.1,D Padikkal,V Kohli,I Sharma,0,1,1,,,,
1,1st innings,Royal Challengers Bangalore,Delhi Capitals,0.2,V Kohli,D Padikkal,I Sharma,0,0,0,,,,
2,1st innings,Royal Challengers Bangalore,Delhi Capitals,0.3,V Kohli,D Padikkal,I Sharma,0,0,0,,,,
3,1st innings,Royal Challengers Bangalore,Delhi Capitals,0.4,V Kohli,D Padikkal,I Sharma,0,4,4,,,,
4,1st innings,Royal Challengers Bangalore,Delhi Capitals,0.5,V Kohli,D Padikkal,I Sharma,0,0,0,,,,
5,1st innings,Royal Challengers Bangalore,Delhi Capitals,0.6,V Kohli,D Padikkal,I Sharma,0,1,1,,,,
6,1st innings,Royal Challengers Bangalore,Delhi Capitals,1.1,V Kohli,D Padikkal,K Rabada,0,0,0,,,,
7,1st innings,Royal Challengers Bangalore,Delhi Capitals,1.2,V Kohli,D Padikkal,K Rabada,0,4,4,,,,
8,1st innings,Royal Challengers Bangalore,Delhi Capitals,1.3,V Kohli,D Padikkal,K Rabada,0,0,0,,,,
9,1st innings,Royal Challengers Bangalore,Delhi Capitals,1.4,V Kohli,D Padikkal,K Rabada,0,1,1,,,,
10,1st innings,Royal Challengers Bangalore,Delhi Capitals,1.5,D Padikkal,V Kohli,K Rabada,0,4,4,,,,
11,1st innings,Royal Challengers Bangalore,Delhi Capitals,1.6,D Padikkal,V Kohli,K Rabada,0,1,1,,,,
12,1st innings,Royal Challengers Bangalore,Delhi Capitals,2.1,D Padikkal,V Kohli,I Sharma,0,1,1,,,,
13,1st innings,Royal Challengers Bangalore,Delhi Capitals,2.2,V Kohli,D Padikkal,I Sharma,0,0,0,,,,
14,1st innings,Royal Challengers Bangalore,Delhi Capitals,2.3,V Kohli,D Padikkal,I Sharma,0,2,2,,,,
15,1st innings,Royal Challengers Bangalore,Delhi Capitals,2.4,V Kohli,D Padikkal,I Sharma,0,4,4,,,,
16,1st innings,Royal Challengers Bangalore,Delhi Capitals,2.5,V Kohli,D Padikkal,I Sharma,0,1,1,,,,
