,inning,batting_team,bowling_team,ball,non_striker,batsman,bowler,extra_runs,batsman_run,total_runs,extras,player_out,elimination_kind,fielders_caught
0,1st innings,Sunrisers Hyderabad,Chennai Super Kings,0.1,JM Bairstow,DA Warner,DL Chahar,0,1,1,,,,
1,1st innings,Sunrisers Hyderabad,Chennai Super Kings,0.2,DA Warner,JM Bairstow,DL Chahar,0,1,1,,,,
2,1st innings,Sunrisers Hyderabad,Chennai Super Kings,0.3,JM Bairstow,DA Warner,DL Chahar,1,0,1,wides,,,
3,1st innings,Sunrisers Hyderabad,Chennai Super Kings,0.4,JM Bairstow,DA Warner,DL Chahar,0,0,0,,,,
4,1st innings,Sunrisers Hyderabad,Chennai Super Kings,0.5,JM Bairstow,DA Warner,DL Chahar,0,0,0,,,,
5,1st innings,Sunrisers Hyderabad,Chennai Super Kings,0.6,JM Bairstow,DA Warner,DL Chahar,0,0,0,,,,
6,1st innings,Sunrisers Hyderabad,Chennai Super Kings,0.7,JM Bairstow,DA Warner,DL Chahar,0,0,0,,,,
7,1st innings,Sunrisers Hyderabad,Chennai Super Kings,1.1,DA Warner,JM Bairstow,SM Curran,0,1,1,,,,
8,1st innings,Sunrisers Hyderabad,Chennai Super Kings,1.2,JM Bairstow,DA Warner,SM Curran,0,2,2,,,,
9,1st innings,Sunrisers Hyderabad,Chennai Super Kings,1.3,JM Bairstow,DA Warner,SM Curran,0,2,2,,,,
10,1st innings,Sunrisers Hyderabad,Chennai Super Kings,1.4,JM Bairstow,DA Warner,SM Curran,0,0,0,,,,
11,1st innings,Sunrisers Hyderabad,Chennai Super Kings,1.5,JM Bairstow,DA Warner,SM Curran,0,0,0,,,,
12,1st innings,Sunrisers Hyderabad,Chennai Super Kings,1.6,JM Bairstow,DA Warner,SM Curran,1,0,1,legbyes,,,
13,1st innings,Sunrisers Hyderabad,Chennai Super Kings,2.1,JM Bairstow,DA Warner,DL Chahar,0,4,4,,,,
14,1st innings,Sunrisers Hyderabad,Chennai Super Kings,2.2,JM Bairstow,DA Warner,DL Chahar,0,1,1,,,,
15,1st innings,Sunrisers Hyderabad,Chennai Super Kings,2.3,DA Warner,JM Bairstow,DL Chahar,0,4,4,,,,
16,1st innings,Sunrisers Hyderabad,Chennai Super Kings,2.4,DA Warner,JM Bairstow,DL Chahar,0,1,1,,,,
17,1st innings,Sunrisers Hyderabad,Chennai Super Kings,2.5,JM Bairstow,DA Warner,DL Chahar,0,0,0,,,,
18,1st innings,Sunrisers Hyderabad,Chennai Super Kings,2.6,JM Bairstow,DA Warner,DL Chahar,0,1,1,,,,
19,1st innings,Sunrisers Hyderabad,Chennai Super Kings,3.1,JM Bairstow,DA Warner,SM Curran,0,1,1,,,,
20,1st innings,Sunrisers Hyderabad,Chennai Super Kings,3.2,DA Warner,JM Bairstow,SM Curran,1,0,1,wides,,,
21,1st innings,Sunrisers Hyderabad,Chennai Super Kings,3.3,DA Warner,JM Bairstow,SM Curran,0,0,0,,JM Bairstow,caught,DL Chahar
22,1st innings,Sunrisers Hyderabad,Chennai Super Kings,3.4,MK Pandey,DA Warner,SM Curran,0,0,0,,,,
23,1st innings,Sunrisers Hyderabad,Chennai Super Kings,3.5,MK Pandey,DA Warner,SM Curran,0,2,2,,,,
24,1st innings,Sunrisers Hyderabad,Chennai Super Kings,3.6,MK Pandey,DA Warner,SM Curran,0,1,1,,,,
25,1st innings,Sunrisers Hyderabad,Chennai Super Kings,3.7,DA Warner,MK Pandey,SM Curran,0,0,0,,,,
