,inning,batting_team,bowling_team,ball,non_striker,batsman,bowler,extra_runs,batsman_run,total_runs,extras,player_out,elimination_kind,fielders_caught
0,1st innings,Chennai Super Kings,Mumbai Indians,0.1,F du Plessis,RD Gaikwad,TA Boult,0,0,0,,,,
1,1st innings,Chennai Super Kings,Mumbai Indians,0.2,F du Plessis,RD Gaikwad,TA Boult,0,4,4,,,,
2,1st innings,Chennai Super Kings,Mumbai Indians,0.3,F du Plessis,RD Gaikwad,TA Boult,0,0,0,,,,
3,1st innings,Chennai Super Kings,Mumbai Indians,0.4,F du Plessis,RD Gaikwad,TA Boult,0,0,0,,RD Gaikwad,caught,HH Pandya
4,1st innings,Chennai Super Kings,Mumbai Indians,0.5,F du Plessis,MM Ali,TA Boult,0,0,0,,,,
5,1st innings,Chennai Super Kings,Mumbai Indians,0.6,F du Plessis,MM Ali,TA Boult,0,0,0,,,,
6,1st innings,Chennai Super Kings,Mumbai Indians,1.1,MM Ali,F du Plessis,DS Kulkarni,0,4,4,,,,
7,1st innings,Chennai Super Kings,Mumbai Indians,1.2,MM Ali,F du Plessis,DS Kulkarni,0,0,0,,,,
8,1st innings,Chennai Super Kings,Mumbai Indians,1.3,MM Ali,F du Plessis,DS Kulkarni,0,6,6,,,,
9,1st innings,Chennai Super Kings,Mumbai Indians,1.4,MM Ali,F du Plessis,DS Kulkarni,0,0,0,,,,
10,1st innings,Chennai Super Kings,Mumbai Indians,1.5,MM Ali,F du Plessis,DS Kulkarni,0,1,1,,,,
11,1st innings,Chennai Super Kings,Mumbai Indians,1.6,F du Plessis,MM Ali,DS Kulkarni,0,0,0,,,,
12,1st innings,Chennai Super Kings,Mumbai Indians,2.1,MM Ali,F du Plessis,TA Boult,0,1,1,,,,
13,1st innings,Chennai Super Kings,Mumbai Indians,2.2,F du Plessis,MM Ali,TA Boult,0,0,0,,,,
14,1st innings,Chennai Super Kings,Mumbai Indians,2.3,F du Plessis,MM Ali,TA Boult,0,6,6,,,,
