,inning,batting_team,bowling_team,ball,non_striker,batsman,bowler,extra_runs,batsman_run,total_runs,extras,player_out,elimination_kind,fielders_caught
0,1st innings,Punjab Kings,Delhi Capitals,0.1,MA Agarwal,P Simran Singh,I Sharma,0,0,0,,,,
1,1st innings,Punjab Kings,Delhi Capitals,0.2,MA Agarwal,P Simran Singh,I Sharma,0,0,0,,,,
2,1st innings,Punjab Kings,Delhi Capitals,0.3,MA Agarwal,P Simran Singh,I Sharma,0,0,0,,,,
3,1st innings,Punjab Kings,Delhi Capitals,0.4,MA Agarwal,P Simran Singh,I Sharma,0,0,0,,,,
4,1st innings,Punjab Kings,Delhi Capitals,0.5,MA Agarwal,P Simran Singh,I Sharma,0,0,0,,,,
5,1st innings,Punjab Kings,Delhi Capitals,0.6,MA Agarwal,P Simran Singh,I Sharma,0,0,0,,,,
6,1st innings,Punjab Kings,Delhi Capitals,1.1,P Simran Singh,MA Agarwal,MP Stoinis,0,1,1,,,,
7,1st innings,Punjab Kings,Delhi Capitals,1.2,MA Agarwal,P Simran Singh,MP Stoinis,0,1,1,,,,
8,1st innings,Punjab Kings,Delhi Capitals,1.3,P Simran Singh,MA Agarwal,MP Stoinis,0,1,1,,,,
9,1st innings,Punjab Kings,Delhi Capitals,1.4,MA Agarwal,P Simran Singh,MP Stoinis,0,1,1,,,,
10,1st innings,Punjab Kings,Delhi Capitals,1.5,P Simran Singh,MA Agarwal,MP Stoinis,0,1,1,,,,
11,1st innings,Punjab Kings,Delhi Capitals,1.6,MA Agarwal,P Simran Singh,MP Stoinis,0,1,1,,,,
12,1st innings,Punjab Kings,Delhi Capitals,2.1,MA Agarwal,P Simran Singh,I Sharma,0,1,1,,,,
13,1st innings,Punjab Kings,Delhi Capitals,2.2,P Simran Singh,MA Agarwal,I Sharma,0,1,1,,,,
14,1st innings,Punjab Kings,Delhi Capitals,2.3,MA Agarwal,P Simran Singh,I Sharma,0,6,6,,,,
