,inning,batting_team,bowling_team,ball,non_striker,batsman,bowler,extra_runs,batsman_run,total_runs,extras,player_out,elimination_kind,fielders_caught
0,1st innings,Royal Challengers Bangalore,Kolkata Knight Riders,0.1,D Padikkal,V Kohli,CV Varun,0,1,1,,,,
1,1st innings,Royal Challengers Bangalore,Kolkata Knight Riders,0.2,V Kohli,D Padikkal,CV Varun,0,0,0,,,,
2,1st innings,Royal Challengers Bangalore,Kolkata Knight Riders,0.3,V Kohli,D Padikkal,CV Varun,0,0,0,,,,
3,1st innings,Royal Challengers Bangalore,Kolkata Knight Riders,0.4,V Kohli,D Padikkal,CV Varun,0,0,0,,,,
4,1st innings,Royal Challengers Bangalore,Kolkata Knight Riders,0.5,V Kohli,D Padikkal,CV Varun,0,3,3,,,,
5,1st innings,Royal Challengers Bangalore,Kolkata Knight Riders,0.6,D Padikkal,V Kohli,CV Varun,0,0,0,,,,
6,1st innings,Royal Challengers Bangalore,Kolkata Knight Riders,1.1,V Kohli,D Padikkal,M Prasidh Krishna,0,0,0,,,,
7,1st innings,Royal Challengers Bangalore,Kolkata Knight Riders,1.2,V Kohli,D Padikkal,M Prasidh Krishna,0,1,1,,,,
8,1st innings,Royal Challengers Bangalore,Kolkata Knight Riders,1.3,D Padikkal,V Kohli,M Prasidh Krishna,1,0,1,wides,,,
9,1st innings,Royal Challengers Bangalore,Kolkata Knight Riders,1.4,D Padikkal,V Kohli,M Prasidh Krishna,0,4,4,,,,
10,1st innings,Royal Challengers Bangalore,Kolkata Knight Riders,1.5,D Padikkal,V Kohli,M Prasidh Krishna,0,0,0,,V Kohli,lbw,
11,1st innings,Royal Challengers Bangalore,Kolkata Knight Riders,1.6,D Padikkal,KS Bharat,M Prasidh Krishna,0,0,0,,,,
12,1st innings,Royal Challengers Bangalore,Kolkata Knight Riders,1.7,D Padikkal,KS Bharat,M Prasidh Krishna,0,2,2,,,,
