,inning,batting_team,bowling_team,ball,non_striker,batsman,bowler,extra_runs,batsman_run,total_runs,extras,player_out,elimination_kind,fielders_caught
0,1st innings,Royal Challengers Bangalore,Chennai Super Kings,0.1,D Padikkal,V Kohli,DL Chahar,0,4,4,,,,
1,1st innings,Royal Challengers Bangalore,Chennai Super Kings,0.2,D Padikkal,V Kohli,DL Chahar,0,4,4,,,,
2,1st innings,Royal Challengers Bangalore,Chennai Super Kings,0.3,D Padikkal,V Kohli,DL Chahar,0,1,1,,,,
3,1st innings,Royal Challengers Bangalore,Chennai Super Kings,0.4,V Kohli,D Padikkal,DL Chahar,0,0,0,,,,
4,1st innings,Royal Challengers Bangalore,Chennai Super Kings,0.5,V Kohli,D Padikkal,DL Chahar,0,0,0,,,,
5,1st innings,Royal Challengers Bangalore,Chennai Super Kings,0.6,V Kohli,D Padikkal,DL Chahar,0,4,4,,,,
6,1st innings,Royal Challengers Bangalore,Chennai Super Kings,1.1,D Padikkal,V Kohli,JR Hazlewood,0,0,0,,,,
7,1st innings,Royal Challengers Bangalore,Chennai Super Kings,1.2,D Padikkal,V Kohli,JR Hazlewood,0,1,1,,,,
8,1st innings,Royal Challengers Bangalore,Chennai Super Kings,1.3,V Kohli,D Padikkal,JR Hazlewood,0,1,1,,,,
9,1st innings,Royal Challengers Bangalore,Chennai Super Kings,1.4,D Padikkal,V Kohli,JR Hazlewood,0,2,2,,,,
10,1st innings,Royal Challengers Bangalore,Chennai Super Kings,1.5,D Padikkal,V Kohli,JR Hazlewood,0,0,0,,,,
11,1st innings,Royal Challengers Bangalore,Chennai Super Kings,1.6,D Padikkal,V Kohli,JR Hazlewood,0,1,1,,,,
12,1st innings,Royal Challengers Bangalore,Chennai Super Kings,2.1,D Padikkal,V Kohli,DL Chahar,0,1,1,,,,
13,1st innings,Royal Challengers Bangalore,Chennai Super Kings,2.2,V Kohli,D Padikkal,DL Chahar,0,0,0,,,,
14,1st innings,Royal Challengers Bangalore,Chennai Super Kings,2.3,V Kohli,D Padikkal,DL Chahar,0,4,4,,,,
15,1st innings,Royal Challengers Bangalore,Chennai Super Kings,2.4,V Kohli,D Padikkal,DL Chahar,0,1,1,,,,
16,1st innings,Royal Challengers Bangalore,Chennai Super Kings,2.5,D Padikkal,V Kohli,DL Chahar,0,4,4,,,,
17,1st innings,Royal Challengers Bangalore,Chennai Super Kings,2.6,D Padikkal,V Kohli,DL Chahar,0,0,0,,,,
18,1st innings,Royal Challengers Bangalore,Chennai Super Kings,3.1,V Kohli,D Padikkal,JR Hazlewood,0,0,0,,,,
19,1st innings,Royal Challengers Bangalore,Chennai Super Kings,3.2,V Kohli,D Padikkal,JR Hazlewood,0,6,6,,,,
20,1st innings,Royal Challengers Bangalore,Chennai Super Kings,3.3,V Kohli,D Padikkal,JR Hazlewood,0,0,0,,,,
21,1st innings,Royal Challengers Bangalore,Chennai Super Kings,3.4,V Kohli,D Padikkal,JR Hazlewood,0,1,1,,,,
22,1st innings,Royal Challengers Bangalore,Chennai Super Kings,3.5,D Padikkal,V Kohli,JR Hazlewood,0,0,0,,,,
23,1st innings,Royal Challengers Bangalore,Chennai Super Kings,3.6,D Padikkal,V Kohli,JR Hazlewood,0,1,1,,,,
24,1st innings,Royal Challengers Bangalore,Chennai Super Kings,4.1,D Padikkal,V Kohli,SN Thakur,0,0,0,,,,
25,1st innings,Royal Challengers Bangalore,Chennai Super Kings,4.2,D Padikkal,V Kohli,SN Thakur,0,1,1,,,,
26,1st innings,Royal Challengers Bangalore,Chennai Super Kings,4.3,V Kohli,D Padikkal,SN Thakur,0,1,1,,,,
27,1st innings,Royal Challengers Bangalore,Chennai Super Kings,4.4,D Padikkal,V Kohli,SN Thakur,0,6,6,,,,
28,1st innings,Royal Challengers Bangalore,Chennai Super Kings,4.5,D Padikkal,V Kohli,SN Thakur,0,1,1,,,,
29,1st innings,Royal Challengers Bangalore,Chennai Super Kings,4.6,V Kohli,D Padikkal,SN Thakur,0,1,1,,,,
30,1st innings,Royal Challengers Bangalore,Chennai Super Kings,5.1,V Kohli,D Padikkal,JR Hazlewood,0,1,1,,,,
31,1st innings,Royal Challengers Bangalore,Chennai Super Kings,5.2,D Padikkal,V Kohli,JR Hazlewood,0,0,0,,,,
32,1st innings,Royal Challengers Bangalore,Chennai Super Kings,5.3,D Padikkal,V Kohli,JR Hazlewood,0,4,4,,,,
33,1st innings,Royal Challengers Bangalore,Chennai Super Kings,5.4,D Padikkal,V Kohli,JR Hazlewood,0,1,1,,,,
34,1st innings,Royal Challengers Bangalore,Chennai Super Kings,5.5,V Kohli,D Padikkal,JR Hazlewood,1,0,1,wides,,,
35,1st innings,Royal Challengers Bangalore,Chennai Super Kings,5.6,V Kohli,D Padikkal,JR Hazlewood,0,1,1,,,,
36,1st innings,Royal Challengers Bangalore,Chennai Super Kings,5.7,D Padikkal,V Kohli,JR Hazlewood,0,1,1,,,,
37,1st innings,Royal Challengers Bangalore,Chennai Super Kings,6.1,D Padikkal,V Kohli,RA Jadeja,0,1,1,,,,
38,1st innings,Royal Challengers Bangalore,Chennai Super Kings,6.2,V Kohli,D Padikkal,RA Jadeja,0,4,4,,,,
39,1st innings,Royal Challengers Bangalore,Chennai Super Kings,6.3,V Kohli,D Padikkal,RA Jadeja,0,0,0,,,,
40,1st innings,Royal Challengers Bangalore,Chennai Super Kings,6.4,V Kohli,D Padikkal,RA Jadeja,0,0,0,,,,
41,1st innings,Royal Challengers Bangalore,Chennai Super Kings,6.5,V Kohli,D Padikkal,RA Jadeja,0,1,1,,,,
42,1st innings,Royal Challengers Bangalore,Chennai Super Kings,6.6,D Padikkal,V Kohli,RA Jadeja,0,0,0,,,,
43,1st innings,Royal Challengers Bangalore,Chennai Super Kings,7.1,V Kohli,D Padikkal,DJ Bravo,0,0,0,,,,
44,1st innings,Royal Challengers Bangalore,Chennai Super Kings,7.2,V Kohli,D Padikkal,DJ Bravo,0,1,1,,,,
45,1st innings,Royal Challengers Bangalore,Chennai Super Kings,7.3,D Padikkal,V Kohli,DJ Bravo,0,4,4,,,,
46,1st innings,Royal Challengers Bangalore,Chennai Super Kings,7.4,D Padikkal,V Kohli,DJ Bravo,1,0,1,wides,,,
47,1st innings,Royal Challengers Bangalore,Chennai Super Kings,7.5,D Padikkal,V Kohli,DJ Bravo,0,1,1,,,,
48,1st innings,Royal Challengers Bangalore,Chennai Super Kings,7.6,V Kohli,D Padikkal,DJ Bravo,0,1,1,,,,
49,1st innings,Royal Challengers Bangalore,Chennai Super Kings,7.7,D Padikkal,V Kohli,DJ Bravo,0,1,1,,,,
50,1st innings,Royal Challengers Bangalore,Chennai Super Kings,8.1,D Padikkal,V Kohli,RA Jadeja,0,1,1,,,,
51,1st innings,Royal Challengers Bangalore,Chennai Super Kings,8.2,V Kohli,D Padikkal,RA Jadeja,0,1,1,,,,
52,1st innings,Royal Challengers Bangalore,Chennai Super Kings,8.3,D Padikkal,V Kohli,RA Jadeja,0,1,1,,,,
53,1st innings,Royal Challengers Bangalore,Chennai Super Kings,8.4,V Kohli,D Padikkal,RA Jadeja,0,6,6,,,,
54,1st innings,Royal Challengers Bangalore,Chennai Super Kings,8.5,V Kohli,D Padikkal,RA Jadeja,0,2,2,,,,
55,1st innings,Royal Challengers Bangalore,Chennai Super Kings,8.6,V Kohli,D Padikkal,RA Jadeja,0,1,1,,,,
56,1st innings,Royal Challengers Bangalore,Chennai Super Kings,9.1,V Kohli,D Padikkal,SN Thakur,1,0,1,legbyes,,,
57,1st innings,Royal Challengers Bangalore,Chennai Super Kings,9.2,D Padikkal,V Kohli,SN Thakur,0,1,1,,,,
58,1st innings,Royal Challengers Bangalore,Chennai Super Kings,9.3,V Kohli,D Padikkal,SN Thakur,0,4,4,,,,
59,1st innings,Royal Challengers Bangalore,Chennai Super Kings,9.4,V Kohli,D Padikkal,SN Thakur,0,1,1,,,,
60,1st innings,Royal Challengers Bangalore,Chennai Super Kings,9.5,D Padikkal,V Kohli,SN Thakur,0,1,1,,,,
61,1st innings,Royal Challengers Bangalore,Chennai Super Kings,9.6,V Kohli,D Padikkal,SN Thakur,0,0,0,,,,
62,1st innings,Royal Challengers Bangalore,Chennai Super Kings,10.1,D Padikkal,V Kohli,RA Jadeja,0,0,0,,,,
63,1st innings,Royal Challengers Bangalore,Chennai Super Kings,10.2,D Padikkal,V Kohli,RA Jadeja,0,1,1,,,,
64,1st innings,Royal Challengers Bangalore,Chennai Super Kings,10.3,V Kohli,D Padikkal,RA Jadeja,0,2,2,,,,
65,1st innings,Royal Challengers Bangalore,Chennai Super Kings,10.4,V Kohli,D Padikkal,RA Jadeja,0,0,0,,,,
66,1st innings,Royal Challengers Bangalore,Chennai Super Kings,10.5,V Kohli,D Padikkal,RA Jadeja,0,2,2,,,,
67,1st innings,Royal Challengers Bangalore,Chennai Super Kings,10.6,V Kohli,D Padikkal,RA Jadeja,0,1,1,,,,
68,1st innings,Royal Challengers Bangalore,Chennai Super Kings,11.1,V Kohli,D Padikkal,DL Chahar,0,4,4,,,,
69,1st innings,Royal Challengers Bangalore,Chennai Super Kings,11.2,V Kohli,D Padikkal,DL Chahar,0,1,1,,,,
70,1st innings,Royal Challengers Bangalore,Chennai Super Kings,11.3,D Padikkal,V Kohli,DL Chahar,0,0,0,,,,
71,1st innings,Royal Challengers Bangalore,Chennai Super Kings,11.4,D Padikkal,V Kohli,DL Chahar,0,1,1,,,,
72,1st innings,Royal Challengers Bangalore,Chennai Super Kings,11.5,V Kohli,D Padikkal,DL Chahar,0,1,1,,,,
73,1st innings,Royal Challengers Bangalore,Chennai Super Kings,11.6,D Padikkal,V Kohli,DL Chahar,0,1,1,,,,
74,1st innings,Royal Challengers Bangalore,Chennai Super Kings,12.1,D Padikkal,V Kohli,RA Jadeja,0,4,4,,,,
75,1st innings,Royal Challengers Bangalore,Chennai Super Kings,12.2,D Padikkal,V Kohli,RA Jadeja,0,0,0,,,,
76,1st innings,Royal Challengers Bangalore,Chennai Super Kings,12.3,D Padikkal,V Kohli,RA Jadeja,0,1,1,,,,
77,1st innings,Royal Challengers Bangalore,Chennai Super Kings,12.4,V Kohli,D Padikkal,RA Jadeja,0,0,0,,,,
78,1st innings,Royal Challengers Bangalore,Chennai Super Kings,12.5,V Kohli,D Padikkal,RA Jadeja,0,1,1,,,,
79,1st innings,Royal Challengers Bangalore,Chennai Super Kings,12.6,D Padikkal,V Kohli,RA Jadeja,0,1,1,,,,
80,1st innings,Royal Challengers Bangalore,Chennai Super Kings,13.1,D Padikkal,V Kohli,DJ Bravo,0,0,0,,,,
81,1st innings,Royal Challengers Bangalore,Chennai Super Kings,13.2,D Padikkal,V Kohli,DJ Bravo,0,0,0,,V Kohli,caught,RA Jadeja
82,1st innings,Royal Challengers Bangalore,Chennai Super Kings,13.3,D Padikkal,AB de Villiers,DJ Bravo,0,1,1,,,,
83,1st innings,Royal Challengers Bangalore,Chennai Super Kings,13.4,AB de Villiers,D Padikkal,DJ Bravo,0,0,0,,,,
84,1st innings,Royal Challengers Bangalore,Chennai Super Kings,13.5,AB de Villiers,D Padikkal,DJ Bravo,0,1,1,,,,
85,1st innings,Royal Challengers Bangalore,Chennai Super Kings,13.6,D Padikkal,AB de Villiers,DJ Bravo,0,1,1,,,,
86,1st innings,Royal Challengers Bangalore,Chennai Super Kings,14.1,D Padikkal,AB de Villiers,SN Thakur,0,0,0,,,,
87,1st innings,Royal Challengers Bangalore,Chennai Super Kings,14.2,D Padikkal,AB de Villiers,SN Thakur,0,0,0,,,,
88,1st innings,Royal Challengers Bangalore,Chennai Super Kings,14.3,D Padikkal,AB de Villiers,SN Thakur,0,1,1,,,,
89,1st innings,Royal Challengers Bangalore,Chennai Super Kings,14.4,AB de Villiers,D Padikkal,SN Thakur,1,0,1,legbyes,,,
90,1st innings,Royal Challengers Bangalore,Chennai Super Kings,14.5,D Padikkal,AB de Villiers,SN Thakur,0,1,1,,,,
91,1st innings,Royal Challengers Bangalore,Chennai Super Kings,14.6,AB de Villiers,D Padikkal,SN Thakur,0,1,1,,,,
92,1st innings,Royal Challengers Bangalore,Chennai Super Kings,15.1,AB de Villiers,D Padikkal,JR Hazlewood,0,2,2,,,,
93,1st innings,Royal Challengers Bangalore,Chennai Super Kings,15.2,AB de Villiers,D Padikkal,JR Hazlewood,0,1,1,,,,
94,1st innings,Royal Challengers Bangalore,Chennai Super Kings,15.3,D Padikkal,AB de Villiers,JR Hazlewood,1,0,1,legbyes,,,
95,1st innings,Royal Challengers Bangalore,Chennai Super Kings,15.4,AB de Villiers,D Padikkal,JR Hazlewood,0,6,6,,,,
96,1st innings,Royal Challengers Bangalore,Chennai Super Kings,15.5,AB de Villiers,D Padikkal,JR Hazlewood,0,1,1,,,,
97,1st innings,Royal Challengers Bangalore,Chennai Super Kings,15.6,D Padikkal,AB de Villiers,JR Hazlewood,0,2,2,,,,
98,1st innings,Royal Challengers Bangalore,Chennai Super Kings,16.1,AB de Villiers,D Padikkal,SN Thakur,0,2,2,,,,
99,1st innings,Royal Challengers Bangalore,Chennai Super Kings,16.2,AB de Villiers,D Padikkal,SN Thakur,0,1,1,,,,
100,1st innings,Royal Challengers Bangalore,Chennai Super Kings,16.3,D Padikkal,AB de Villiers,SN Thakur,0,6,6,,,,
101,1st innings,Royal Challengers Bangalore,Chennai Super Kings,16.4,D Padikkal,AB de Villiers,SN Thakur,0,0,0,,,,
102,1st innings,Royal Challengers Bangalore,Chennai Super Kings,16.5,D Padikkal,AB de Villiers,SN Thakur,0,0,0,,AB de Villiers,caught,SK Raina
103,1st innings,Royal Challengers Bangalore,Chennai Super Kings,16.6,GJ Maxwell,D Padikkal,SN Thakur,0,0,0,,D Padikkal,caught,AT Rayudu
104,1st innings,Royal Challengers Bangalore,Chennai Super Kings,17.1,TH David,GJ Maxwell,DJ Bravo,0,0,0,,,,
105,1st innings,Royal Challengers Bangalore,Chennai Super Kings,17.2,TH David,GJ Maxwell,DJ Bravo,0,1,1,,,,
106,1st innings,Royal Challengers Bangalore,Chennai Super Kings,17.3,GJ Maxwell,TH David,DJ Bravo,0,1,1,,,,
107,1st innings,Royal Challengers Bangalore,Chennai Super Kings,17.4,TH David,GJ Maxwell,DJ Bravo,0,2,2,,,,
108,1st innings,Royal Challengers Bangalore,Chennai Super Kings,17.5,TH David,GJ Maxwell,DJ Bravo,0,0,0,,,,
109,1st innings,Royal Challengers Bangalore,Chennai Super Kings,17.6,TH David,GJ Maxwell,DJ Bravo,0,6,6,,,,
110,1st innings,Royal Challengers Bangalore,Chennai Super Kings,18.1,GJ Maxwell,TH David,DL Chahar,0,0,0,,,,
111,1st innings,Royal Challengers Bangalore,Chennai Super Kings,18.2,GJ Maxwell,TH David,DL Chahar,0,0,0,,TH David,caught,SK Raina
112,1st innings,Royal Challengers Bangalore,Chennai Super Kings,18.3,GJ Maxwell,HV Patel,DL Chahar,0,1,1,,,,
