,inning,batting_team,bowling_team,ball,non_striker,batsman,bowler,extra_runs,batsman_run,total_runs,extras,player_out,elimination_kind,fielders_caught
0,1st innings,Delhi Capitals,Kolkata Knight Riders,0.1,S Dhawan,SPD Smith,S Sandeep Warrier,0,1,1,,,,
1,1st innings,Delhi Capitals,Kolkata Knight Riders,0.2,SPD Smith,S Dhawan,S Sandeep Warrier,0,0,0,,,,
2,1st innings,Delhi Capitals,Kolkata Knight Riders,0.3,SPD Smith,S Dhawan,S Sandeep Warrier,0,0,0,,,,
3,1st innings,Delhi Capitals,Kolkata Knight Riders,0.4,SPD Smith,S Dhawan,S Sandeep Warrier,0,0,0,,,,
4,1st innings,Delhi Capitals,Kolkata Knight Riders,0.5,SPD Smith,S Dhawan,S Sandeep Warrier,0,4,4,,,,
5,1st innings,Delhi Capitals,Kolkata Knight Riders,0.6,SPD Smith,S Dhawan,S Sandeep Warrier,0,0,0,,,,
6,1st innings,Delhi Capitals,Kolkata Knight Riders,1.1,S Dhawan,SPD Smith,TG Southee,0,2,2,,,,
7,1st innings,Delhi Capitals,Kolkata Knight Riders,1.2,S Dhawan,SPD Smith,TG Southee,0,0,0,,,,
8,1st innings,Delhi Capitals,Kolkata Knight Riders,1.3,S Dhawan,SPD Smith,TG Southee,0,1,1,,,,
9,1st innings,Delhi Capitals,Kolkata Knight Riders,1.4,SPD Smith,S Dhawan,TG Southee,0,4,4,,,,
10,1st innings,Delhi Capitals,Kolkata Knight Riders,1.5,SPD Smith,S Dhawan,TG Southee,0,0,0,,,,
11,1st innings,Delhi Capitals,Kolkata Knight Riders,1.6,SPD Smith,S Dhawan,TG Southee,0,0,0,,,,
12,1st innings,Delhi Capitals,Kolkata Knight Riders,2.1,S Dhawan,SPD Smith,S Sandeep Warrier,0,1,1,,,,
13,1st innings,Delhi Capitals,Kolkata Knight Riders,2.2,SPD Smith,S Dhawan,S Sandeep Warrier,0,4,4,,,,
14,1st innings,Delhi Capitals,Kolkata Knight Riders,2.3,SPD Smith,S Dhawan,S Sandeep Warrier,0,4,4,,,,
15,1st innings,Delhi Capitals,Kolkata Knight Riders,2.4,SPD Smith,S Dhawan,S Sandeep Warrier,0,1,1,,,,
16,1st innings,Delhi Capitals,Kolkata Knight Riders,2.5,S Dhawan,SPD Smith,S Sandeep Warrier,0,0,0,,,,
17,1st innings,Delhi Capitals,Kolkata Knight Riders,2.6,S Dhawan,SPD Smith,S Sandeep Warrier,0,0,0,,,,
18,1st innings,Delhi Capitals,Kolkata Knight Riders,3.1,SPD Smith,S Dhawan,TG Southee,0,0,0,,,,
19,1st innings,Delhi Capitals,Kolkata Knight Riders,3.2,SPD Smith,S Dhawan,TG Southee,0,1,1,,,,
20,1st innings,Delhi Capitals,Kolkata Knight Riders,3.3,S Dhawan,SPD Smith,TG Southee,0,1,1,,,,
21,1st innings,Delhi Capitals,Kolkata Knight Riders,3.4,SPD Smith,S Dhawan,TG Southee,0,4,4,,,,
22,1st innings,Delhi Capitals,Kolkata Knight Riders,3.5,SPD Smith,S Dhawan,TG Southee,0,0,0,,,,
23,1st innings,Delhi Capitals,Kolkata Knight Riders,3.6,SPD Smith,S Dhawan,TG Southee,0,1,1,,,,
24,1st innings,Delhi Capitals,Kolkata Knight Riders,4.1,SPD Smith,S Dhawan,LH Ferguson,0,1,1,,,,
25,1st innings,Delhi Capitals,Kolkata Knight Riders,4.2,S Dhawan,SPD Smith,LH Ferguson,0,4,4,,,,
26,1st innings,Delhi Capitals,Kolkata Knight Riders,4.3,S Dhawan,SPD Smith,LH Ferguson,0,1,1,,,,
27,1st innings,Delhi Capitals,Kolkata Knight Riders,4.4,SPD Smith,S Dhawan,LH Ferguson,0,0,0,,,,
28,1st innings,Delhi Capitals,Kolkata Knight Riders,4.5,SPD Smith,S Dhawan,LH Ferguson,0,0,0,,,,
29,1st innings,Delhi Capitals,Kolkata Knight Riders,4.6,SPD Smith,S Dhawan,LH Ferguson,0,0,0,,S Dhawan,caught,VR Iyer
30,1st innings,Delhi Capitals,Kolkata Knight Riders,5.1,SS Iyer,SPD Smith,CV Varun,0,1,1,,,,
31,1st innings,Delhi Capitals,Kolkata Knight Riders,5.2,SPD Smith,SS Iyer,CV Varun,1,0,1,wides,,,
32,1st innings,Delhi Capitals,Kolkata Knight Riders,5.3,SPD Smith,SS Iyer,CV Varun,0,0,0,,,,
33,1st innings,Delhi Capitals,Kolkata Knight Riders,5.4,SPD Smith,SS Iyer,CV Varun,0,0,0,,,,
34,1st innings,Delhi Capitals,Kolkata Knight Riders,5.5,SPD Smith,SS Iyer,CV Varun,0,1,1,,,,
35,1st innings,Delhi Capitals,Kolkata Knight Riders,5.6,SS Iyer,SPD Smith,CV Varun,0,1,1,,,,
36,1st innings,Delhi Capitals,Kolkata Knight Riders,5.7,SPD Smith,SS Iyer,CV Varun,0,0,0,,,,
37,1st innings,Delhi Capitals,Kolkata Knight Riders,6.1,SS Iyer,SPD Smith,SP Narine,0,1,1,,,,
38,1st innings,Delhi Capitals,Kolkata Knight Riders,6.2,SPD Smith,SS Iyer,SP Narine,0,0,0,,SS Iyer,bowled,
39,1st innings,Delhi Capitals,Kolkata Knight Riders,6.3,SPD Smith,RR Pant,SP Narine,0,1,1,,,,
40,1st innings,Delhi Capitals,Kolkata Knight Riders,6.4,RR Pant,SPD Smith,SP Narine,0,1,1,,,,
41,1st innings,Delhi Capitals,Kolkata Knight Riders,6.5,SPD Smith,RR Pant,SP Narine,0,0,0,,,,
42,1st innings,Delhi Capitals,Kolkata Knight Riders,6.6,SPD Smith,RR Pant,SP Narine,0,0,0,,,,
43,1st innings,Delhi Capitals,Kolkata Knight Riders,7.1,RR Pant,SPD Smith,CV Varun,0,0,0,,,,
44,1st innings,Delhi Capitals,Kolkata Knight Riders,7.2,RR Pant,SPD Smith,CV Varun,0,1,1,,,,
45,1st innings,Delhi Capitals,Kolkata Knight Riders,7.3,SPD Smith,RR Pant,CV Varun,0,1,1,,,,
46,1st innings,Delhi Capitals,Kolkata Knight Riders,7.4,RR Pant,SPD Smith,CV Varun,0,1,1,,,,
47,1st innings,Delhi Capitals,Kolkata Knight Riders,7.5,SPD Smith,RR Pant,CV Varun,0,1,1,,,,
48,1st innings,Delhi Capitals,Kolkata Knight Riders,7.6,RR Pant,SPD Smith,CV Varun,0,1,1,,,,
49,1st innings,Delhi Capitals,Kolkata Knight Riders,8.1,RR Pant,SPD Smith,SP Narine,0,2,2,,,,
50,1st innings,Delhi Capitals,Kolkata Knight Riders,8.2,RR Pant,SPD Smith,SP Narine,0,1,1,,,,
51,1st innings,Delhi Capitals,Kolkata Knight Riders,8.3,SPD Smith,RR Pant,SP Narine,0,1,1,,,,
52,1st innings,Delhi Capitals,Kolkata Knight Riders,8.4,RR Pant,SPD Smith,SP Narine,0,0,0,,,,
53,1st innings,Delhi Capitals,Kolkata Knight Riders,8.5,RR Pant,SPD Smith,SP Narine,0,1,1,,,,
54,1st innings,Delhi Capitals,Kolkata Knight Riders,8.6,SPD Smith,RR Pant,SP Narine,0,0,0,,,,
55,1st innings,Delhi Capitals,Kolkata Knight Riders,9.1,RR Pant,SPD Smith,CV Varun,0,4,4,,,,
56,1st innings,Delhi Capitals,Kolkata Knight Riders,9.2,RR Pant,SPD Smith,CV Varun,0,4,4,,,,
57,1st innings,Delhi Capitals,Kolkata Knight Riders,9.3,RR Pant,SPD Smith,CV Varun,0,1,1,,,,
58,1st innings,Delhi Capitals,Kolkata Knight Riders,9.4,SPD Smith,RR Pant,CV Varun,0,2,2,,,,
59,1st innings,Delhi Capitals,Kolkata Knight Riders,9.5,SPD Smith,RR Pant,CV Varun,0,1,1,,,,
60,1st innings,Delhi Capitals,Kolkata Knight Riders,9.6,RR Pant,SPD Smith,CV Varun,0,0,0,,,,
61,1st innings,Delhi Capitals,Kolkata Knight Riders,10.1,SPD Smith,RR Pant,SP Narine,0,1,1,,,,
62,1st innings,Delhi Capitals,Kolkata Knight Riders,10.2,RR Pant,SPD Smith,SP Narine,0,4,4,,,,
63,1st innings,Delhi Capitals,Kolkata Knight Riders,10.3,RR Pant,SPD Smith,SP Narine,0,1,1,,,,
64,1st innings,Delhi Capitals,Kolkata Knight Riders,10.4,SPD Smith,RR Pant,SP Narine,0,1,1,,,,
65,1st innings,Delhi Capitals,Kolkata Knight Riders,10.5,RR Pant,SPD Smith,SP Narine,0,1,1,,,,
66,1st innings,Delhi Capitals,Kolkata Knight Riders,10.6,SPD Smith,RR Pant,SP Narine,0,1,1,,,,
67,1st innings,Delhi Capitals,Kolkata Knight Riders,11.1,SPD Smith,RR Pant,VR Iyer,0,0,0,,,,
68,1st innings,Delhi Capitals,Kolkata Knight Riders,11.2,SPD Smith,RR Pant,VR Iyer,0,1,1,,,,
69,1st innings,Delhi Capitals,Kolkata Knight Riders,11.3,RR Pant,SPD Smith,VR Iyer,0,0,0,,,,
70,1st innings,Delhi Capitals,Kolkata Knight Riders,11.4,RR Pant,SPD Smith,VR Iyer,0,1,1,,,,
71,1st innings,Delhi Capitals,Kolkata Knight Riders,11.5,SPD Smith,RR Pant,VR Iyer,1,0,1,legbyes,,,
72,1st innings,Delhi Capitals,Kolkata Knight Riders,11.6,RR Pant,SPD Smith,VR Iyer,0,1,1,,,,
