,inning,batting_team,bowling_team,ball,non_striker,batsman,bowler,extra_runs,batsman_run,total_runs,extras,player_out,elimination_kind,fielders_caught
0,1st innings,Royal Challengers Bangalore,Punjab Kings,0.1,D Padikkal,V Kohli,AK Markram,0,0,0,0,0,0,0
1,1st innings,Royal Challengers Bangalore,Punjab Kings,0.2,D Padikkal,V Kohli,AK Markram,0,4,4,0,0,0,0
2,1st innings,Royal Challengers Bangalore,Punjab Kings,0.3,D Padikkal,V Kohli,AK Markram,0,1,1,0,0,0,0
3,1st innings,Royal Challengers Bangalore,Punjab Kings,0.4,V Kohli,D Padikkal,AK Markram,0,0,0,0,0,0,0
4,1st innings,Royal Challengers Bangalore,Punjab Kings,0.5,V Kohli,D Padikkal,AK Markram,0,0,0,0,0,0,0
5,1st innings,Royal Challengers Bangalore,Punjab Kings,0.6,V Kohli,D Padikkal,AK Markram,0,0,0,0,0,0,0
6,1st innings,Royal Challengers Bangalore,Punjab Kings,1.1,D Padikkal,V Kohli,Mohammed Shami,0,1,1,0,0,0,0
7,1st innings,Royal Challengers Bangalore,Punjab Kings,1.2,V Kohli,D Padikkal,Mohammed Shami,0,0,0,0,0,0,0
8,1st innings,Royal Challengers Bangalore,Punjab Kings,1.3,V Kohli,D Padikkal,Mohammed Shami,0,1,1,0,0,0,0
9,1st innings,Royal Challengers Bangalore,Punjab Kings,1.4,D Padikkal,V Kohli,Mohammed Shami,0,1,1,0,0,0,0
10,1st innings,Royal Challengers Bangalore,Punjab Kings,1.5,V Kohli,D Padikkal,Mohammed Shami,0,1,1,0,0,0,0
11,1st innings,Royal Challengers Bangalore,Punjab Kings,1.6,D Padikkal,V Kohli,Mohammed Shami,0,2,2,0,0,0,0
12,1st innings,Royal Challengers Bangalore,Punjab Kings,2.1,V Kohli,D Padikkal,Arshdeep Singh,0,6,6,0,0,0,0
13,1st innings,Royal Challengers Bangalore,Punjab Kings,2.2,V Kohli,D Padikkal,Arshdeep Singh,0,4,4,0,0,0,0
14,1st innings,Royal Challengers Bangalore,Punjab Kings,2.3,V Kohli,D Padikkal,Arshdeep Singh,1,0,1,wides,0,0,0
15,1st innings,Royal Challengers Bangalore,Punjab Kings,2.4,V Kohli,D Padikkal,Arshdeep Singh,0,0,0,0,0,0,0
16,1st innings,Royal Challengers Bangalore,Punjab Kings,2.5,V Kohli,D Padikkal,Arshdeep Singh,0,0,0,0,0,0,0
17,1st innings,Royal Challengers Bangalore,Punjab Kings,2.6,V Kohli,D Padikkal,Arshdeep Singh,0,0,0,0,0,0,0
18,1st innings,Royal Challengers Bangalore,Punjab Kings,2.7,V Kohli,D Padikkal,Arshdeep Singh,0,2,2,0,0,0,0
