,inning,batting_team,bowling_team,ball,non_striker,batsman,bowler,extra_runs,batsman_run,total_runs,extras,player_out,elimination_kind,fielders_caught
0,1st innings,Chennai Super Kings,Delhi Capitals,0.1,F du Plessis,RD Gaikwad,A Nortje,0,0,0,,,,
1,1st innings,Chennai Super Kings,Delhi Capitals,0.2,F du Plessis,RD Gaikwad,A Nortje,5,0,5,wides,,,
2,1st innings,Chennai Super Kings,Delhi Capitals,0.3,F du Plessis,RD Gaikwad,A Nortje,0,0,0,,,,
3,1st innings,Chennai Super Kings,Delhi Capitals,0.4,F du Plessis,RD Gaikwad,A Nortje,1,0,1,wides,,,
4,1st innings,Chennai Super Kings,Delhi Capitals,0.5,F du Plessis,RD Gaikwad,A Nortje,0,2,2,,,,
5,1st innings,Chennai Super Kings,Delhi Capitals,0.6,F du Plessis,RD Gaikwad,A Nortje,0,4,4,,,,
6,1st innings,Chennai Super Kings,Delhi Capitals,0.7,F du Plessis,RD Gaikwad,A Nortje,0,0,0,,,,
7,1st innings,Chennai Super Kings,Delhi Capitals,0.8,F du Plessis,RD Gaikwad,A Nortje,4,0,4,legbyes,,,
8,1st innings,Chennai Super Kings,Delhi Capitals,1.1,RD Gaikwad,F du Plessis,Avesh Khan,0,0,0,,,,
9,1st innings,Chennai Super Kings,Delhi Capitals,1.2,RD Gaikwad,F du Plessis,Avesh Khan,1,0,1,wides,,,
10,1st innings,Chennai Super Kings,Delhi Capitals,1.3,RD Gaikwad,F du Plessis,Avesh Khan,0,4,4,,,,
11,1st innings,Chennai Super Kings,Delhi Capitals,1.4,RD Gaikwad,F du Plessis,Avesh Khan,0,0,0,,,,
12,1st innings,Chennai Super Kings,Delhi Capitals,1.5,RD Gaikwad,F du Plessis,Avesh Khan,0,4,4,,,,
13,1st innings,Chennai Super Kings,Delhi Capitals,1.6,RD Gaikwad,F du Plessis,Avesh Khan,0,1,1,,,,
14,1st innings,Chennai Super Kings,Delhi Capitals,1.7,F du Plessis,RD Gaikwad,Avesh Khan,0,0,0,,,,
15,1st innings,Chennai Super Kings,Delhi Capitals,2.1,RD Gaikwad,F du Plessis,AR Patel,0,1,1,,,,
16,1st innings,Chennai Super Kings,Delhi Capitals,2.2,F du Plessis,RD Gaikwad,AR Patel,0,1,1,,,,
17,1st innings,Chennai Super Kings,Delhi Capitals,2.3,RD Gaikwad,F du Plessis,AR Patel,0,0,0,,,,
18,1st innings,Chennai Super Kings,Delhi Capitals,2.4,RD Gaikwad,F du Plessis,AR Patel,0,0,0,,F du Plessis,caught,SS Iyer
19,1st innings,Chennai Super Kings,Delhi Capitals,2.5,RD Gaikwad,RV Uthappa,AR Patel,0,1,1,,,,
20,1st innings,Chennai Super Kings,Delhi Capitals,2.6,RV Uthappa,RD Gaikwad,AR Patel,0,1,1,,,,
21,1st innings,Chennai Super Kings,Delhi Capitals,3.1,RV Uthappa,RD Gaikwad,K Rabada,0,0,0,,,,
22,1st innings,Chennai Super Kings,Delhi Capitals,3.2,RV Uthappa,RD Gaikwad,K Rabada,0,4,4,,,,
23,1st innings,Chennai Super Kings,Delhi Capitals,3.3,RV Uthappa,RD Gaikwad,K Rabada,0,1,1,,,,
24,1st innings,Chennai Super Kings,Delhi Capitals,3.4,RD Gaikwad,RV Uthappa,K Rabada,0,0,0,,,,
25,1st innings,Chennai Super Kings,Delhi Capitals,3.5,RD Gaikwad,RV Uthappa,K Rabada,0,0,0,,,,
26,1st innings,Chennai Super Kings,Delhi Capitals,3.6,RD Gaikwad,RV Uthappa,K Rabada,0,1,1,,,,
27,1st innings,Chennai Super Kings,Delhi Capitals,4.1,RD Gaikwad,RV Uthappa,A Nortje,0,2,2,,,,
28,1st innings,Chennai Super Kings,Delhi Capitals,4.2,RD Gaikwad,RV Uthappa,A Nortje,0,0,0,,,,
29,1st innings,Chennai Super Kings,Delhi Capitals,4.3,RD Gaikwad,RV Uthappa,A Nortje,0,1,1,,,,
30,1st innings,Chennai Super Kings,Delhi Capitals,4.4,RV Uthappa,RD Gaikwad,A Nortje,0,0,0,,RD Gaikwad,caught,R Ashwin
31,1st innings,Chennai Super Kings,Delhi Capitals,4.5,MM Ali,RV Uthappa,A Nortje,0,0,0,,,,
32,1st innings,Chennai Super Kings,Delhi Capitals,4.6,MM Ali,RV Uthappa,A Nortje,0,2,2,,,,
33,1st innings,Chennai Super Kings,Delhi Capitals,5.1,RV Uthappa,MM Ali,K Rabada,0,0,0,,,,
34,1st innings,Chennai Super Kings,Delhi Capitals,5.2,RV Uthappa,MM Ali,K Rabada,0,1,1,,,,
35,1st innings,Chennai Super Kings,Delhi Capitals,5.3,MM Ali,RV Uthappa,K Rabada,0,4,4,,,,
36,1st innings,Chennai Super Kings,Delhi Capitals,5.4,MM Ali,RV Uthappa,K Rabada,0,0,0,,,,
37,1st innings,Chennai Super Kings,Delhi Capitals,5.5,MM Ali,RV Uthappa,K Rabada,0,1,1,,,,
38,1st innings,Chennai Super Kings,Delhi Capitals,5.6,RV Uthappa,MM Ali,K Rabada,0,1,1,,,,
39,1st innings,Chennai Super Kings,Delhi Capitals,6.1,RV Uthappa,MM Ali,R Ashwin,0,0,0,,,,
40,1st innings,Chennai Super Kings,Delhi Capitals,6.2,RV Uthappa,MM Ali,R Ashwin,1,0,1,wides,,,
41,1st innings,Chennai Super Kings,Delhi Capitals,6.3,RV Uthappa,MM Ali,R Ashwin,1,0,1,wides,,,
42,1st innings,Chennai Super Kings,Delhi Capitals,6.4,RV Uthappa,MM Ali,R Ashwin,0,1,1,,,,
43,1st innings,Chennai Super Kings,Delhi Capitals,6.5,MM Ali,RV Uthappa,R Ashwin,0,1,1,,,,
44,1st innings,Chennai Super Kings,Delhi Capitals,6.6,RV Uthappa,MM Ali,R Ashwin,0,1,1,,,,
45,1st innings,Chennai Super Kings,Delhi Capitals,6.7,MM Ali,RV Uthappa,R Ashwin,0,2,2,,,,
46,1st innings,Chennai Super Kings,Delhi Capitals,6.8,MM Ali,RV Uthappa,R Ashwin,0,1,1,,,,
47,1st innings,Chennai Super Kings,Delhi Capitals,7.1,MM Ali,RV Uthappa,AR Patel,0,1,1,,,,
48,1st innings,Chennai Super Kings,Delhi Capitals,7.2,RV Uthappa,MM Ali,AR Patel,0,1,1,,,,
49,1st innings,Chennai Super Kings,Delhi Capitals,7.3,MM Ali,RV Uthappa,AR Patel,0,1,1,,,,
50,1st innings,Chennai Super Kings,Delhi Capitals,7.4,RV Uthappa,MM Ali,AR Patel,0,0,0,,MM Ali,caught,SS Iyer
51,1st innings,Chennai Super Kings,Delhi Capitals,7.5,AT Rayudu,RV Uthappa,AR Patel,0,1,1,,,,
52,1st innings,Chennai Super Kings,Delhi Capitals,7.6,RV Uthappa,AT Rayudu,AR Patel,0,1,1,,,,
53,1st innings,Chennai Super Kings,Delhi Capitals,8.1,RV Uthappa,AT Rayudu,R Ashwin,0,0,0,,,,
54,1st innings,Chennai Super Kings,Delhi Capitals,8.2,RV Uthappa,AT Rayudu,R Ashwin,0,1,1,,,,
55,1st innings,Chennai Super Kings,Delhi Capitals,8.3,AT Rayudu,RV Uthappa,R Ashwin,0,0,0,,RV Uthappa,caught and bowled,
56,1st innings,Chennai Super Kings,Delhi Capitals,8.4,AT Rayudu,MS Dhoni,R Ashwin,0,0,0,,,,
57,1st innings,Chennai Super Kings,Delhi Capitals,8.5,AT Rayudu,MS Dhoni,R Ashwin,0,2,2,,,,
58,1st innings,Chennai Super Kings,Delhi Capitals,8.6,AT Rayudu,MS Dhoni,R Ashwin,0,1,1,,,,
59,1st innings,Chennai Super Kings,Delhi Capitals,9.1,AT Rayudu,MS Dhoni,AR Patel,0,0,0,,,,
60,1st innings,Chennai Super Kings,Delhi Capitals,9.2,AT Rayudu,MS Dhoni,AR Patel,0,1,1,,,,
61,1st innings,Chennai Super Kings,Delhi Capitals,9.3,MS Dhoni,AT Rayudu,AR Patel,0,1,1,,,,
62,1st innings,Chennai Super Kings,Delhi Capitals,9.4,AT Rayudu,MS Dhoni,AR Patel,0,0,0,,,,
63,1st innings,Chennai Super Kings,Delhi Capitals,9.5,AT Rayudu,MS Dhoni,AR Patel,0,1,1,,,,
64,1st innings,Chennai Super Kings,Delhi Capitals,9.6,MS Dhoni,AT Rayudu,AR Patel,0,1,1,,,,
65,1st innings,Chennai Super Kings,Delhi Capitals,10.1,MS Dhoni,AT Rayudu,R Ashwin,0,0,0,,,,
66,1st innings,Chennai Super Kings,Delhi Capitals,10.2,MS Dhoni,AT Rayudu,R Ashwin,0,1,1,,,,
67,1st innings,Chennai Super Kings,Delhi Capitals,10.3,AT Rayudu,MS Dhoni,R Ashwin,0,0,0,,,,
68,1st innings,Chennai Super Kings,Delhi Capitals,10.4,AT Rayudu,MS Dhoni,R Ashwin,0,1,1,,,,
69,1st innings,Chennai Super Kings,Delhi Capitals,10.5,MS Dhoni,AT Rayudu,R Ashwin,0,1,1,,,,
