,inning,batting_team,bowling_team,ball,non_striker,batsman,bowler,extra_runs,batsman_run,total_runs,extras,player_out,elimination_kind,fielders_caught
0,1st innings,Kolkata Knight Riders,Rajasthan Royals,0.1,VR Iyer,Shubman Gill,JD Unadkat,0,0,0,,,,
1,1st innings,Kolkata Knight Riders,Rajasthan Royals,0.2,VR Iyer,Shubman Gill,JD Unadkat,0,2,2,,,,
2,1st innings,Kolkata Knight Riders,Rajasthan Royals,0.3,VR Iyer,Shubman Gill,JD Unadkat,0,4,4,,,,
3,1st innings,Kolkata Knight Riders,Rajasthan Royals,0.4,VR Iyer,Shubman Gill,JD Unadkat,0,0,0,,,,
4,1st innings,Kolkata Knight Riders,Rajasthan Royals,0.5,VR Iyer,Shubman Gill,JD Unadkat,0,1,1,,,,
5,1st innings,Kolkata Knight Riders,Rajasthan Royals,0.6,Shubman Gill,VR Iyer,JD Unadkat,0,1,1,,,,
6,1st innings,Kolkata Knight Riders,Rajasthan Royals,1.1,Shubman Gill,VR Iyer,CH Morris,0,0,0,,,,
7,1st innings,Kolkata Knight Riders,Rajasthan Royals,1.2,Shubman Gill,VR Iyer,CH Morris,0,0,0,,,,
8,1st innings,Kolkata Knight Riders,Rajasthan Royals,1.3,Shubman Gill,VR Iyer,CH Morris,0,0,0,,,,
9,1st innings,Kolkata Knight Riders,Rajasthan Royals,1.4,Shubman Gill,VR Iyer,CH Morris,0,1,1,,,,
10,1st innings,Kolkata Knight Riders,Rajasthan Royals,1.5,VR Iyer,Shubman Gill,CH Morris,0,0,0,,,,
11,1st innings,Kolkata Knight Riders,Rajasthan Royals,1.6,VR Iyer,Shubman Gill,CH Morris,2,0,2,wides,,,
12,1st innings,Kolkata Knight Riders,Rajasthan Royals,1.7,Shubman Gill,VR Iyer,CH Morris,0,4,4,,,,
13,1st innings,Kolkata Knight Riders,Rajasthan Royals,2.1,VR Iyer,Shubman Gill,C Sakariya,0,0,0,,,,
14,1st innings,Kolkata Knight Riders,Rajasthan Royals,2.2,VR Iyer,Shubman Gill,C Sakariya,0,0,0,,,,
15,1st innings,Kolkata Knight Riders,Rajasthan Royals,2.3,VR Iyer,Shubman Gill,C Sakariya,0,0,0,,,,
16,1st innings,Kolkata Knight Riders,Rajasthan Royals,2.4,VR Iyer,Shubman Gill,C Sakariya,0,1,1,,,,
17,1st innings,Kolkata Knight Riders,Rajasthan Royals,2.5,Shubman Gill,VR Iyer,C Sakariya,0,0,0,,,,
18,1st innings,Kolkata Knight Riders,Rajasthan Royals,2.6,Shubman Gill,VR Iyer,C Sakariya,0,1,1,,,,
19,1st innings,Kolkata Knight Riders,Rajasthan Royals,3.1,Shubman Gill,VR Iyer,JD Unadkat,0,0,0,,,,
20,1st innings,Kolkata Knight Riders,Rajasthan Royals,3.2,Shubman Gill,VR Iyer,JD Unadkat,0,0,0,,,,
21,1st innings,Kolkata Knight Riders,Rajasthan Royals,3.3,Shubman Gill,VR Iyer,JD Unadkat,0,0,0,,,,
22,1st innings,Kolkata Knight Riders,Rajasthan Royals,3.4,Shubman Gill,VR Iyer,JD Unadkat,1,0,1,wides,,,
23,1st innings,Kolkata Knight Riders,Rajasthan Royals,3.5,Shubman Gill,VR Iyer,JD Unadkat,0,1,1,,,,
24,1st innings,Kolkata Knight Riders,Rajasthan Royals,3.6,VR Iyer,Shubman Gill,JD Unadkat,0,1,1,,,,
25,1st innings,Kolkata Knight Riders,Rajasthan Royals,3.7,Shubman Gill,VR Iyer,JD Unadkat,0,0,0,,,,
26,1st innings,Kolkata Knight Riders,Rajasthan Royals,4.1,VR Iyer,Shubman Gill,C Sakariya,0,6,6,,,,
27,1st innings,Kolkata Knight Riders,Rajasthan Royals,4.2,VR Iyer,Shubman Gill,C Sakariya,0,0,0,,,,
28,1st innings,Kolkata Knight Riders,Rajasthan Royals,4.3,VR Iyer,Shubman Gill,C Sakariya,0,0,0,,,,
29,1st innings,Kolkata Knight Riders,Rajasthan Royals,4.4,VR Iyer,Shubman Gill,C Sakariya,0,0,0,,,,
30,1st innings,Kolkata Knight Riders,Rajasthan Royals,4.5,VR Iyer,Shubman Gill,C Sakariya,0,1,1,,,,
31,1st innings,Kolkata Knight Riders,Rajasthan Royals,4.6,Shubman Gill,VR Iyer,C Sakariya,0,4,4,,,,
32,1st innings,Kolkata Knight Riders,Rajasthan Royals,5.1,VR Iyer,Shubman Gill,CH Morris,0,1,1,,,,
33,1st innings,Kolkata Knight Riders,Rajasthan Royals,5.2,Shubman Gill,VR Iyer,CH Morris,0,0,0,,,,
34,1st innings,Kolkata Knight Riders,Rajasthan Royals,5.3,Shubman Gill,VR Iyer,CH Morris,0,0,0,,,,
35,1st innings,Kolkata Knight Riders,Rajasthan Royals,5.4,Shubman Gill,VR Iyer,CH Morris,0,1,1,,,,
36,1st innings,Kolkata Knight Riders,Rajasthan Royals,5.5,VR Iyer,Shubman Gill,CH Morris,0,1,1,,,,
37,1st innings,Kolkata Knight Riders,Rajasthan Royals,5.6,Shubman Gill,VR Iyer,CH Morris,0,0,0,,,,
38,1st innings,Kolkata Knight Riders,Rajasthan Royals,6.1,VR Iyer,Shubman Gill,JD Unadkat,0,1,1,,,,
39,1st innings,Kolkata Knight Riders,Rajasthan Royals,6.2,Shubman Gill,VR Iyer,JD Unadkat,0,1,1,,,,
40,1st innings,Kolkata Knight Riders,Rajasthan Royals,6.3,VR Iyer,Shubman Gill,JD Unadkat,0,2,2,,,,
41,1st innings,Kolkata Knight Riders,Rajasthan Royals,6.4,VR Iyer,Shubman Gill,JD Unadkat,0,1,1,,,,
42,1st innings,Kolkata Knight Riders,Rajasthan Royals,6.5,Shubman Gill,VR Iyer,JD Unadkat,0,4,4,,,,
43,1st innings,Kolkata Knight Riders,Rajasthan Royals,6.6,Shubman Gill,VR Iyer,JD Unadkat,0,1,1,,,,
44,1st innings,Kolkata Knight Riders,Rajasthan Royals,7.1,Shubman Gill,VR Iyer,Mustafizur Rahman,0,1,1,,,,
45,1st innings,Kolkata Knight Riders,Rajasthan Royals,7.2,VR Iyer,Shubman Gill,Mustafizur Rahman,0,1,1,,,,
46,1st innings,Kolkata Knight Riders,Rajasthan Royals,7.3,Shubman Gill,VR Iyer,Mustafizur Rahman,0,1,1,,,,
47,1st innings,Kolkata Knight Riders,Rajasthan Royals,7.4,VR Iyer,Shubman Gill,Mustafizur Rahman,0,1,1,,,,
48,1st innings,Kolkata Knight Riders,Rajasthan Royals,7.5,Shubman Gill,VR Iyer,Mustafizur Rahman,1,0,1,wides,,,
49,1st innings,Kolkata Knight Riders,Rajasthan Royals,7.6,Shubman Gill,VR Iyer,Mustafizur Rahman,0,0,0,,,,
50,1st innings,Kolkata Knight Riders,Rajasthan Royals,7.7,Shubman Gill,VR Iyer,Mustafizur Rahman,1,0,1,legbyes,,,
51,1st innings,Kolkata Knight Riders,Rajasthan Royals,8.1,Shubman Gill,VR Iyer,S Dube,0,1,1,,,,
52,1st innings,Kolkata Knight Riders,Rajasthan Royals,8.2,VR Iyer,Shubman Gill,S Dube,0,1,1,,,,
53,1st innings,Kolkata Knight Riders,Rajasthan Royals,8.3,Shubman Gill,VR Iyer,S Dube,0,1,1,,,,
54,1st innings,Kolkata Knight Riders,Rajasthan Royals,8.4,VR Iyer,Shubman Gill,S Dube,0,0,0,,,,
55,1st innings,Kolkata Knight Riders,Rajasthan Royals,8.5,VR Iyer,Shubman Gill,S Dube,0,1,1,,,,
