,inning,batting_team,bowling_team,ball,non_striker,batsman,bowler,extra_runs,batsman_run,total_runs,extras,player_out,elimination_kind,fielders_caught
0,1st innings,Royal Challengers Bangalore,Kolkata Knight Riders,0.1,V Kohli,D Padikkal,Shakib Al Hasan,0,1,1,,,,
1,1st innings,Royal Challengers Bangalore,Kolkata Knight Riders,0.2,D Padikkal,V Kohli,Shakib Al Hasan,0,1,1,,,,
2,1st innings,Royal Challengers Bangalore,Kolkata Knight Riders,0.3,V Kohli,D Padikkal,Shakib Al Hasan,0,1,1,,,,
3,1st innings,Royal Challengers Bangalore,Kolkata Knight Riders,0.4,D Padikkal,V Kohli,Shakib Al Hasan,0,0,0,,,,
4,1st innings,Royal Challengers Bangalore,Kolkata Knight Riders,0.5,D Padikkal,V Kohli,Shakib Al Hasan,0,0,0,,,,
5,1st innings,Royal Challengers Bangalore,Kolkata Knight Riders,0.6,D Padikkal,V Kohli,Shakib Al Hasan,0,4,4,,,,
6,1st innings,Royal Challengers Bangalore,Kolkata Knight Riders,1.1,V Kohli,D Padikkal,Shivam Mavi,0,0,0,,,,
7,1st innings,Royal Challengers Bangalore,Kolkata Knight Riders,1.2,V Kohli,D Padikkal,Shivam Mavi,0,0,0,,,,
8,1st innings,Royal Challengers Bangalore,Kolkata Knight Riders,1.3,V Kohli,D Padikkal,Shivam Mavi,0,1,1,,,,
9,1st innings,Royal Challengers Bangalore,Kolkata Knight Riders,1.4,D Padikkal,V Kohli,Shivam Mavi,0,0,0,,,,
10,1st innings,Royal Challengers Bangalore,Kolkata Knight Riders,1.5,D Padikkal,V Kohli,Shivam Mavi,0,0,0,,,,
11,1st innings,Royal Challengers Bangalore,Kolkata Knight Riders,1.6,D Padikkal,V Kohli,Shivam Mavi,1,4,5,noballs,,,
12,1st innings,Royal Challengers Bangalore,Kolkata Knight Riders,1.7,D Padikkal,V Kohli,Shivam Mavi,0,4,4,,,,
13,1st innings,Royal Challengers Bangalore,Kolkata Knight Riders,2.1,V Kohli,D Padikkal,CV Varun,0,1,1,,,,
14,1st innings,Royal Challengers Bangalore,Kolkata Knight Riders,2.2,D Padikkal,V Kohli,CV Varun,0,1,1,,,,
15,1st innings,Royal Challengers Bangalore,Kolkata Knight Riders,2.3,V Kohli,D Padikkal,CV Varun,0,2,2,,,,
16,1st innings,Royal Challengers Bangalore,Kolkata Knight Riders,2.4,V Kohli,D Padikkal,CV Varun,0,1,1,,,,
