,inning,batting_team,bowling_team,ball,non_striker,batsman,bowler,extra_runs,batsman_run,total_runs,extras,player_out,elimination_kind,fielders_caught
0,1st innings,Delhi Capitals,Kolkata Knight Riders,0.1,S Dhawan,PP Shaw,Shakib Al Hasan,0,0,0,0,0,0,0
1,1st innings,Delhi Capitals,Kolkata Knight Riders,0.2,S Dhawan,PP Shaw,Shakib Al Hasan,0,1,1,0,0,0,0
2,1st innings,Delhi Capitals,Kolkata Knight Riders,0.3,PP Shaw,S Dhawan,Shakib Al Hasan,0,0,0,0,0,0,0
3,1st innings,Delhi Capitals,Kolkata Knight Riders,0.4,PP Shaw,S Dhawan,Shakib Al Hasan,0,0,0,0,0,0,0
4,1st innings,Delhi Capitals,Kolkata Knight Riders,0.5,PP Shaw,S Dhawan,Shakib Al Hasan,0,0,0,0,0,0,0
5,1st innings,Delhi Capitals,Kolkata Knight Riders,0.6,PP Shaw,S Dhawan,Shakib Al Hasan,0,0,0,0,0,0,0
6,1st innings,Delhi Capitals,Kolkata Knight Riders,1.1,S Dhawan,PP Shaw,LH Ferguson,0,4,4,0,0,0,0
7,1st innings,Delhi Capitals,Kolkata Knight Riders,1.2,S Dhawan,PP Shaw,LH Ferguson,0,0,0,0,0,0,0
8,1st innings,Delhi Capitals,Kolkata Knight Riders,1.3,S Dhawan,PP Shaw,LH Ferguson,0,1,1,0,0,0,0
9,1st innings,Delhi Capitals,Kolkata Knight Riders,1.4,PP Shaw,S Dhawan,LH Ferguson,0,0,0,0,0,0,0
10,1st innings,Delhi Capitals,Kolkata Knight Riders,1.5,PP Shaw,S Dhawan,LH Ferguson,0,0,0,0,0,0,0
11,1st innings,Delhi Capitals,Kolkata Knight Riders,1.6,PP Shaw,S Dhawan,LH Ferguson,0,0,0,0,0,0,0
12,1st innings,Delhi Capitals,Kolkata Knight Riders,2.1,S Dhawan,PP Shaw,Shakib Al Hasan,0,6,6,0,0,0,0
13,1st innings,Delhi Capitals,Kolkata Knight Riders,2.2,S Dhawan,PP Shaw,Shakib Al Hasan,0,4,4,0,0,0,0
14,1st innings,Delhi Capitals,Kolkata Knight Riders,2.3,S Dhawan,PP Shaw,Shakib Al Hasan,0,0,0,0,0,0,0
15,1st innings,Delhi Capitals,Kolkata Knight Riders,2.4,S Dhawan,PP Shaw,Shakib Al Hasan,0,1,1,0,0,0,0
16,1st innings,Delhi Capitals,Kolkata Knight Riders,2.5,PP Shaw,S Dhawan,Shakib Al Hasan,0,1,1,0,0,0,0
17,1st innings,Delhi Capitals,Kolkata Knight Riders,2.6,S Dhawan,PP Shaw,Shakib Al Hasan,0,0,0,0,0,0,0
18,1st innings,Delhi Capitals,Kolkata Knight Riders,3.1,PP Shaw,S Dhawan,SP Narine,0,0,0,0,0,0,0
19,1st innings,Delhi Capitals,Kolkata Knight Riders,3.2,PP Shaw,S Dhawan,SP Narine,0,6,6,0,0,0,0
20,1st innings,Delhi Capitals,Kolkata Knight Riders,3.3,PP Shaw,S Dhawan,SP Narine,0,6,6,0,0,0,0
21,1st innings,Delhi Capitals,Kolkata Knight Riders,3.4,PP Shaw,S Dhawan,SP Narine,0,1,1,0,0,0,0
22,1st innings,Delhi Capitals,Kolkata Knight Riders,3.5,S Dhawan,PP Shaw,SP Narine,0,1,1,0,0,0,0
23,1st innings,Delhi Capitals,Kolkata Knight Riders,3.6,PP Shaw,S Dhawan,SP Narine,0,0,0,0,0,0,0
24,1st innings,Delhi Capitals,Kolkata Knight Riders,4.1,S Dhawan,PP Shaw,CV Varun,0,0,0,0,PP Shaw,lbw,0
25,1st innings,Delhi Capitals,Kolkata Knight Riders,4.2,S Dhawan,MP Stoinis,CV Varun,0,0,0,0,0,0,0
26,1st innings,Delhi Capitals,Kolkata Knight Riders,4.3,S Dhawan,MP Stoinis,CV Varun,0,0,0,0,0,0,0
27,1st innings,Delhi Capitals,Kolkata Knight Riders,4.4,S Dhawan,MP Stoinis,CV Varun,0,1,1,0,0,0,0
28,1st innings,Delhi Capitals,Kolkata Knight Riders,4.5,MP Stoinis,S Dhawan,CV Varun,0,0,0,0,0,0,0
29,1st innings,Delhi Capitals,Kolkata Knight Riders,4.6,MP Stoinis,S Dhawan,CV Varun,0,1,1,0,0,0,0
30,1st innings,Delhi Capitals,Kolkata Knight Riders,5.1,MP Stoinis,S Dhawan,LH Ferguson,0,1,1,0,0,0,0
31,1st innings,Delhi Capitals,Kolkata Knight Riders,5.2,S Dhawan,MP Stoinis,LH Ferguson,0,1,1,0,0,0,0
32,1st innings,Delhi Capitals,Kolkata Knight Riders,5.3,MP Stoinis,S Dhawan,LH Ferguson,0,0,0,0,0,0,0
33,1st innings,Delhi Capitals,Kolkata Knight Riders,5.4,MP Stoinis,S Dhawan,LH Ferguson,0,0,0,0,0,0,0
34,1st innings,Delhi Capitals,Kolkata Knight Riders,5.5,MP Stoinis,S Dhawan,LH Ferguson,0,1,1,0,0,0,0
