,inning,batting_team,bowling_team,ball,non_striker,batsman,bowler,extra_runs,batsman_run,total_runs,extras,player_out,elimination_kind,fielders_caught
0,1st innings,Chennai Super Kings,Kolkata Knight Riders,0.1,F du Plessis,RD Gaikwad,Shakib Al Hasan,0,1,1,0,0,0,0
1,1st innings,Chennai Super Kings,Kolkata Knight Riders,0.2,RD Gaikwad,F du Plessis,Shakib Al Hasan,0,0,0,0,0,0,0
2,1st innings,Chennai Super Kings,Kolkata Knight Riders,0.3,RD Gaikwad,F du Plessis,Shakib Al Hasan,0,1,1,0,0,0,0
3,1st innings,Chennai Super Kings,Kolkata Knight Riders,0.4,F du Plessis,RD Gaikwad,Shakib Al Hasan,0,4,4,0,0,0,0
4,1st innings,Chennai Super Kings,Kolkata Knight Riders,0.5,F du Plessis,RD Gaikwad,Shakib Al Hasan,0,0,0,0,0,0,0
5,1st innings,Chennai Super Kings,Kolkata Knight Riders,0.6,F du Plessis,RD Gaikwad,Shakib Al Hasan,0,0,0,0,0,0,0
6,1st innings,Chennai Super Kings,Kolkata Knight Riders,1.1,RD Gaikwad,F du Plessis,Shivam Mavi,0,0,0,0,0,0,0
7,1st innings,Chennai Super Kings,Kolkata Knight Riders,1.2,RD Gaikwad,F du Plessis,Shivam Mavi,0,1,1,0,0,0,0
8,1st innings,Chennai Super Kings,Kolkata Knight Riders,1.3,F du Plessis,RD Gaikwad,Shivam Mavi,0,2,2,0,0,0,0
9,1st innings,Chennai Super Kings,Kolkata Knight Riders,1.4,F du Plessis,RD Gaikwad,Shivam Mavi,0,0,0,0,0,0,0
10,1st innings,Chennai Super Kings,Kolkata Knight Riders,1.5,F du Plessis,RD Gaikwad,Shivam Mavi,0,0,0,0,0,0,0
11,1st innings,Chennai Super Kings,Kolkata Knight Riders,1.6,F du Plessis,RD Gaikwad,Shivam Mavi,0,0,0,0,0,0,0
12,1st innings,Chennai Super Kings,Kolkata Knight Riders,2.1,RD Gaikwad,F du Plessis,Shakib Al Hasan,1,0,1,byes,0,0,0
13,1st innings,Chennai Super Kings,Kolkata Knight Riders,2.2,F du Plessis,RD Gaikwad,Shakib Al Hasan,0,4,4,0,0,0,0
14,1st innings,Chennai Super Kings,Kolkata Knight Riders,2.3,F du Plessis,RD Gaikwad,Shakib Al Hasan,0,6,6,0,0,0,0
15,1st innings,Chennai Super Kings,Kolkata Knight Riders,2.4,F du Plessis,RD Gaikwad,Shakib Al Hasan,0,0,0,0,0,0,0
16,1st innings,Chennai Super Kings,Kolkata Knight Riders,2.5,F du Plessis,RD Gaikwad,Shakib Al Hasan,0,1,1,0,0,0,0
17,1st innings,Chennai Super Kings,Kolkata Knight Riders,2.6,RD Gaikwad,F du Plessis,Shakib Al Hasan,0,1,1,0,0,0,0
18,1st innings,Chennai Super Kings,Kolkata Knight Riders,3.1,RD Gaikwad,F du Plessis,LH Ferguson,0,2,2,0,0,0,0
19,1st innings,Chennai Super Kings,Kolkata Knight Riders,3.2,RD Gaikwad,F du Plessis,LH Ferguson,0,1,1,0,0,0,0
20,1st innings,Chennai Super Kings,Kolkata Knight Riders,3.3,F du Plessis,RD Gaikwad,LH Ferguson,0,4,4,0,0,0,0
21,1st innings,Chennai Super Kings,Kolkata Knight Riders,3.4,F du Plessis,RD Gaikwad,LH Ferguson,0,1,1,0,0,0,0
22,1st innings,Chennai Super Kings,Kolkata Knight Riders,3.5,RD Gaikwad,F du Plessis,LH Ferguson,0,4,4,0,0,0,0
23,1st innings,Chennai Super Kings,Kolkata Knight Riders,3.6,RD Gaikwad,F du Plessis,LH Ferguson,0,0,0,0,0,0,0
24,1st innings,Chennai Super Kings,Kolkata Knight Riders,4.1,F du Plessis,RD Gaikwad,Shivam Mavi,0,0,0,0,0,0,0
25,1st innings,Chennai Super Kings,Kolkata Knight Riders,4.2,F du Plessis,RD Gaikwad,Shivam Mavi,0,1,1,0,0,0,0
26,1st innings,Chennai Super Kings,Kolkata Knight Riders,4.3,RD Gaikwad,F du Plessis,Shivam Mavi,0,1,1,0,0,0,0
27,1st innings,Chennai Super Kings,Kolkata Knight Riders,4.4,F du Plessis,RD Gaikwad,Shivam Mavi,0,1,1,0,0,0,0
28,1st innings,Chennai Super Kings,Kolkata Knight Riders,4.5,RD Gaikwad,F du Plessis,Shivam Mavi,0,4,4,0,0,0,0
29,1st innings,Chennai Super Kings,Kolkata Knight Riders,4.6,RD Gaikwad,F du Plessis,Shivam Mavi,0,1,1,0,0,0,0
30,1st innings,Chennai Super Kings,Kolkata Knight Riders,5.1,RD Gaikwad,F du Plessis,CV Varun,0,0,0,0,0,0,0
31,1st innings,Chennai Super Kings,Kolkata Knight Riders,5.2,RD Gaikwad,F du Plessis,CV Varun,0,1,1,0,0,0,0
32,1st innings,Chennai Super Kings,Kolkata Knight Riders,5.3,F du Plessis,RD Gaikwad,CV Varun,0,0,0,0,0,0,0
33,1st innings,Chennai Super Kings,Kolkata Knight Riders,5.4,F du Plessis,RD Gaikwad,CV Varun,0,1,1,0,0,0,0
34,1st innings,Chennai Super Kings,Kolkata Knight Riders,5.5,RD Gaikwad,F du Plessis,CV Varun,1,0,1,noballs,0,0,0
35,1st innings,Chennai Super Kings,Kolkata Knight Riders,5.6,RD Gaikwad,F du Plessis,CV Varun,0,4,4,0,0,0,0
36,1st innings,Chennai Super Kings,Kolkata Knight Riders,5.7,RD Gaikwad,F du Plessis,CV Varun,0,1,1,0,0,0,0
37,1st innings,Chennai Super Kings,Kolkata Knight Riders,6.1,RD Gaikwad,F du Plessis,SP Narine,0,1,1,0,0,0,0
38,1st innings,Chennai Super Kings,Kolkata Knight Riders,6.2,F du Plessis,RD Gaikwad,SP Narine,0,1,1,0,0,0,0
39,1st innings,Chennai Super Kings,Kolkata Knight Riders,6.3,RD Gaikwad,F du Plessis,SP Narine,0,1,1,0,0,0,0
40,1st innings,Chennai Super Kings,Kolkata Knight Riders,6.4,F du Plessis,RD Gaikwad,SP Narine,0,1,1,0,0,0,0
41,1st innings,Chennai Super Kings,Kolkata Knight Riders,6.5,RD Gaikwad,F du Plessis,SP Narine,0,1,1,0,0,0,0
42,1st innings,Chennai Super Kings,Kolkata Knight Riders,6.6,F du Plessis,RD Gaikwad,SP Narine,0,1,1,0,0,0,0
43,1st innings,Chennai Super Kings,Kolkata Knight Riders,7.1,F du Plessis,RD Gaikwad,CV Varun,0,0,0,0,0,0,0
44,1st innings,Chennai Super Kings,Kolkata Knight Riders,7.2,F du Plessis,RD Gaikwad,CV Varun,0,1,1,0,0,0,0
45,1st innings,Chennai Super Kings,Kolkata Knight Riders,7.3,RD Gaikwad,F du Plessis,CV Varun,0,1,1,0,0,0,0
46,1st innings,Chennai Super Kings,Kolkata Knight Riders,7.4,F du Plessis,RD Gaikwad,CV Varun,0,1,1,0,0,0,0
47,1st innings,Chennai Super Kings,Kolkata Knight Riders,7.5,RD Gaikwad,F du Plessis,CV Varun,0,1,1,0,0,0,0
48,1st innings,Chennai Super Kings,Kolkata Knight Riders,7.6,F du Plessis,RD Gaikwad,CV Varun,0,1,1,0,0,0,0
49,1st innings,Chennai Super Kings,Kolkata Knight Riders,8.1,F du Plessis,RD Gaikwad,SP Narine,0,0,0,0,RD Gaikwad,caught,Shivam Mavi
50,1st innings,Chennai Super Kings,Kolkata Knight Riders,8.2,F du Plessis,RV Uthappa,SP Narine,0,1,1,0,0,0,0
51,1st innings,Chennai Super Kings,Kolkata Knight Riders,8.3,RV Uthappa,F du Plessis,SP Narine,0,1,1,0,0,0,0
52,1st innings,Chennai Super Kings,Kolkata Knight Riders,8.4,F du Plessis,RV Uthappa,SP Narine,0,1,1,0,0,0,0
53,1st innings,Chennai Super Kings,Kolkata Knight Riders,8.5,RV Uthappa,F du Plessis,SP Narine,0,0,0,0,0,0,0
54,1st innings,Chennai Super Kings,Kolkata Knight Riders,8.6,RV Uthappa,F du Plessis,SP Narine,0,1,1,0,0,0,0
55,1st innings,Chennai Super Kings,Kolkata Knight Riders,9.1,RV Uthappa,F du Plessis,Shakib Al Hasan,0,1,1,0,0,0,0
56,1st innings,Chennai Super Kings,Kolkata Knight Riders,9.2,F du Plessis,RV Uthappa,Shakib Al Hasan,0,1,1,0,0,0,0
57,1st innings,Chennai Super Kings,Kolkata Knight Riders,9.3,RV Uthappa,F du Plessis,Shakib Al Hasan,0,0,0,0,0,0,0
58,1st innings,Chennai Super Kings,Kolkata Knight Riders,9.4,RV Uthappa,F du Plessis,Shakib Al Hasan,0,6,6,0,0,0,0
59,1st innings,Chennai Super Kings,Kolkata Knight Riders,9.5,RV Uthappa,F du Plessis,Shakib Al Hasan,0,1,1,0,0,0,0
60,1st innings,Chennai Super Kings,Kolkata Knight Riders,9.6,F du Plessis,RV Uthappa,Shakib Al Hasan,0,6,6,0,0,0,0
61,1st innings,Chennai Super Kings,Kolkata Knight Riders,10.1,RV Uthappa,F du Plessis,LH Ferguson,0,0,0,0,0,0,0
62,1st innings,Chennai Super Kings,Kolkata Knight Riders,10.2,RV Uthappa,F du Plessis,LH Ferguson,0,4,4,0,0,0,0
63,1st innings,Chennai Super Kings,Kolkata Knight Riders,10.3,RV Uthappa,F du Plessis,LH Ferguson,0,4,4,0,0,0,0
64,1st innings,Chennai Super Kings,Kolkata Knight Riders,10.4,RV Uthappa,F du Plessis,LH Ferguson,0,1,1,0,0,0,0
65,1st innings,Chennai Super Kings,Kolkata Knight Riders,10.5,F du Plessis,RV Uthappa,LH Ferguson,0,1,1,0,0,0,0
66,1st innings,Chennai Super Kings,Kolkata Knight Riders,10.6,RV Uthappa,F du Plessis,LH Ferguson,1,0,1,wides,0,0,0
67,1st innings,Chennai Super Kings,Kolkata Knight Riders,10.7,RV Uthappa,F du Plessis,LH Ferguson,0,6,6,0,0,0,0
68,1st innings,Chennai Super Kings,Kolkata Knight Riders,11.1,F du Plessis,RV Uthappa,SP Narine,0,2,2,0,0,0,0
69,1st innings,Chennai Super Kings,Kolkata Knight Riders,11.2,F du Plessis,RV Uthappa,SP Narine,0,0,0,0,0,0,0
70,1st innings,Chennai Super Kings,Kolkata Knight Riders,11.3,F du Plessis,RV Uthappa,SP Narine,0,1,1,0,0,0,0
71,1st innings,Chennai Super Kings,Kolkata Knight Riders,11.4,RV Uthappa,F du Plessis,SP Narine,0,1,1,0,0,0,0
72,1st innings,Chennai Super Kings,Kolkata Knight Riders,11.5,F du Plessis,RV Uthappa,SP Narine,0,1,1,0,0,0,0
73,1st innings,Chennai Super Kings,Kolkata Knight Riders,11.6,RV Uthappa,F du Plessis,SP Narine,0,2,2,0,0,0,0
74,1st innings,Chennai Super Kings,Kolkata Knight Riders,12.1,F du Plessis,RV Uthappa,CV Varun,0,2,2,0,0,0,0
75,1st innings,Chennai Super Kings,Kolkata Knight Riders,12.2,F du Plessis,RV Uthappa,CV Varun,0,6,6,0,0,0,0
76,1st innings,Chennai Super Kings,Kolkata Knight Riders,12.3,F du Plessis,RV Uthappa,CV Varun,0,1,1,0,0,0,0
77,1st innings,Chennai Super Kings,Kolkata Knight Riders,12.4,RV Uthappa,F du Plessis,CV Varun,0,0,0,0,0,0,0
78,1st innings,Chennai Super Kings,Kolkata Knight Riders,12.5,RV Uthappa,F du Plessis,CV Varun,0,1,1,0,0,0,0
79,1st innings,Chennai Super Kings,Kolkata Knight Riders,12.6,F du Plessis,RV Uthappa,CV Varun,0,2,2,0,0,0,0
80,1st innings,Chennai Super Kings,Kolkata Knight Riders,13.1,RV Uthappa,F du Plessis,SP Narine,0,1,1,0,0,0,0
81,1st innings,Chennai Super Kings,Kolkata Knight Riders,13.2,F du Plessis,RV Uthappa,SP Narine,1,0,1,wides,0,0,0
82,1st innings,Chennai Super Kings,Kolkata Knight Riders,13.3,F du Plessis,RV Uthappa,SP Narine,0,6,6,0,0,0,0
83,1st innings,Chennai Super Kings,Kolkata Knight Riders,13.4,F du Plessis,RV Uthappa,SP Narine,0,0,0,0,RV Uthappa,lbw,0
84,1st innings,Chennai Super Kings,Kolkata Knight Riders,13.5,F du Plessis,MM Ali,SP Narine,0,1,1,0,0,0,0
85,1st innings,Chennai Super Kings,Kolkata Knight Riders,13.6,MM Ali,F du Plessis,SP Narine,0,0,0,0,0,0,0
86,1st innings,Chennai Super Kings,Kolkata Knight Riders,13.7,MM Ali,F du Plessis,SP Narine,0,0,0,0,0,0,0
87,1st innings,Chennai Super Kings,Kolkata Knight Riders,14.1,F du Plessis,MM Ali,VR Iyer,0,0,0,0,0,0,0
88,1st innings,Chennai Super Kings,Kolkata Knight Riders,14.2,F du Plessis,MM Ali,VR Iyer,0,1,1,0,0,0,0
89,1st innings,Chennai Super Kings,Kolkata Knight Riders,14.3,MM Ali,F du Plessis,VR Iyer,0,1,1,0,0,0,0
90,1st innings,Chennai Super Kings,Kolkata Knight Riders,14.4,F du Plessis,MM Ali,VR Iyer,1,0,1,legbyes,0,0,0
91,1st innings,Chennai Super Kings,Kolkata Knight Riders,14.5,MM Ali,F du Plessis,VR Iyer,0,2,2,0,0,0,0
92,1st innings,Chennai Super Kings,Kolkata Knight Riders,14.6,MM Ali,F du Plessis,VR Iyer,0,1,1,0,0,0,0
93,1st innings,Chennai Super Kings,Kolkata Knight Riders,15.1,MM Ali,F du Plessis,LH Ferguson,0,4,4,0,0,0,0
