inning,batting_team,bowling_team,ball,non_striker,batsman,bowler,extra_runs,batsman_run,total_runs,extras,player_out,elimination_kind,fielders_caught,match_name,umpires_1,umpires_2,player_of_match,winner,city,venue,dates
1st innings,Delhi Capitals,Rajasthan Royals,0.1,S Dhawan,PP Shaw,C Sakariya,0,0,0,,,,,DC vs RR 2021-04-15,S Ravi,VK Sharma,JD Unadkat,Rajasthan Royals,Mumbai,"Wankhede Stadium, Mumbai",2021-04-15
1st innings,Delhi Capitals,Rajasthan Royals,0.2,S Dhawan,PP Shaw,C Sakariya,0,0,0,,,,,DC vs RR 2021-04-15,S Ravi,VK Sharma,JD Unadkat,Rajasthan Royals,Mumbai,"Wankhede Stadium, Mumbai",2021-04-15
1st innings,Delhi Capitals,Rajasthan Royals,0.3,S Dhawan,PP Shaw,C Sakariya,0,1,1,,,,,DC vs RR 2021-04-15,S Ravi,VK Sharma,JD Unadkat,Rajasthan Royals,Mumbai,"Wankhede Stadium, Mumbai",2021-04-15
1st innings,Delhi Capitals,Rajasthan Royals,0.4,PP Shaw,S Dhawan,C Sakariya,0,0,0,,,,,DC vs RR 2021-04-15,S Ravi,VK Sharma,JD Unadkat,Rajasthan Royals,Mumbai,"Wankhede Stadium, Mumbai",2021-04-15
1st innings,Delhi Capitals,Rajasthan Royals,0.5,PP Shaw,S Dhawan,C Sakariya,0,0,0,,,,,DC vs RR 2021-04-15,S Ravi,VK Sharma,JD Unadkat,Rajasthan Royals,Mumbai,"Wankhede Stadium, Mumbai",2021-04-15
1st innings,Delhi Capitals,Rajasthan Royals,0.6,PP Shaw,S Dhawan,C Sakariya,0,1,1,,,,,DC vs RR 2021-04-15,S Ravi,VK Sharma,JD Unadkat,Rajasthan Royals,Mumbai,"Wankhede Stadium, Mumbai",2021-04-15
1st innings,Delhi Capitals,Rajasthan Royals,1.1,PP Shaw,S Dhawan,JD Unadkat,0,1,1,,,,,DC vs RR 2021-04-15,S Ravi,VK Sharma,JD Unadkat,Rajasthan Royals,Mumbai,"Wankhede Stadium, Mumbai",2021-04-15
1st innings,Delhi Capitals,Rajasthan Royals,1.2,S Dhawan,PP Shaw,JD Unadkat,0,1,1,,,,,DC vs RR 2021-04-15,S Ravi,VK Sharma,JD Unadkat,Rajasthan Royals,Mumbai,"Wankhede Stadium, Mumbai",2021-04-15
1st innings,Delhi Capitals,Rajasthan Royals,1.3,PP Shaw,S Dhawan,JD Unadkat,0,0,0,,,,,DC vs RR 2021-04-15,S Ravi,VK Sharma,JD Unadkat,Rajasthan Royals,Mumbai,"Wankhede Stadium, Mumbai",2021-04-15
1st innings,Delhi Capitals,Rajasthan Royals,1.4,PP Shaw,S Dhawan,JD Unadkat,0,0,0,,,,,DC vs RR 2021-04-15,S Ravi,VK Sharma,JD Unadkat,Rajasthan Royals,Mumbai,"Wankhede Stadium, Mumbai",2021-04-15
1st innings,Delhi Capitals,Rajasthan Royals,1.5,PP Shaw,S Dhawan,JD Unadkat,0,1,1,,,,,DC vs RR 2021-04-15,S Ravi,VK Sharma,JD Unadkat,Rajasthan Royals,Mumbai,"Wankhede Stadium, Mumbai",2021-04-15
1st innings,Delhi Capitals,Rajasthan Royals,1.6,S Dhawan,PP Shaw,JD Unadkat,0,0,0,,PP Shaw,caught,DA Miller,DC vs RR 2021-04-15,S Ravi,VK Sharma,JD Unadkat,Rajasthan Royals,Mumbai,"Wankhede Stadium, Mumbai",2021-04-15
