inning,batting_team,bowling_team,ball,non_striker,batsman,bowler,extra_runs,batsman_run,total_runs,extras,player_out,elimination_kind,fielders_caught,match_name,umpires_1,umpires_2,player_of_match,winner,city,venue,dates
1st innings,Mumbai Indians,Delhi Capitals,0.1,Q de Kock,RG Sharma,MP Stoinis,0,0,0,,,,,MI vs DC 2021-04-20,C Shamshuddin,CB Gaffaney,A Mishra,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-20
1st innings,Mumbai Indians,Delhi Capitals,0.2,Q de Kock,RG Sharma,MP Stoinis,0,1,1,,,,,MI vs DC 2021-04-20,C Shamshuddin,CB Gaffaney,A Mishra,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-20
1st innings,Mumbai Indians,Delhi Capitals,0.3,RG Sharma,Q de Kock,MP Stoinis,0,1,1,,,,,MI vs DC 2021-04-20,C Shamshuddin,CB Gaffaney,A Mishra,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-20
1st innings,Mumbai Indians,Delhi Capitals,0.4,Q de Kock,RG Sharma,MP Stoinis,0,2,2,,,,,MI vs DC 2021-04-20,C Shamshuddin,CB Gaffaney,A Mishra,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-20
1st innings,Mumbai Indians,Delhi Capitals,0.5,Q de Kock,RG Sharma,MP Stoinis,0,0,0,,,,,MI vs DC 2021-04-20,C Shamshuddin,CB Gaffaney,A Mishra,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-20
1st innings,Mumbai Indians,Delhi Capitals,0.6,Q de Kock,RG Sharma,MP Stoinis,0,2,2,,,,,MI vs DC 2021-04-20,C Shamshuddin,CB Gaffaney,A Mishra,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-20
1st innings,Mumbai Indians,Delhi Capitals,1.1,RG Sharma,Q de Kock,R Ashwin,1,0,1,legbyes,,,,MI vs DC 2021-04-20,C Shamshuddin,CB Gaffaney,A Mishra,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-20
1st innings,Mumbai Indians,Delhi Capitals,1.2,Q de Kock,RG Sharma,R Ashwin,0,0,0,,,,,MI vs DC 2021-04-20,C Shamshuddin,CB Gaffaney,A Mishra,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-20
1st innings,Mumbai Indians,Delhi Capitals,1.3,Q de Kock,RG Sharma,R Ashwin,0,0,0,,,,,MI vs DC 2021-04-20,C Shamshuddin,CB Gaffaney,A Mishra,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-20
1st innings,Mumbai Indians,Delhi Capitals,1.4,Q de Kock,RG Sharma,R Ashwin,0,0,0,,,,,MI vs DC 2021-04-20,C Shamshuddin,CB Gaffaney,A Mishra,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-20
1st innings,Mumbai Indians,Delhi Capitals,1.5,Q de Kock,RG Sharma,R Ashwin,0,1,1,,,,,MI vs DC 2021-04-20,C Shamshuddin,CB Gaffaney,A Mishra,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-20
1st innings,Mumbai Indians,Delhi Capitals,1.6,RG Sharma,Q de Kock,R Ashwin,0,1,1,,,,,MI vs DC 2021-04-20,C Shamshuddin,CB Gaffaney,A Mishra,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-20
1st innings,Mumbai Indians,Delhi Capitals,2.1,RG Sharma,Q de Kock,MP Stoinis,0,0,0,,Q de Kock,caught,RR Pant,MI vs DC 2021-04-20,C Shamshuddin,CB Gaffaney,A Mishra,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-20
1st innings,Mumbai Indians,Delhi Capitals,2.2,RG Sharma,SA Yadav,MP Stoinis,0,1,1,,,,,MI vs DC 2021-04-20,C Shamshuddin,CB Gaffaney,A Mishra,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-20
1st innings,Mumbai Indians,Delhi Capitals,2.3,SA Yadav,RG Sharma,MP Stoinis,0,1,1,,,,,MI vs DC 2021-04-20,C Shamshuddin,CB Gaffaney,A Mishra,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-20
1st innings,Mumbai Indians,Delhi Capitals,2.4,RG Sharma,SA Yadav,MP Stoinis,0,0,0,,,,,MI vs DC 2021-04-20,C Shamshuddin,CB Gaffaney,A Mishra,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-20
1st innings,Mumbai Indians,Delhi Capitals,2.5,RG Sharma,SA Yadav,MP Stoinis,0,1,1,,,,,MI vs DC 2021-04-20,C Shamshuddin,CB Gaffaney,A Mishra,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-20
1st innings,Mumbai Indians,Delhi Capitals,2.6,SA Yadav,RG Sharma,MP Stoinis,0,4,4,,,,,MI vs DC 2021-04-20,C Shamshuddin,CB Gaffaney,A Mishra,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-20
1st innings,Mumbai Indians,Delhi Capitals,3.1,RG Sharma,SA Yadav,R Ashwin,0,4,4,,,,,MI vs DC 2021-04-20,C Shamshuddin,CB Gaffaney,A Mishra,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-20
1st innings,Mumbai Indians,Delhi Capitals,3.2,RG Sharma,SA Yadav,R Ashwin,0,0,0,,,,,MI vs DC 2021-04-20,C Shamshuddin,CB Gaffaney,A Mishra,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-20
1st innings,Mumbai Indians,Delhi Capitals,3.3,RG Sharma,SA Yadav,R Ashwin,0,1,1,,,,,MI vs DC 2021-04-20,C Shamshuddin,CB Gaffaney,A Mishra,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-20
1st innings,Mumbai Indians,Delhi Capitals,3.4,SA Yadav,RG Sharma,R Ashwin,0,4,4,,,,,MI vs DC 2021-04-20,C Shamshuddin,CB Gaffaney,A Mishra,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-20
1st innings,Mumbai Indians,Delhi Capitals,3.5,SA Yadav,RG Sharma,R Ashwin,0,0,0,,,,,MI vs DC 2021-04-20,C Shamshuddin,CB Gaffaney,A Mishra,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-20
1st innings,Mumbai Indians,Delhi Capitals,3.6,SA Yadav,RG Sharma,R Ashwin,0,6,6,,,,,MI vs DC 2021-04-20,C Shamshuddin,CB Gaffaney,A Mishra,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-20
1st innings,Mumbai Indians,Delhi Capitals,4.1,RG Sharma,SA Yadav,K Rabada,0,0,0,,,,,MI vs DC 2021-04-20,C Shamshuddin,CB Gaffaney,A Mishra,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-20
1st innings,Mumbai Indians,Delhi Capitals,4.2,RG Sharma,SA Yadav,K Rabada,0,4,4,,,,,MI vs DC 2021-04-20,C Shamshuddin,CB Gaffaney,A Mishra,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-20
1st innings,Mumbai Indians,Delhi Capitals,4.3,RG Sharma,SA Yadav,K Rabada,0,3,3,,,,,MI vs DC 2021-04-20,C Shamshuddin,CB Gaffaney,A Mishra,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-20
1st innings,Mumbai Indians,Delhi Capitals,4.4,SA Yadav,RG Sharma,K Rabada,0,0,0,,,,,MI vs DC 2021-04-20,C Shamshuddin,CB Gaffaney,A Mishra,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-20
1st innings,Mumbai Indians,Delhi Capitals,4.5,SA Yadav,RG Sharma,K Rabada,0,6,6,,,,,MI vs DC 2021-04-20,C Shamshuddin,CB Gaffaney,A Mishra,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-20
1st innings,Mumbai Indians,Delhi Capitals,4.6,SA Yadav,RG Sharma,K Rabada,0,1,1,,,,,MI vs DC 2021-04-20,C Shamshuddin,CB Gaffaney,A Mishra,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-20
1st innings,Mumbai Indians,Delhi Capitals,5.1,SA Yadav,RG Sharma,A Mishra,0,1,1,,,,,MI vs DC 2021-04-20,C Shamshuddin,CB Gaffaney,A Mishra,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-20
1st innings,Mumbai Indians,Delhi Capitals,5.2,RG Sharma,SA Yadav,A Mishra,0,0,0,,,,,MI vs DC 2021-04-20,C Shamshuddin,CB Gaffaney,A Mishra,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-20
1st innings,Mumbai Indians,Delhi Capitals,5.3,RG Sharma,SA Yadav,A Mishra,0,4,4,,,,,MI vs DC 2021-04-20,C Shamshuddin,CB Gaffaney,A Mishra,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-20
