inning,batting_team,bowling_team,ball,non_striker,batsman,bowler,extra_runs,batsman_run,total_runs,extras,player_out,elimination_kind,fielders_caught,match_name,umpires_1,umpires_2,player_of_match,winner,city,venue,dates
1st innings,Punjab Kings,Sunrisers Hyderabad,0.1,MA Agarwal,KL Rahul,Abhishek Sharma,0,1,1,,,,,PK vs SH 2021-04-21,K Srinivasan,Nitin Menon,JM Bairstow,Sunrisers Hyderabad,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-21
1st innings,Punjab Kings,Sunrisers Hyderabad,0.2,KL Rahul,MA Agarwal,Abhishek Sharma,0,0,0,,,,,PK vs SH 2021-04-21,K Srinivasan,Nitin Menon,JM Bairstow,Sunrisers Hyderabad,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-21
1st innings,Punjab Kings,Sunrisers Hyderabad,0.3,KL Rahul,MA Agarwal,Abhishek Sharma,0,0,0,,,,,PK vs SH 2021-04-21,K Srinivasan,Nitin Menon,JM Bairstow,Sunrisers Hyderabad,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-21
1st innings,Punjab Kings,Sunrisers Hyderabad,0.4,KL Rahul,MA Agarwal,Abhishek Sharma,0,0,0,,,,,PK vs SH 2021-04-21,K Srinivasan,Nitin Menon,JM Bairstow,Sunrisers Hyderabad,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-21
1st innings,Punjab Kings,Sunrisers Hyderabad,0.5,KL Rahul,MA Agarwal,Abhishek Sharma,0,0,0,,,,,PK vs SH 2021-04-21,K Srinivasan,Nitin Menon,JM Bairstow,Sunrisers Hyderabad,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-21
1st innings,Punjab Kings,Sunrisers Hyderabad,0.6,KL Rahul,MA Agarwal,Abhishek Sharma,0,2,2,,,,,PK vs SH 2021-04-21,K Srinivasan,Nitin Menon,JM Bairstow,Sunrisers Hyderabad,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-21
1st innings,Punjab Kings,Sunrisers Hyderabad,1.1,MA Agarwal,KL Rahul,B Kumar,0,1,1,,,,,PK vs SH 2021-04-21,K Srinivasan,Nitin Menon,JM Bairstow,Sunrisers Hyderabad,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-21
1st innings,Punjab Kings,Sunrisers Hyderabad,1.2,KL Rahul,MA Agarwal,B Kumar,0,2,2,,,,,PK vs SH 2021-04-21,K Srinivasan,Nitin Menon,JM Bairstow,Sunrisers Hyderabad,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-21
1st innings,Punjab Kings,Sunrisers Hyderabad,1.3,KL Rahul,MA Agarwal,B Kumar,0,0,0,,,,,PK vs SH 2021-04-21,K Srinivasan,Nitin Menon,JM Bairstow,Sunrisers Hyderabad,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-21
1st innings,Punjab Kings,Sunrisers Hyderabad,1.4,KL Rahul,MA Agarwal,B Kumar,0,1,1,,,,,PK vs SH 2021-04-21,K Srinivasan,Nitin Menon,JM Bairstow,Sunrisers Hyderabad,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-21
1st innings,Punjab Kings,Sunrisers Hyderabad,1.5,MA Agarwal,KL Rahul,B Kumar,0,1,1,,,,,PK vs SH 2021-04-21,K Srinivasan,Nitin Menon,JM Bairstow,Sunrisers Hyderabad,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-21
1st innings,Punjab Kings,Sunrisers Hyderabad,1.6,KL Rahul,MA Agarwal,B Kumar,0,1,1,,,,,PK vs SH 2021-04-21,K Srinivasan,Nitin Menon,JM Bairstow,Sunrisers Hyderabad,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-21
1st innings,Punjab Kings,Sunrisers Hyderabad,2.1,KL Rahul,MA Agarwal,KK Ahmed,0,0,0,,,,,PK vs SH 2021-04-21,K Srinivasan,Nitin Menon,JM Bairstow,Sunrisers Hyderabad,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-21
1st innings,Punjab Kings,Sunrisers Hyderabad,2.2,KL Rahul,MA Agarwal,KK Ahmed,0,4,4,,,,,PK vs SH 2021-04-21,K Srinivasan,Nitin Menon,JM Bairstow,Sunrisers Hyderabad,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-21
1st innings,Punjab Kings,Sunrisers Hyderabad,2.3,KL Rahul,MA Agarwal,KK Ahmed,0,0,0,,,,,PK vs SH 2021-04-21,K Srinivasan,Nitin Menon,JM Bairstow,Sunrisers Hyderabad,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-21
