inning,batting_team,bowling_team,ball,non_striker,batsman,bowler,extra_runs,batsman_run,total_runs,extras,player_out,elimination_kind,fielders_caught,match_name,umpires_1,umpires_2,player_of_match,winner,city,venue,dates
1st innings,Rajasthan Royals,Royal Challengers Bangalore,0.1,M Vohra,JC Buttler,Mohammed Siraj,0,0,0,,,,,RR vs RCB 2021-04-22,J Madanagopal,S Ravi,D Padikkal,Royal Challengers Bangalore,Mumbai,"Wankhede Stadium, Mumbai",2021-04-22
1st innings,Rajasthan Royals,Royal Challengers Bangalore,0.2,M Vohra,JC Buttler,Mohammed Siraj,0,0,0,,,,,RR vs RCB 2021-04-22,J Madanagopal,S Ravi,D Padikkal,Royal Challengers Bangalore,Mumbai,"Wankhede Stadium, Mumbai",2021-04-22
1st innings,Rajasthan Royals,Royal Challengers Bangalore,0.3,M Vohra,JC Buttler,Mohammed Siraj,0,0,0,,,,,RR vs RCB 2021-04-22,J Madanagopal,S Ravi,D Padikkal,Royal Challengers Bangalore,Mumbai,"Wankhede Stadium, Mumbai",2021-04-22
1st innings,Rajasthan Royals,Royal Challengers Bangalore,0.4,M Vohra,JC Buttler,Mohammed Siraj,0,0,0,,,,,RR vs RCB 2021-04-22,J Madanagopal,S Ravi,D Padikkal,Royal Challengers Bangalore,Mumbai,"Wankhede Stadium, Mumbai",2021-04-22
1st innings,Rajasthan Royals,Royal Challengers Bangalore,0.5,M Vohra,JC Buttler,Mohammed Siraj,0,4,4,,,,,RR vs RCB 2021-04-22,J Madanagopal,S Ravi,D Padikkal,Royal Challengers Bangalore,Mumbai,"Wankhede Stadium, Mumbai",2021-04-22
1st innings,Rajasthan Royals,Royal Challengers Bangalore,0.6,M Vohra,JC Buttler,Mohammed Siraj,0,4,4,,,,,RR vs RCB 2021-04-22,J Madanagopal,S Ravi,D Padikkal,Royal Challengers Bangalore,Mumbai,"Wankhede Stadium, Mumbai",2021-04-22
1st innings,Rajasthan Royals,Royal Challengers Bangalore,1.1,JC Buttler,M Vohra,KA Jamieson,0,0,0,,,,,RR vs RCB 2021-04-22,J Madanagopal,S Ravi,D Padikkal,Royal Challengers Bangalore,Mumbai,"Wankhede Stadium, Mumbai",2021-04-22
1st innings,Rajasthan Royals,Royal Challengers Bangalore,1.2,JC Buttler,M Vohra,KA Jamieson,0,0,0,,,,,RR vs RCB 2021-04-22,J Madanagopal,S Ravi,D Padikkal,Royal Challengers Bangalore,Mumbai,"Wankhede Stadium, Mumbai",2021-04-22
1st innings,Rajasthan Royals,Royal Challengers Bangalore,1.3,JC Buttler,M Vohra,KA Jamieson,0,0,0,,,,,RR vs RCB 2021-04-22,J Madanagopal,S Ravi,D Padikkal,Royal Challengers Bangalore,Mumbai,"Wankhede Stadium, Mumbai",2021-04-22
1st innings,Rajasthan Royals,Royal Challengers Bangalore,1.4,JC Buttler,M Vohra,KA Jamieson,0,0,0,,,,,RR vs RCB 2021-04-22,J Madanagopal,S Ravi,D Padikkal,Royal Challengers Bangalore,Mumbai,"Wankhede Stadium, Mumbai",2021-04-22
