inning,batting_team,bowling_team,ball,non_striker,batsman,bowler,extra_runs,batsman_run,total_runs,extras,player_out,elimination_kind,fielders_caught,match_name,umpires_1,umpires_2,player_of_match,winner,city,venue,dates
1st innings,Delhi Capitals,Sunrisers Hyderabad,0.1,S Dhawan,PP Shaw,KK Ahmed,0,4,4,,,,,DC vs SH 2021-04-25,CB Gaffaney,KN Ananthapadmanabhan,PP Shaw,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-25
1st innings,Delhi Capitals,Sunrisers Hyderabad,0.2,S Dhawan,PP Shaw,KK Ahmed,0,4,4,,,,,DC vs SH 2021-04-25,CB Gaffaney,KN Ananthapadmanabhan,PP Shaw,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-25
1st innings,Delhi Capitals,Sunrisers Hyderabad,0.3,S Dhawan,PP Shaw,KK Ahmed,0,4,4,,,,,DC vs SH 2021-04-25,CB Gaffaney,KN Ananthapadmanabhan,PP Shaw,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-25
1st innings,Delhi Capitals,Sunrisers Hyderabad,0.4,S Dhawan,PP Shaw,KK Ahmed,0,0,0,,,,,DC vs SH 2021-04-25,CB Gaffaney,KN Ananthapadmanabhan,PP Shaw,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-25
1st innings,Delhi Capitals,Sunrisers Hyderabad,0.5,S Dhawan,PP Shaw,KK Ahmed,0,0,0,,,,,DC vs SH 2021-04-25,CB Gaffaney,KN Ananthapadmanabhan,PP Shaw,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-25
1st innings,Delhi Capitals,Sunrisers Hyderabad,0.6,S Dhawan,PP Shaw,KK Ahmed,0,0,0,,,,,DC vs SH 2021-04-25,CB Gaffaney,KN Ananthapadmanabhan,PP Shaw,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-25
1st innings,Delhi Capitals,Sunrisers Hyderabad,1.1,PP Shaw,S Dhawan,Abhishek Sharma,0,0,0,,,,,DC vs SH 2021-04-25,CB Gaffaney,KN Ananthapadmanabhan,PP Shaw,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-25
1st innings,Delhi Capitals,Sunrisers Hyderabad,1.2,PP Shaw,S Dhawan,Abhishek Sharma,1,0,1,wides,,,,DC vs SH 2021-04-25,CB Gaffaney,KN Ananthapadmanabhan,PP Shaw,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-25
1st innings,Delhi Capitals,Sunrisers Hyderabad,1.3,PP Shaw,S Dhawan,Abhishek Sharma,0,4,4,,,,,DC vs SH 2021-04-25,CB Gaffaney,KN Ananthapadmanabhan,PP Shaw,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-25
1st innings,Delhi Capitals,Sunrisers Hyderabad,1.4,PP Shaw,S Dhawan,Abhishek Sharma,0,1,1,,,,,DC vs SH 2021-04-25,CB Gaffaney,KN Ananthapadmanabhan,PP Shaw,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-25
1st innings,Delhi Capitals,Sunrisers Hyderabad,1.5,S Dhawan,PP Shaw,Abhishek Sharma,0,4,4,,,,,DC vs SH 2021-04-25,CB Gaffaney,KN Ananthapadmanabhan,PP Shaw,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-25
1st innings,Delhi Capitals,Sunrisers Hyderabad,1.6,S Dhawan,PP Shaw,Abhishek Sharma,0,0,0,,,,,DC vs SH 2021-04-25,CB Gaffaney,KN Ananthapadmanabhan,PP Shaw,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-25
1st innings,Delhi Capitals,Sunrisers Hyderabad,1.7,S Dhawan,PP Shaw,Abhishek Sharma,0,4,4,,,,,DC vs SH 2021-04-25,CB Gaffaney,KN Ananthapadmanabhan,PP Shaw,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-25
1st innings,Delhi Capitals,Sunrisers Hyderabad,2.1,PP Shaw,S Dhawan,S Kaul,0,0,0,,,,,DC vs SH 2021-04-25,CB Gaffaney,KN Ananthapadmanabhan,PP Shaw,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-25
1st innings,Delhi Capitals,Sunrisers Hyderabad,2.2,PP Shaw,S Dhawan,S Kaul,0,1,1,,,,,DC vs SH 2021-04-25,CB Gaffaney,KN Ananthapadmanabhan,PP Shaw,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-25
1st innings,Delhi Capitals,Sunrisers Hyderabad,2.3,S Dhawan,PP Shaw,S Kaul,0,0,0,,,,,DC vs SH 2021-04-25,CB Gaffaney,KN Ananthapadmanabhan,PP Shaw,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-25
1st innings,Delhi Capitals,Sunrisers Hyderabad,2.4,S Dhawan,PP Shaw,S Kaul,0,0,0,,,,,DC vs SH 2021-04-25,CB Gaffaney,KN Ananthapadmanabhan,PP Shaw,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-25
1st innings,Delhi Capitals,Sunrisers Hyderabad,2.5,S Dhawan,PP Shaw,S Kaul,0,0,0,,,,,DC vs SH 2021-04-25,CB Gaffaney,KN Ananthapadmanabhan,PP Shaw,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-25
1st innings,Delhi Capitals,Sunrisers Hyderabad,2.6,S Dhawan,PP Shaw,S Kaul,0,6,6,,,,,DC vs SH 2021-04-25,CB Gaffaney,KN Ananthapadmanabhan,PP Shaw,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-25
1st innings,Delhi Capitals,Sunrisers Hyderabad,3.1,PP Shaw,S Dhawan,KK Ahmed,0,1,1,,,,,DC vs SH 2021-04-25,CB Gaffaney,KN Ananthapadmanabhan,PP Shaw,Delhi Capitals,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-25
