inning,batting_team,bowling_team,ball,non_striker,batsman,bowler,extra_runs,batsman_run,total_runs,extras,player_out,elimination_kind,fielders_caught,match_name,umpires_1,umpires_2,player_of_match,winner,city,venue,dates
1st innings,Kolkata Knight Riders,Delhi Capitals,0.1,Shubman Gill,N Rana,I Sharma,0,1,1,,,,,KKR vs DC 2021-04-29,AK Chaudhary,YC Barde,PP Shaw,Delhi Capitals,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2021-04-29
1st innings,Kolkata Knight Riders,Delhi Capitals,0.2,N Rana,Shubman Gill,I Sharma,0,1,1,,,,,KKR vs DC 2021-04-29,AK Chaudhary,YC Barde,PP Shaw,Delhi Capitals,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2021-04-29
1st innings,Kolkata Knight Riders,Delhi Capitals,0.3,Shubman Gill,N Rana,I Sharma,0,1,1,,,,,KKR vs DC 2021-04-29,AK Chaudhary,YC Barde,PP Shaw,Delhi Capitals,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2021-04-29
1st innings,Kolkata Knight Riders,Delhi Capitals,0.4,N Rana,Shubman Gill,I Sharma,0,0,0,,,,,KKR vs DC 2021-04-29,AK Chaudhary,YC Barde,PP Shaw,Delhi Capitals,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2021-04-29
1st innings,Kolkata Knight Riders,Delhi Capitals,0.5,N Rana,Shubman Gill,I Sharma,0,1,1,,,,,KKR vs DC 2021-04-29,AK Chaudhary,YC Barde,PP Shaw,Delhi Capitals,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2021-04-29
1st innings,Kolkata Knight Riders,Delhi Capitals,0.6,Shubman Gill,N Rana,I Sharma,0,0,0,,,,,KKR vs DC 2021-04-29,AK Chaudhary,YC Barde,PP Shaw,Delhi Capitals,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2021-04-29
1st innings,Kolkata Knight Riders,Delhi Capitals,1.1,N Rana,Shubman Gill,K Rabada,0,1,1,,,,,KKR vs DC 2021-04-29,AK Chaudhary,YC Barde,PP Shaw,Delhi Capitals,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2021-04-29
1st innings,Kolkata Knight Riders,Delhi Capitals,1.2,Shubman Gill,N Rana,K Rabada,0,0,0,,,,,KKR vs DC 2021-04-29,AK Chaudhary,YC Barde,PP Shaw,Delhi Capitals,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2021-04-29
1st innings,Kolkata Knight Riders,Delhi Capitals,1.3,Shubman Gill,N Rana,K Rabada,0,0,0,,,,,KKR vs DC 2021-04-29,AK Chaudhary,YC Barde,PP Shaw,Delhi Capitals,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2021-04-29
1st innings,Kolkata Knight Riders,Delhi Capitals,1.4,Shubman Gill,N Rana,K Rabada,0,0,0,,,,,KKR vs DC 2021-04-29,AK Chaudhary,YC Barde,PP Shaw,Delhi Capitals,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2021-04-29
