inning,batting_team,bowling_team,ball,non_striker,batsman,bowler,extra_runs,batsman_run,total_runs,extras,player_out,elimination_kind,fielders_caught,match_name,umpires_1,umpires_2,player_of_match,winner,city,venue,dates
1st innings,Chennai Super Kings,Mumbai Indians,0.1,F du Plessis,RD Gaikwad,TA Boult,0,0,0,,,,,CSK vs MI 2021-05-01,KN Ananthapadmanabhan,CK Nandan,KA Pollard,Mumbai Indians,Delhi,"Arun Jaitley Stadium, Delhi",2021-05-01
1st innings,Chennai Super Kings,Mumbai Indians,0.2,F du Plessis,RD Gaikwad,TA Boult,0,4,4,,,,,CSK vs MI 2021-05-01,KN Ananthapadmanabhan,CK Nandan,KA Pollard,Mumbai Indians,Delhi,"Arun Jaitley Stadium, Delhi",2021-05-01
1st innings,Chennai Super Kings,Mumbai Indians,0.3,F du Plessis,RD Gaikwad,TA Boult,0,0,0,,,,,CSK vs MI 2021-05-01,KN Ananthapadmanabhan,CK Nandan,KA Pollard,Mumbai Indians,Delhi,"Arun Jaitley Stadium, Delhi",2021-05-01
1st innings,Chennai Super Kings,Mumbai Indians,0.4,F du Plessis,RD Gaikwad,TA Boult,0,0,0,,RD Gaikwad,caught,HH Pandya,CSK vs MI 2021-05-01,KN Ananthapadmanabhan,CK Nandan,KA Pollard,Mumbai Indians,Delhi,"Arun Jaitley Stadium, Delhi",2021-05-01
1st innings,Chennai Super Kings,Mumbai Indians,0.5,F du Plessis,MM Ali,TA Boult,0,0,0,,,,,CSK vs MI 2021-05-01,KN Ananthapadmanabhan,CK Nandan,KA Pollard,Mumbai Indians,Delhi,"Arun Jaitley Stadium, Delhi",2021-05-01
1st innings,Chennai Super Kings,Mumbai Indians,0.6,F du Plessis,MM Ali,TA Boult,0,0,0,,,,,CSK vs MI 2021-05-01,KN Ananthapadmanabhan,CK Nandan,KA Pollard,Mumbai Indians,Delhi,"Arun Jaitley Stadium, Delhi",2021-05-01
1st innings,Chennai Super Kings,Mumbai Indians,1.1,MM Ali,F du Plessis,DS Kulkarni,0,4,4,,,,,CSK vs MI 2021-05-01,KN Ananthapadmanabhan,CK Nandan,KA Pollard,Mumbai Indians,Delhi,"Arun Jaitley Stadium, Delhi",2021-05-01
1st innings,Chennai Super Kings,Mumbai Indians,1.2,MM Ali,F du Plessis,DS Kulkarni,0,0,0,,,,,CSK vs MI 2021-05-01,KN Ananthapadmanabhan,CK Nandan,KA Pollard,Mumbai Indians,Delhi,"Arun Jaitley Stadium, Delhi",2021-05-01
1st innings,Chennai Super Kings,Mumbai Indians,1.3,MM Ali,F du Plessis,DS Kulkarni,0,6,6,,,,,CSK vs MI 2021-05-01,KN Ananthapadmanabhan,CK Nandan,KA Pollard,Mumbai Indians,Delhi,"Arun Jaitley Stadium, Delhi",2021-05-01
1st innings,Chennai Super Kings,Mumbai Indians,1.4,MM Ali,F du Plessis,DS Kulkarni,0,0,0,,,,,CSK vs MI 2021-05-01,KN Ananthapadmanabhan,CK Nandan,KA Pollard,Mumbai Indians,Delhi,"Arun Jaitley Stadium, Delhi",2021-05-01
1st innings,Chennai Super Kings,Mumbai Indians,1.5,MM Ali,F du Plessis,DS Kulkarni,0,1,1,,,,,CSK vs MI 2021-05-01,KN Ananthapadmanabhan,CK Nandan,KA Pollard,Mumbai Indians,Delhi,"Arun Jaitley Stadium, Delhi",2021-05-01
1st innings,Chennai Super Kings,Mumbai Indians,1.6,F du Plessis,MM Ali,DS Kulkarni,0,0,0,,,,,CSK vs MI 2021-05-01,KN Ananthapadmanabhan,CK Nandan,KA Pollard,Mumbai Indians,Delhi,"Arun Jaitley Stadium, Delhi",2021-05-01
1st innings,Chennai Super Kings,Mumbai Indians,2.1,MM Ali,F du Plessis,TA Boult,0,1,1,,,,,CSK vs MI 2021-05-01,KN Ananthapadmanabhan,CK Nandan,KA Pollard,Mumbai Indians,Delhi,"Arun Jaitley Stadium, Delhi",2021-05-01
1st innings,Chennai Super Kings,Mumbai Indians,2.2,F du Plessis,MM Ali,TA Boult,0,0,0,,,,,CSK vs MI 2021-05-01,KN Ananthapadmanabhan,CK Nandan,KA Pollard,Mumbai Indians,Delhi,"Arun Jaitley Stadium, Delhi",2021-05-01
1st innings,Chennai Super Kings,Mumbai Indians,2.3,F du Plessis,MM Ali,TA Boult,0,6,6,,,,,CSK vs MI 2021-05-01,KN Ananthapadmanabhan,CK Nandan,KA Pollard,Mumbai Indians,Delhi,"Arun Jaitley Stadium, Delhi",2021-05-01
1st innings,Chennai Super Kings,Mumbai Indians,2.4,F du Plessis,MM Ali,TA Boult,0,4,4,,,,,CSK vs MI 2021-05-01,KN Ananthapadmanabhan,CK Nandan,KA Pollard,Mumbai Indians,Delhi,"Arun Jaitley Stadium, Delhi",2021-05-01
