inning,batting_team,bowling_team,ball,non_striker,batsman,bowler,extra_runs,batsman_run,total_runs,extras,player_out,elimination_kind,fielders_caught,match_name,umpires_1,umpires_2,player_of_match,winner,city,venue,dates
1st innings,Royal Challengers Bangalore,Kolkata Knight Riders,0.1,D Padikkal,V Kohli,CV Varun,0,1,1,,,,,RCB vs KKR 2021-09-20,CB Gaffaney,S Ravi,CV Varun,Kolkata Knight Riders,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-09-20
1st innings,Royal Challengers Bangalore,Kolkata Knight Riders,0.2,V Kohli,D Padikkal,CV Varun,0,0,0,,,,,RCB vs KKR 2021-09-20,CB Gaffaney,S Ravi,CV Varun,Kolkata Knight Riders,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-09-20
1st innings,Royal Challengers Bangalore,Kolkata Knight Riders,0.3,V Kohli,D Padikkal,CV Varun,0,0,0,,,,,RCB vs KKR 2021-09-20,CB Gaffaney,S Ravi,CV Varun,Kolkata Knight Riders,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-09-20
1st innings,Royal Challengers Bangalore,Kolkata Knight Riders,0.4,V Kohli,D Padikkal,CV Varun,0,0,0,,,,,RCB vs KKR 2021-09-20,CB Gaffaney,S Ravi,CV Varun,Kolkata Knight Riders,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-09-20
1st innings,Royal Challengers Bangalore,Kolkata Knight Riders,0.5,V Kohli,D Padikkal,CV Varun,0,3,3,,,,,RCB vs KKR 2021-09-20,CB Gaffaney,S Ravi,CV Varun,Kolkata Knight Riders,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-09-20
1st innings,Royal Challengers Bangalore,Kolkata Knight Riders,0.6,D Padikkal,V Kohli,CV Varun,0,0,0,,,,,RCB vs KKR 2021-09-20,CB Gaffaney,S Ravi,CV Varun,Kolkata Knight Riders,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-09-20
1st innings,Royal Challengers Bangalore,Kolkata Knight Riders,1.1,V Kohli,D Padikkal,M Prasidh Krishna,0,0,0,,,,,RCB vs KKR 2021-09-20,CB Gaffaney,S Ravi,CV Varun,Kolkata Knight Riders,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-09-20
1st innings,Royal Challengers Bangalore,Kolkata Knight Riders,1.2,V Kohli,D Padikkal,M Prasidh Krishna,0,1,1,,,,,RCB vs KKR 2021-09-20,CB Gaffaney,S Ravi,CV Varun,Kolkata Knight Riders,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-09-20
1st innings,Royal Challengers Bangalore,Kolkata Knight Riders,1.3,D Padikkal,V Kohli,M Prasidh Krishna,1,0,1,wides,,,,RCB vs KKR 2021-09-20,CB Gaffaney,S Ravi,CV Varun,Kolkata Knight Riders,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-09-20
1st innings,Royal Challengers Bangalore,Kolkata Knight Riders,1.4,D Padikkal,V Kohli,M Prasidh Krishna,0,4,4,,,,,RCB vs KKR 2021-09-20,CB Gaffaney,S Ravi,CV Varun,Kolkata Knight Riders,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-09-20
