inning,batting_team,bowling_team,ball,non_striker,batsman,bowler,extra_runs,batsman_run,total_runs,extras,player_out,elimination_kind,fielders_caught,match_name,umpires_1,umpires_2,player_of_match,winner,city,venue,dates
1st innings,Rajasthan Royals,Sunrisers Hyderabad,0.1,YBK Jaiswal,E Lewis,Sandeep Sharma,0,1,1,,,,,RR vs SH 2021-09-27,KN Ananthapadmanabhan,Navdeep Singh,JJ Roy,Sunrisers Hyderabad,Dubai,Dubai International Cricket Stadium,2021-09-27
1st innings,Rajasthan Royals,Sunrisers Hyderabad,0.2,E Lewis,YBK Jaiswal,Sandeep Sharma,0,1,1,,,,,RR vs SH 2021-09-27,KN Ananthapadmanabhan,Navdeep Singh,JJ Roy,Sunrisers Hyderabad,Dubai,Dubai International Cricket Stadium,2021-09-27
1st innings,Rajasthan Royals,Sunrisers Hyderabad,0.3,YBK Jaiswal,E Lewis,Sandeep Sharma,0,4,4,,,,,RR vs SH 2021-09-27,KN Ananthapadmanabhan,Navdeep Singh,JJ Roy,Sunrisers Hyderabad,Dubai,Dubai International Cricket Stadium,2021-09-27
1st innings,Rajasthan Royals,Sunrisers Hyderabad,0.4,YBK Jaiswal,E Lewis,Sandeep Sharma,0,1,1,,,,,RR vs SH 2021-09-27,KN Ananthapadmanabhan,Navdeep Singh,JJ Roy,Sunrisers Hyderabad,Dubai,Dubai International Cricket Stadium,2021-09-27
1st innings,Rajasthan Royals,Sunrisers Hyderabad,0.5,E Lewis,YBK Jaiswal,Sandeep Sharma,0,0,0,,,,,RR vs SH 2021-09-27,KN Ananthapadmanabhan,Navdeep Singh,JJ Roy,Sunrisers Hyderabad,Dubai,Dubai International Cricket Stadium,2021-09-27
1st innings,Rajasthan Royals,Sunrisers Hyderabad,0.6,E Lewis,YBK Jaiswal,Sandeep Sharma,0,4,4,,,,,RR vs SH 2021-09-27,KN Ananthapadmanabhan,Navdeep Singh,JJ Roy,Sunrisers Hyderabad,Dubai,Dubai International Cricket Stadium,2021-09-27
1st innings,Rajasthan Royals,Sunrisers Hyderabad,1.1,YBK Jaiswal,E Lewis,B Kumar,0,0,0,,E Lewis,caught,Abdul Samad,RR vs SH 2021-09-27,KN Ananthapadmanabhan,Navdeep Singh,JJ Roy,Sunrisers Hyderabad,Dubai,Dubai International Cricket Stadium,2021-09-27
1st innings,Rajasthan Royals,Sunrisers Hyderabad,1.2,YBK Jaiswal,SV Samson,B Kumar,0,0,0,,,,,RR vs SH 2021-09-27,KN Ananthapadmanabhan,Navdeep Singh,JJ Roy,Sunrisers Hyderabad,Dubai,Dubai International Cricket Stadium,2021-09-27
1st innings,Rajasthan Royals,Sunrisers Hyderabad,1.3,YBK Jaiswal,SV Samson,B Kumar,0,0,0,,,,,RR vs SH 2021-09-27,KN Ananthapadmanabhan,Navdeep Singh,JJ Roy,Sunrisers Hyderabad,Dubai,Dubai International Cricket Stadium,2021-09-27
1st innings,Rajasthan Royals,Sunrisers Hyderabad,1.4,YBK Jaiswal,SV Samson,B Kumar,0,0,0,,,,,RR vs SH 2021-09-27,KN Ananthapadmanabhan,Navdeep Singh,JJ Roy,Sunrisers Hyderabad,Dubai,Dubai International Cricket Stadium,2021-09-27
