inning,batting_team,bowling_team,ball,non_striker,batsman,bowler,extra_runs,batsman_run,total_runs,extras,player_out,elimination_kind,fielders_caught,match_name,umpires_1,umpires_2,player_of_match,winner,city,venue,dates
1st innings,Mumbai Indians,Delhi Capitals,0.1,Q de Kock,RG Sharma,A Nortje,0,4,4,,,,,MI vs DC 2021-10-02,AK Chaudhary,MA Gough,AR Patel,Delhi Capitals,Sharjah,Sharjah Cricket Stadium,2021-10-02
1st innings,Mumbai Indians,Delhi Capitals,0.2,Q de Kock,RG Sharma,A Nortje,0,0,0,,,,,MI vs DC 2021-10-02,AK Chaudhary,MA Gough,AR Patel,Delhi Capitals,Sharjah,Sharjah Cricket Stadium,2021-10-02
1st innings,Mumbai Indians,Delhi Capitals,0.3,Q de Kock,RG Sharma,A Nortje,0,0,0,,,,,MI vs DC 2021-10-02,AK Chaudhary,MA Gough,AR Patel,Delhi Capitals,Sharjah,Sharjah Cricket Stadium,2021-10-02
1st innings,Mumbai Indians,Delhi Capitals,0.4,Q de Kock,RG Sharma,A Nortje,0,2,2,,,,,MI vs DC 2021-10-02,AK Chaudhary,MA Gough,AR Patel,Delhi Capitals,Sharjah,Sharjah Cricket Stadium,2021-10-02
1st innings,Mumbai Indians,Delhi Capitals,0.5,Q de Kock,RG Sharma,A Nortje,0,1,1,,,,,MI vs DC 2021-10-02,AK Chaudhary,MA Gough,AR Patel,Delhi Capitals,Sharjah,Sharjah Cricket Stadium,2021-10-02
1st innings,Mumbai Indians,Delhi Capitals,0.6,RG Sharma,Q de Kock,A Nortje,0,0,0,,,,,MI vs DC 2021-10-02,AK Chaudhary,MA Gough,AR Patel,Delhi Capitals,Sharjah,Sharjah Cricket Stadium,2021-10-02
1st innings,Mumbai Indians,Delhi Capitals,1.1,Q de Kock,RG Sharma,Avesh Khan,0,0,0,,,,,MI vs DC 2021-10-02,AK Chaudhary,MA Gough,AR Patel,Delhi Capitals,Sharjah,Sharjah Cricket Stadium,2021-10-02
1st innings,Mumbai Indians,Delhi Capitals,1.2,Q de Kock,RG Sharma,Avesh Khan,0,0,0,,,,,MI vs DC 2021-10-02,AK Chaudhary,MA Gough,AR Patel,Delhi Capitals,Sharjah,Sharjah Cricket Stadium,2021-10-02
1st innings,Mumbai Indians,Delhi Capitals,1.3,Q de Kock,RG Sharma,Avesh Khan,0,0,0,,,,,MI vs DC 2021-10-02,AK Chaudhary,MA Gough,AR Patel,Delhi Capitals,Sharjah,Sharjah Cricket Stadium,2021-10-02
1st innings,Mumbai Indians,Delhi Capitals,1.4,Q de Kock,RG Sharma,Avesh Khan,1,0,1,wides,,,,MI vs DC 2021-10-02,AK Chaudhary,MA Gough,AR Patel,Delhi Capitals,Sharjah,Sharjah Cricket Stadium,2021-10-02
