inning,batting_team,bowling_team,ball,non_striker,batsman,bowler,extra_runs,batsman_run,total_runs,extras,player_out,elimination_kind,fielders_caught,match_name,umpires_1,umpires_2,player_of_match,winner,city,venue,dates
1st innings,Chennai Super Kings,Rajasthan Royals,0.1,F du Plessis,RD Gaikwad,Akash Singh,0,4,4,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,0.2,F du Plessis,RD Gaikwad,Akash Singh,0,0,0,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,0.3,F du Plessis,RD Gaikwad,Akash Singh,0,0,0,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,0.4,F du Plessis,RD Gaikwad,Akash Singh,0,0,0,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,0.5,F du Plessis,RD Gaikwad,Akash Singh,0,2,2,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,0.6,F du Plessis,RD Gaikwad,Akash Singh,0,4,4,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,1.1,RD Gaikwad,F du Plessis,C Sakariya,0,0,0,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,1.2,RD Gaikwad,F du Plessis,C Sakariya,0,0,0,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,1.3,RD Gaikwad,F du Plessis,C Sakariya,0,1,1,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,1.4,F du Plessis,RD Gaikwad,C Sakariya,0,0,0,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,1.5,F du Plessis,RD Gaikwad,C Sakariya,0,0,0,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,1.6,F du Plessis,RD Gaikwad,C Sakariya,0,1,1,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,2.1,F du Plessis,RD Gaikwad,Akash Singh,0,1,1,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,2.2,RD Gaikwad,F du Plessis,Akash Singh,0,2,2,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,2.3,RD Gaikwad,F du Plessis,Akash Singh,0,1,1,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
1st innings,Chennai Super Kings,Rajasthan Royals,2.4,F du Plessis,RD Gaikwad,Akash Singh,0,0,0,,,,,CSK vs RR 2021-10-02,CB Gaffaney,VK Sharma,RD Gaikwad,Rajasthan Royals,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",2021-10-02
