inning,batting_team,bowling_team,ball,non_striker,batsman,bowler,extra_runs,batsman_run,total_runs,extras,player_out,elimination_kind,fielders_caught,match_name,umpires_1,umpires_2,player_of_match,winner,city,venue,dates
1st innings,Rajasthan Royals,Mumbai Indians,0.1,YBK Jaiswal,E Lewis,TA Boult,0,0,0,,,,,RR vs MI 2021-10-05,AK Chaudhary,MA Gough,NM Coulter-Nile,Mumbai Indians,Sharjah,Sharjah Cricket Stadium,2021-10-05
1st innings,Rajasthan Royals,Mumbai Indians,0.2,YBK Jaiswal,E Lewis,TA Boult,0,0,0,,,,,RR vs MI 2021-10-05,AK Chaudhary,MA Gough,NM Coulter-Nile,Mumbai Indians,Sharjah,Sharjah Cricket Stadium,2021-10-05
1st innings,Rajasthan Royals,Mumbai Indians,0.3,YBK Jaiswal,E Lewis,TA Boult,0,0,0,,,,,RR vs MI 2021-10-05,AK Chaudhary,MA Gough,NM Coulter-Nile,Mumbai Indians,Sharjah,Sharjah Cricket Stadium,2021-10-05
1st innings,Rajasthan Royals,Mumbai Indians,0.4,YBK Jaiswal,E Lewis,TA Boult,1,0,1,wides,,,,RR vs MI 2021-10-05,AK Chaudhary,MA Gough,NM Coulter-Nile,Mumbai Indians,Sharjah,Sharjah Cricket Stadium,2021-10-05
1st innings,Rajasthan Royals,Mumbai Indians,0.5,YBK Jaiswal,E Lewis,TA Boult,0,1,1,,,,,RR vs MI 2021-10-05,AK Chaudhary,MA Gough,NM Coulter-Nile,Mumbai Indians,Sharjah,Sharjah Cricket Stadium,2021-10-05
1st innings,Rajasthan Royals,Mumbai Indians,0.6,E Lewis,YBK Jaiswal,TA Boult,0,4,4,,,,,RR vs MI 2021-10-05,AK Chaudhary,MA Gough,NM Coulter-Nile,Mumbai Indians,Sharjah,Sharjah Cricket Stadium,2021-10-05
1st innings,Rajasthan Royals,Mumbai Indians,0.7,E Lewis,YBK Jaiswal,TA Boult,0,0,0,,,,,RR vs MI 2021-10-05,AK Chaudhary,MA Gough,NM Coulter-Nile,Mumbai Indians,Sharjah,Sharjah Cricket Stadium,2021-10-05
1st innings,Rajasthan Royals,Mumbai Indians,1.1,YBK Jaiswal,E Lewis,J Yadav,0,0,0,,,,,RR vs MI 2021-10-05,AK Chaudhary,MA Gough,NM Coulter-Nile,Mumbai Indians,Sharjah,Sharjah Cricket Stadium,2021-10-05
1st innings,Rajasthan Royals,Mumbai Indians,1.2,YBK Jaiswal,E Lewis,J Yadav,0,6,6,,,,,RR vs MI 2021-10-05,AK Chaudhary,MA Gough,NM Coulter-Nile,Mumbai Indians,Sharjah,Sharjah Cricket Stadium,2021-10-05
1st innings,Rajasthan Royals,Mumbai Indians,1.3,YBK Jaiswal,E Lewis,J Yadav,0,1,1,,,,,RR vs MI 2021-10-05,AK Chaudhary,MA Gough,NM Coulter-Nile,Mumbai Indians,Sharjah,Sharjah Cricket Stadium,2021-10-05
