inning,batting_team,bowling_team,ball,non_striker,batsman,bowler,extra_runs,batsman_run,total_runs,extras,player_out,elimination_kind,fielders_caught,match_name,umpires_1,umpires_2,player_of_match,winner,city,venue,dates
1st innings,Chennai Super Kings,Punjab Kings,0.1,F du Plessis,RD Gaikwad,Mohammed Shami,0,1,1,,,,,CSK vs PK 2021-10-07,K Srinivasan,RK Illingworth,KL Rahul,Punjab Kings,Dubai,Dubai International Cricket Stadium,2021-10-07
1st innings,Chennai Super Kings,Punjab Kings,0.2,RD Gaikwad,F du Plessis,Mohammed Shami,0,1,1,,,,,CSK vs PK 2021-10-07,K Srinivasan,RK Illingworth,KL Rahul,Punjab Kings,Dubai,Dubai International Cricket Stadium,2021-10-07
1st innings,Chennai Super Kings,Punjab Kings,0.3,F du Plessis,RD Gaikwad,Mohammed Shami,0,0,0,,,,,CSK vs PK 2021-10-07,K Srinivasan,RK Illingworth,KL Rahul,Punjab Kings,Dubai,Dubai International Cricket Stadium,2021-10-07
1st innings,Chennai Super Kings,Punjab Kings,0.4,F du Plessis,RD Gaikwad,Mohammed Shami,0,0,0,,,,,CSK vs PK 2021-10-07,K Srinivasan,RK Illingworth,KL Rahul,Punjab Kings,Dubai,Dubai International Cricket Stadium,2021-10-07
1st innings,Chennai Super Kings,Punjab Kings,0.5,F du Plessis,RD Gaikwad,Mohammed Shami,0,1,1,,,,,CSK vs PK 2021-10-07,K Srinivasan,RK Illingworth,KL Rahul,Punjab Kings,Dubai,Dubai International Cricket Stadium,2021-10-07
1st innings,Chennai Super Kings,Punjab Kings,0.6,RD Gaikwad,F du Plessis,Mohammed Shami,0,0,0,,,,,CSK vs PK 2021-10-07,K Srinivasan,RK Illingworth,KL Rahul,Punjab Kings,Dubai,Dubai International Cricket Stadium,2021-10-07
1st innings,Chennai Super Kings,Punjab Kings,1.1,F du Plessis,RD Gaikwad,Harpreet Brar,0,4,4,,,,,CSK vs PK 2021-10-07,K Srinivasan,RK Illingworth,KL Rahul,Punjab Kings,Dubai,Dubai International Cricket Stadium,2021-10-07
1st innings,Chennai Super Kings,Punjab Kings,1.2,F du Plessis,RD Gaikwad,Harpreet Brar,0,1,1,,,,,CSK vs PK 2021-10-07,K Srinivasan,RK Illingworth,KL Rahul,Punjab Kings,Dubai,Dubai International Cricket Stadium,2021-10-07
1st innings,Chennai Super Kings,Punjab Kings,1.3,RD Gaikwad,F du Plessis,Harpreet Brar,0,0,0,,,,,CSK vs PK 2021-10-07,K Srinivasan,RK Illingworth,KL Rahul,Punjab Kings,Dubai,Dubai International Cricket Stadium,2021-10-07
1st innings,Chennai Super Kings,Punjab Kings,1.4,RD Gaikwad,F du Plessis,Harpreet Brar,2,0,2,wides,,,,CSK vs PK 2021-10-07,K Srinivasan,RK Illingworth,KL Rahul,Punjab Kings,Dubai,Dubai International Cricket Stadium,2021-10-07
1st innings,Chennai Super Kings,Punjab Kings,1.5,F du Plessis,RD Gaikwad,Harpreet Brar,0,0,0,,,,,CSK vs PK 2021-10-07,K Srinivasan,RK Illingworth,KL Rahul,Punjab Kings,Dubai,Dubai International Cricket Stadium,2021-10-07
1st innings,Chennai Super Kings,Punjab Kings,1.6,F du Plessis,RD Gaikwad,Harpreet Brar,0,1,1,,,,,CSK vs PK 2021-10-07,K Srinivasan,RK Illingworth,KL Rahul,Punjab Kings,Dubai,Dubai International Cricket Stadium,2021-10-07
1st innings,Chennai Super Kings,Punjab Kings,1.7,RD Gaikwad,F du Plessis,Harpreet Brar,0,0,0,,,,,CSK vs PK 2021-10-07,K Srinivasan,RK Illingworth,KL Rahul,Punjab Kings,Dubai,Dubai International Cricket Stadium,2021-10-07
1st innings,Chennai Super Kings,Punjab Kings,2.1,F du Plessis,RD Gaikwad,Mohammed Shami,0,0,0,,,,,CSK vs PK 2021-10-07,K Srinivasan,RK Illingworth,KL Rahul,Punjab Kings,Dubai,Dubai International Cricket Stadium,2021-10-07
1st innings,Chennai Super Kings,Punjab Kings,2.2,F du Plessis,RD Gaikwad,Mohammed Shami,0,0,0,,,,,CSK vs PK 2021-10-07,K Srinivasan,RK Illingworth,KL Rahul,Punjab Kings,Dubai,Dubai International Cricket Stadium,2021-10-07
1st innings,Chennai Super Kings,Punjab Kings,2.3,F du Plessis,RD Gaikwad,Mohammed Shami,0,1,1,,,,,CSK vs PK 2021-10-07,K Srinivasan,RK Illingworth,KL Rahul,Punjab Kings,Dubai,Dubai International Cricket Stadium,2021-10-07
1st innings,Chennai Super Kings,Punjab Kings,2.4,RD Gaikwad,F du Plessis,Mohammed Shami,0,0,0,,,,,CSK vs PK 2021-10-07,K Srinivasan,RK Illingworth,KL Rahul,Punjab Kings,Dubai,Dubai International Cricket Stadium,2021-10-07
1st innings,Chennai Super Kings,Punjab Kings,2.5,RD Gaikwad,F du Plessis,Mohammed Shami,0,0,0,,,,,CSK vs PK 2021-10-07,K Srinivasan,RK Illingworth,KL Rahul,Punjab Kings,Dubai,Dubai International Cricket Stadium,2021-10-07
